state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[492., 0, 0, -528., 0, 0.];[0.8, 0.2];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[492., 0, 0, -528., 0, 0.];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[4.92066408e+02, 3.77107605e-05, 3.77082565e-05, -5.27933592e+02, 3.77107605e-05, 3.77082565e-05];[0.70999453, 0.29000547];[492., 0, 0, -528., 0, 0.];[492., 0, 0, -528., 0, 0.];[4.92066415e+02, 5.31106228e-05, 5.31106228e-05, -5.27933585e+02, 5.31106228e-05, 5.31106228e-05];[4.92066390e+02, 8.65052018e-09, 1.60272632e-11, -5.27933610e+02, 8.65052018e-09, 1.60272632e-11];[493., -527.];[[6.64148338e-02, 0.00000000e+00], [5.31106228e-05, 0.00000000e+00], [5.31106228e-05, 0.00000000e+00], [0.00000000e+00, 6.64148338e-02], [0.00000000e+00, 5.31106228e-05], [0.00000000e+00, 5.31106228e-05]];[[6.63900415e-02, -6.40883035e-31], [8.65052018e-09, 5.93820961e-39], [1.60272632e-11, 1.10020260e-41], [-6.40883035e-31, 6.63900415e-02], [5.93820961e-39, 8.65052018e-09], [1.10020260e-41, 1.60272632e-11]];[[9414.3125, 0], [  0, 9414.3125]];[[9.41406250e+03, -6.46234854e-27], [-6.46234854e-27, 9.41406250e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[8789.0625, 0], [  0, 8789.0625]];[[8789.0625, 0], [  0, 8789.0625]]
[4.91990695e+02, -1.71764175e-04, -6.34442172e-05, -5.28080339e+02, -3.73333600e-04, -1.27724782e-04];[0.64696465, 0.35303535];[4.92066464e+02, 4.95403090e-05, 0.00000000e+00, -5.27933536e+02, 4.95403090e-05, 0.00000000e+00];[4.92066422e+02, 3.15814179e-05, 1.44679525e-05, -5.27933578e+02, 3.15814179e-05, 1.44679525e-05];[4.91990660e+02, -1.98880989e-04, -6.74419660e-05, -5.28080419e+02, -4.31820269e-04, -1.30680839e-04];[4.91990758e+02, -1.22070511e-04, -5.61180326e-05, -5.28080193e+02, -2.66152247e-04, -1.22307578e-04];[491., -530.];[[7.10793502e-02, 4.41231874e-14], [2.32939280e-04, 3.19131348e-14], [6.32388734e-05, -3.00380949e-18], [4.41231874e-14, 7.10793502e-02], [3.19131348e-14, 2.32939280e-04], [-3.00380949e-18, 6.32388734e-05]];[[7.09510943e-02, 2.65720449e-13], [1.44081737e-04, 2.82939151e-13], [6.61895454e-05, 1.29654350e-13], [2.65720449e-13, 7.09510943e-02], [2.82939151e-13, 1.44081737e-04], [1.29654350e-13, 6.61895454e-05]];[[8.24209259e+03, 3.91494576e-10], [3.91494576e-10, 8.24209259e+03]];[[8.24095476e+03, 2.35702360e-09], [2.35702360e-09, 8.24095476e+03]];[[0.27167097, 0.53216636, 0.52122065, 0, 0, 0], [0.53216636, 1.0424413, 1.02100015, 0, 0, 0], [0.52122065, 1.02100015, 1., 0, 0, 0], [0, 0, 0, 0.27167097, 0.53216636, 0.52122065], [0, 0, 0, 0.53216636, 1.0424413, 1.02100015], [0, 0, 0, 0.52122065, 1.02100015, 1.]];[[5.24400797e-12, 8.10761827e-05, 1.60254802e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10761827e-05, 3.28859085e-07, 4.71039557e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.60254802e-07, 4.71039557e-05, 9.23503645e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.24400797e-12, 8.10761827e-05, 1.60254802e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10761827e-05, 3.28859085e-07, 4.71039557e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60254802e-07, 4.71039557e-05, 9.23503645e-03]];[[7656.25, 0], [  0, 7656.25]];[[7656.25, 0], [  0, 7656.25]]
[4.91725594e+02, -2.64551333e-03, -2.97727220e-04, -5.29274072e+02, -1.11693774e-02, -1.25312646e-03];[0.57192014, 0.42807986];[4.91991078e+02, -1.87824813e-04, 0.00000000e+00, -5.28276766e+02, -1.89190465e-03, 0.00000000e+00];[4.91991132e+02, -2.00621451e-04, -3.98116113e-05, -5.28276406e+02, -2.04363271e-03, -4.63979821e-04];[4.91725489e+02, -2.54500053e-03, -1.47344309e-05, -5.29274520e+02, -1.07472263e-02, -5.53535843e-05];[4.91725736e+02, -2.77979972e-03, -6.75809180e-04, -5.29273475e+02, -1.17333766e-02, -2.85336624e-03];[491., -532.];[[2.67980344e-01, 5.15274833e-12], [2.37839530e-03, 2.08572198e-12], [1.48670720e-05, -1.04650579e-16], [5.15274833e-12, 2.67980344e-01], [1.91269267e-12, 2.37839530e-03], [-1.04650579e-16, 1.48670720e-05]];[[2.67770651e-01, 1.06427213e-11], [2.60225555e-03, 4.98295430e-12], [6.41688188e-04, -1.39110860e-12], [1.06427213e-11, 2.67770651e-01], [4.47777131e-12, 2.60225555e-03], [-1.72511343e-12, 6.41688171e-04]];[[1.92105497e+03, 1.35224686e-08], [1.35224686e-08, 1.92105497e+03]];[[1.92050483e+03, 2.79139285e-08], [2.79139285e-08, 1.92050483e+03]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[4.91725594e+02, -2.64551333e-03, -2.97727220e-04, -5.29274072e+02, -1.11693774e-02, -1.25312646e-03];[0.57192014, 0.42807986];[4.91991078e+02, -1.87824813e-04, 0.00000000e+00, -5.28276766e+02, -1.89190465e-03, 0.00000000e+00];[4.91991132e+02, -2.00621451e-04, -3.98116113e-05, -5.28276406e+02, -2.04363271e-03, -4.63979821e-04];[4.91725489e+02, -2.54500053e-03, -1.47344309e-05, -5.29274520e+02, -1.07472263e-02, -5.53535843e-05];[4.91725736e+02, -2.77979972e-03, -6.75809180e-04, -5.29273475e+02, -1.17333766e-02, -2.85336624e-03];[491., -532.];[[2.67980344e-01, 5.15274833e-12], [2.37839530e-03, 2.08572198e-12], [1.48670720e-05, -1.04650579e-16], [5.15274833e-12, 2.67980344e-01], [1.91269267e-12, 2.37839530e-03], [-1.04650579e-16, 1.48670720e-05]];[[2.67770651e-01, 1.06427213e-11], [2.60225555e-03, 4.98295430e-12], [6.41688188e-04, -1.39110860e-12], [1.06427213e-11, 2.67770651e-01], [4.47777131e-12, 2.60225555e-03], [-1.72511343e-12, 6.41688171e-04]];[[1.92105497e+03, 1.35224686e-08], [1.35224686e-08, 1.92105497e+03]];[[1.92050483e+03, 2.79139285e-08], [2.79139285e-08, 1.92050483e+03]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[4.91869943e+02, 1.94264786e-03, 5.52087877e-04, -5.29137420e+02, -7.57088297e-03, -6.77466231e-05];[0.55274922, 0.44725078];[4.91720990e+02, -2.57239598e-03, 0.00000000e+00, -5.29293515e+02, -1.08622864e-02, 0.00000000e+00];[4.91720072e+02, -3.62209674e-03, -4.60976078e-04, -5.29297385e+02, -1.52885612e-02, -1.94521197e-03];[4.91869568e+02, 1.66648082e-03, 5.74613717e-04, -5.29137213e+02, -6.40303279e-03, 6.04487561e-04];[4.91870405e+02, 2.28395774e-03, 5.24248596e-04, -5.29137676e+02, -9.01420806e-03, -8.98548799e-04];[492., -529.];[[5.32519360e-01, 2.42020772e-11], [1.51925693e-02, 3.16297808e-11], [2.05947451e-03, -1.06621658e-13], [2.42020772e-11, 5.32519360e-01], [3.14591812e-11, 1.51925694e-02], [-1.06621658e-13, 2.05947451e-03]];[[5.37042684e-01, 5.46680529e-10], [2.10984398e-02, 1.27639274e-09], [3.51955802e-03, 5.41091077e-10], [5.46680529e-10, 5.37042686e-01], [1.27575475e-09, 2.10984449e-02], [5.41494910e-10, 3.51956018e-03]];[[7.52036490e+02, 3.89339015e-08], [3.89339015e-08, 7.52036490e+02]];[[7.59384263e+02, 8.96714617e-07], [8.96714617e-07, 7.59384266e+02]];[[2.39878139, 2.72588796, 1.54879998, 0, 0, 0], [2.72588796, 3.09759997, 1.75999999, 0, 0, 0], [1.54879998, 1.75999999, 1., 0, 0, 0], [0, 0, 0, 2.39878139, 2.72588796, 1.54879998], [0, 0, 0, 2.72588796, 3.09759997, 1.75999999], [0, 0, 0, 1.54879998, 1.75999999, 1.]];[[7.66754364e-11, 6.91128062e-05, 7.63173933e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.91128062e-05, 1.59590566e-06, 1.30220775e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.63173933e-07, 1.30220775e-04, 1.48359938e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.66754364e-11, 6.91128062e-05, 7.63173933e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.91128062e-05, 1.59590566e-06, 1.30220775e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.63173933e-07, 1.30220775e-04, 1.48359938e-02]];[[351.5625, 0], [  0, 351.5625]];[[351.5625, 0], [  0, 351.5625]]
[4.91875346e+02, 2.41056077e-03, 2.47647504e-04, -5.29114705e+02, -5.71534367e-03, -4.97670444e-05];[0.53715597, 0.46284403];[4.91871382e+02, 1.74363331e-03, 0.00000000e+00, -5.29143865e+02, -6.72929383e-03, 0.00000000e+00];[4.91872633e+02, 2.67121020e-03, 4.83485333e-04, -5.29146262e+02, -9.13426829e-03, -5.70675951e-04];[4.91874728e+02, 1.94141098e-03, 7.85706572e-06, -5.29114105e+02, -4.97036142e-03, 6.98766727e-05];[4.91876062e+02, 2.95503494e-03, 5.25937511e-04, -5.29115400e+02, -6.57993658e-03, -1.88620165e-04];[492., -528.];[[2.60173509e-02, -2.04183439e-11], [1.53770902e-03, 2.09335699e-12], [6.10881941e-05, 1.28063858e-15], [-2.04183439e-11, 2.60173511e-02], [-2.43262291e-11, 1.53770923e-03], [1.28063858e-15, 6.10881941e-05]];[[2.69236486e-02, 1.84895182e-10], [2.22840049e-03, 2.12650720e-10], [3.33305507e-04, 7.29143272e-11], [1.84895182e-10, 2.69236499e-02], [1.45939310e-10, 2.22840176e-03], [3.36780735e-11, 3.33305882e-04]];[[7.86076632e+03, -1.64791262e-07], [-1.64791262e-07, 7.86076632e+03]];[[7.86808763e+03, 1.49502297e-06], [1.49502297e-06, 7.86808764e+03]];[[0.23059206, 0.47059603, 0.48020002, 0, 0, 0], [0.47059603, 0.96040004, 0.98000002, 0, 0, 0], [0.48020002, 0.98000002, 1., 0, 0, 0], [0, 0, 0, 0.23059206, 0.47059603, 0.48020002], [0, 0, 0, 0.47059603, 0.96040004, 0.98000002], [0, 0, 0, 0.48020002, 0.98000002, 1.]];[[4.28191846e-12, 8.17808114e-05, 1.42290101e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.17808114e-05, 2.91690185e-07, 4.35721375e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.42290101e-07, 4.35721375e-05, 8.89938842e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28191846e-12, 8.17808114e-05, 1.42290101e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.17808114e-05, 2.91690185e-07, 4.35721375e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42290101e-07, 4.35721375e-05, 8.89938842e-03]];[[7656.25, 0], [  0, 7656.25]];[[7656.25, 0], [  0, 7656.25]]
[4.91875346e+02, 2.41056077e-03, 2.47647504e-04, -5.29114705e+02, -5.71534367e-03, -4.97670444e-05];[0.53715597, 0.46284403];[4.91871382e+02, 1.74363331e-03, 0.00000000e+00, -5.29143865e+02, -6.72929383e-03, 0.00000000e+00];[4.91872633e+02, 2.67121020e-03, 4.83485333e-04, -5.29146262e+02, -9.13426829e-03, -5.70675951e-04];[4.91874728e+02, 1.94141098e-03, 7.85706572e-06, -5.29114105e+02, -4.97036142e-03, 6.98766727e-05];[4.91876062e+02, 2.95503494e-03, 5.25937511e-04, -5.29115400e+02, -6.57993658e-03, -1.88620165e-04];[492., -528.];[[2.60173509e-02, -2.04183439e-11], [1.53770902e-03, 2.09335699e-12], [6.10881941e-05, 1.28063858e-15], [-2.04183439e-11, 2.60173511e-02], [-2.43262291e-11, 1.53770923e-03], [1.28063858e-15, 6.10881941e-05]];[[2.69236486e-02, 1.84895182e-10], [2.22840049e-03, 2.12650720e-10], [3.33305507e-04, 7.29143272e-11], [1.84895182e-10, 2.69236499e-02], [1.45939310e-10, 2.22840176e-03], [3.36780735e-11, 3.33305882e-04]];[[7.86076632e+03, -1.64791262e-07], [-1.64791262e-07, 7.86076632e+03]];[[7.86808763e+03, 1.49502297e-06], [1.49502297e-06, 7.86808764e+03]];[[0.23059206, 0.47059603, 0.48020002, 0, 0, 0], [0.47059603, 0.96040004, 0.98000002, 0, 0, 0], [0.48020002, 0.98000002, 1., 0, 0, 0], [0, 0, 0, 0.23059206, 0.47059603, 0.48020002], [0, 0, 0, 0.47059603, 0.96040004, 0.98000002], [0, 0, 0, 0.48020002, 0.98000002, 1.]];[[4.28191846e-12, 8.17808114e-05, 1.42290101e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.17808114e-05, 2.91690185e-07, 4.35721375e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.42290101e-07, 4.35721375e-05, 8.89938842e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28191846e-12, 8.17808114e-05, 1.42290101e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.17808114e-05, 2.91690185e-07, 4.35721375e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42290101e-07, 4.35721375e-05, 8.89938842e-03]];[[7656.25, 0], [  0, 7656.25]];[[7656.25, 0], [  0, 7656.25]]
[4.91428497e+02, -5.73651816e-02, -5.10727910e-03, -5.28134414e+02, 1.26126265e-01, 1.15132553e-02];[0.53548754, 0.46451246];[4.91879135e+02, 2.07519661e-03, 0.00000000e+00, -5.29124844e+02, -5.18280512e-03, 0.00000000e+00];[4.91882361e+02, 3.59040629e-03, 3.57101683e-04, -5.29128320e+02, -6.57319414e-03, -1.17991633e-04];[4.91452772e+02, -4.56299122e-02, -3.09244364e-03, -5.28188943e+02, 9.95335293e-02, 6.78814676e-03];[4.91400514e+02, -7.08935386e-02, -7.42997088e-03, -5.28071552e+02, 1.56782231e-01, 1.69603356e-02];[490, -525.];[[2.26893539e-01, -3.61240425e-10], [2.53867338e-02, 4.57438540e-11], [1.64567371e-03, 7.68954728e-13], [-3.61240425e-10, 2.26893554e-01], [-2.22353460e-10, 2.53867396e-02], [7.68954728e-13, 1.64567367e-03]];[[2.55980034e-01, 6.84228754e-09], [3.95694391e-02, 4.04193434e-09], [4.13686653e-03, 6.99084165e-10], [6.84228754e-09, 2.55980094e-01], [3.26762476e-09, 3.95694698e-02], [5.27324602e-10, 4.13687129e-03]];[[1.26316691e+03, -5.90225258e-07], [-5.90225258e-07, 1.26316694e+03]];[[1.31254878e+03, 1.20706934e-05], [1.20706934e-05, 1.31254889e+03]];[[4.32124551, 4.23859287, 2.07876057, 0, 0, 0], [4.23859287, 4.15752114, 2.03900003, 0, 0, 0], [2.07876057, 2.03900003, 1., 0, 0, 0], [0, 0, 0, 4.32124551, 4.23859287, 2.07876057], [0, 0, 0, 4.23859287, 4.15752114, 2.03900003], [0, 0, 0, 2.07876057, 2.03900003, 1.]];[[1.57633032e-10, 6.49443544e-05, 1.15465051e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.49443544e-05, 2.43189917e-06, 1.70120230e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.15465051e-06, 1.70120230e-04, 1.67444058e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.57633032e-10, 6.49443544e-05, 1.15465051e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.49443544e-05, 2.43189917e-06, 1.70120230e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.15465051e-06, 1.70120230e-04, 1.67444058e-02]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[4.91428497e+02, -5.73651816e-02, -5.10727910e-03, -5.28134414e+02, 1.26126265e-01, 1.15132553e-02];[0.53548754, 0.46451246];[4.91879135e+02, 2.07519661e-03, 0.00000000e+00, -5.29124844e+02, -5.18280512e-03, 0.00000000e+00];[4.91882361e+02, 3.59040629e-03, 3.57101683e-04, -5.29128320e+02, -6.57319414e-03, -1.17991633e-04];[4.91452772e+02, -4.56299122e-02, -3.09244364e-03, -5.28188943e+02, 9.95335293e-02, 6.78814676e-03];[4.91400514e+02, -7.08935386e-02, -7.42997088e-03, -5.28071552e+02, 1.56782231e-01, 1.69603356e-02];[490, -525.];[[2.26893539e-01, -3.61240425e-10], [2.53867338e-02, 4.57438540e-11], [1.64567371e-03, 7.68954728e-13], [-3.61240425e-10, 2.26893554e-01], [-2.22353460e-10, 2.53867396e-02], [7.68954728e-13, 1.64567367e-03]];[[2.55980034e-01, 6.84228754e-09], [3.95694391e-02, 4.04193434e-09], [4.13686653e-03, 6.99084165e-10], [6.84228754e-09, 2.55980094e-01], [3.26762476e-09, 3.95694698e-02], [5.27324602e-10, 4.13687129e-03]];[[1.26316691e+03, -5.90225258e-07], [-5.90225258e-07, 1.26316694e+03]];[[1.31254878e+03, 1.20706934e-05], [1.20706934e-05, 1.31254889e+03]];[[4.32124551, 4.23859287, 2.07876057, 0, 0, 0], [4.23859287, 4.15752114, 2.03900003, 0, 0, 0], [2.07876057, 2.03900003, 1., 0, 0, 0], [0, 0, 0, 4.32124551, 4.23859287, 2.07876057], [0, 0, 0, 4.23859287, 4.15752114, 2.03900003], [0, 0, 0, 2.07876057, 2.03900003, 1.]];[[1.57633032e-10, 6.49443544e-05, 1.15465051e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.49443544e-05, 2.43189917e-06, 1.70120230e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.15465051e-06, 1.70120230e-04, 1.67444058e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.57633032e-10, 6.49443544e-05, 1.15465051e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.49443544e-05, 2.43189917e-06, 1.70120230e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.15465051e-06, 1.70120230e-04, 1.67444058e-02]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
