state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[-70, 0, 0, -389., 0, 0.];[0.8, 0.2];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[-70, 0, 0, -389., 0, 0.];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[-7.15000947e+01, -3.78648474e-04, -3.78623328e-04, -3.90500095e+02, -3.78648474e-04, -3.78623328e-04];[0.70998176, 0.29001824];[-70, 0, 0, -389., 0, 0.];[-70, 0, 0, -389., 0, 0.];[-7.15001333e+01, -5.33285930e-04, -5.33285930e-04, -3.90500133e+02, -5.33285930e-04, -5.33285930e-04];[-7.15000000e+01, -8.68656402e-08, -1.60940435e-10, -3.90500000e+02, -8.68656402e-08, -1.60940435e-10];[-73., -392.];[[5.00044440e-01, 0.00000000e+00], [1.77761977e-04, 0.00000000e+00], [1.77761977e-04, 0.00000000e+00], [0.00000000e+00, 5.00044440e-01], [0.00000000e+00, 1.77761977e-04], [0.00000000e+00, 1.77761977e-04]];[[5.00000000e-01, 1.43607745e-31], [2.89552134e-08, -8.31638581e-39], [5.36468115e-11, -1.54081953e-41], [1.43607745e-31, 5.00000000e-01], [-8.31638581e-39, 2.89552134e-08], [-1.54081953e-41, 5.36468115e-11]];[[2812.75, 0], [  0, 2812.75]];[[2.81250000e+03, 8.07793567e-28], [8.07793567e-28, 2.81250000e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[-7.36700579e+01, -5.00540902e-03, -1.61825167e-03, -3.91001044e+02, -1.48845886e-03, -4.12804098e-04];[0.64689905, 0.35310095];[-7.15006322e+01, -4.97434189e-04, 0.00000000e+00, -3.90500632e+02, -4.97434189e-04, 0.00000000e+00];[-7.15002856e+01, -3.17096573e-04, -1.45267007e-04, -3.90500286e+02, -3.17096573e-04, -1.45267007e-04];[-7.36707381e+01, -5.78522388e-03, -1.60462274e-03, -3.91001264e+02, -1.71729774e-03, -3.70177484e-04];[-7.36688119e+01, -3.57674821e-03, -1.64322056e-03, -3.91000641e+02, -1.06921430e-03, -4.90898243e-04];[-78., -392.];[[3.33894911e-01, 9.08891485e-12], [8.13585238e-04, 1.07240895e-11], [2.46889051e-04, -3.36876808e-15], [9.08891485e-12, 3.33894911e-01], [1.07240895e-11, 8.13585238e-04], [-3.36876808e-15, 2.46889051e-04]];[[3.33634082e-01, 5.95887090e-11], [5.01506881e-04, 9.92383990e-11], [2.30464510e-04, 4.54750723e-11], [5.95887090e-11, 3.33634082e-01], [9.92383990e-11, 5.01506881e-04], [4.54750723e-11, 2.30464510e-04]];[[2.11115336e+03, 2.88064053e-08], [2.88064053e-08, 2.11115336e+03]];[[2.11032702e+03, 1.88712627e-07], [1.88712627e-07, 2.11032702e+03]];[[0.27167097, 0.53216636, 0.52122065, 0, 0, 0], [0.53216636, 1.0424413, 1.02100015, 0, 0, 0], [0.52122065, 1.02100015, 1., 0, 0, 0], [0, 0, 0, 0.27167097, 0.53216636, 0.52122065], [0, 0, 0, 0.53216636, 1.0424413, 1.02100015], [0, 0, 0, 0.52122065, 1.02100015, 1.]];[[5.24400797e-12, 8.10761827e-05, 1.60254802e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10761827e-05, 3.28859085e-07, 4.71039557e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.60254802e-07, 4.71039557e-05, 9.23503645e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.24400797e-12, 8.10761827e-05, 1.60254802e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10761827e-05, 3.28859085e-07, 4.71039557e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60254802e-07, 4.71039557e-05, 9.23503645e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[-8.15948452e+01, -7.17787479e-02, -8.04308137e-03, -3.90005443e+02, 7.36336100e-03, 9.31358661e-04];[0.57185278, 0.42814722];[-8.07003138e+01, -5.77438718e-02, 0.00000000e+00, -3.90247825e+02, 3.94710804e-03, 0.00000000e+00];[-8.06992761e+01, -6.25615051e-02, -1.51051728e-02, -3.90247808e+02, 4.35346708e-03, 1.17861248e-03];[-8.15952068e+01, -6.91970490e-02, -1.80175454e-04, -3.90005459e+02, 7.04900062e-03, 4.87973818e-05];[-8.15943623e+01, -7.52269815e-02, -1.85451337e-02, -3.90005422e+02, 7.78323493e-03, 2.11014738e-03];[-89., -388.];[[1.07822505e-01, 6.68768108e-11], [1.37995308e-03, 1.21352126e-10], [2.17087068e-05, -1.62726485e-15], [6.68768108e-11, 1.07822505e-01], [1.51686986e-10, 1.37995322e-03], [-1.62726485e-15, 2.17087069e-05]];[[1.07832310e-01, 1.52529837e-10], [1.52582801e-03, 2.90301272e-10], [4.14416996e-04, 4.39822037e-11], [1.52529837e-10, 1.07832310e-01], [3.58374937e-10, 1.52582877e-03], [1.57131290e-10, 4.14419740e-04]];[[1.0945832e+03, 8.2048958e-08], [8.2048958e-08, 1.0945832e+03]];[[1.09459523e+03, 1.87137950e-07], [1.87137950e-07, 1.09459523e+03]];[[5.64631972e-04, 5.18011138e-03, 2.37619859e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [5.18011138e-03, 4.75239717e-02, 2.17999935e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.37619859e-02, 2.17999935e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.64631972e-04, 5.18011138e-03, 2.37619859e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.18011138e-03, 4.75239717e-02, 2.17999935e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.37619859e-02, 2.17999935e-01, 1.00000000e+00]];[[2.43221054e-15, 9.57106040e-05, 1.68950914e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.57106040e-05, 3.39751436e-09, 2.32505010e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.68950914e-09, 2.32505010e-06, 2.13315860e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.43221054e-15, 9.57106040e-05, 1.68950914e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.57106040e-05, 3.39751436e-09, 2.32505010e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.68950914e-09, 2.32505010e-06, 2.13315860e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[-8.15948452e+01, -7.17787479e-02, -8.04308137e-03, -3.90005443e+02, 7.36336100e-03, 9.31358661e-04];[0.57185278, 0.42814722];[-8.07003138e+01, -5.77438718e-02, 0.00000000e+00, -3.90247825e+02, 3.94710804e-03, 0.00000000e+00];[-8.06992761e+01, -6.25615051e-02, -1.51051728e-02, -3.90247808e+02, 4.35346708e-03, 1.17861248e-03];[-8.15952068e+01, -6.91970490e-02, -1.80175454e-04, -3.90005459e+02, 7.04900062e-03, 4.87973818e-05];[-8.15943623e+01, -7.52269815e-02, -1.85451337e-02, -3.90005422e+02, 7.78323493e-03, 2.11014738e-03];[-89., -388.];[[1.07822505e-01, 6.68768108e-11], [1.37995308e-03, 1.21352126e-10], [2.17087068e-05, -1.62726485e-15], [6.68768108e-11, 1.07822505e-01], [1.51686986e-10, 1.37995322e-03], [-1.62726485e-15, 2.17087069e-05]];[[1.07832310e-01, 1.52529837e-10], [1.52582801e-03, 2.90301272e-10], [4.14416996e-04, 4.39822037e-11], [1.52529837e-10, 1.07832310e-01], [3.58374937e-10, 1.52582877e-03], [1.57131290e-10, 4.14419740e-04]];[[1.0945832e+03, 8.2048958e-08], [8.2048958e-08, 1.0945832e+03]];[[1.09459523e+03, 1.87137950e-07], [1.87137950e-07, 1.09459523e+03]];[[5.64631972e-04, 5.18011138e-03, 2.37619859e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [5.18011138e-03, 4.75239717e-02, 2.17999935e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.37619859e-02, 2.17999935e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.64631972e-04, 5.18011138e-03, 2.37619859e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.18011138e-03, 4.75239717e-02, 2.17999935e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.37619859e-02, 2.17999935e-01, 1.00000000e+00]];[[2.43221054e-15, 9.57106040e-05, 1.68950914e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.57106040e-05, 3.39751436e-09, 2.32505010e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.68950914e-09, 2.32505010e-06, 2.13315860e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.43221054e-15, 9.57106040e-05, 1.68950914e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.57106040e-05, 3.39751436e-09, 2.32505010e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.68950914e-09, 2.32505010e-06, 2.13315860e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[-8.18345910e+01, -9.19594558e-02, -7.22927022e-03, -3.89963283e+02, 1.11298804e-02, 1.07628270e-03];[0.55045618, 0.44954382];[-8.17196015e+01, -6.99007688e-02, 0.00000000e+00, -3.89992748e+02, 7.13468900e-03, 0.00000000e+00];[-8.17489553e+01, -9.86167447e-02, -1.25881448e-02, -3.89989248e+02, 1.04442520e-02, 1.43685161e-03];[-8.18194218e+01, -7.76851637e-02, -1.29573043e-03, -3.89965426e+02, 9.26538635e-03, 3.54659736e-04];[-8.18531655e+01, -1.09438002e-01, -1.44947546e-02, -3.89960659e+02, 1.34129108e-02, 1.95989359e-03];[-89., -388.];[[1.37108271e-02, -2.54490869e-11], [1.06922647e-03, -4.58328791e-11], [1.77975207e-04, 4.59227033e-15], [-2.54490869e-11, 1.37108256e-02], [-3.22642753e-11, 1.06922557e-03], [4.59227033e-15, 1.77975207e-04]];[[1.43717437e-02, -2.93428122e-09], [1.49237130e-03, -3.01652251e-09], [2.62942422e-04, -1.32935033e-09], [-2.93428122e-09, 1.43717132e-02], [-2.86672132e-09, 1.49234164e-03], [-1.23960147e-09, 2.62929970e-04]];[[8.91124301e+03, -2.29935605e-07], [-2.29935605e-07, 8.91124300e+03]];[[8.91721848e+03, -2.65471548e-05], [-2.65471548e-05, 8.91721820e+03]];[[2.51533358, 2.82463079, 1.58598032, 0, 0, 0], [2.82463079, 3.17196064, 1.7809999, 0, 0, 0], [1.58598032, 1.7809999, 1., 0, 0, 0], [0, 0, 0, 2.51533358, 2.82463079, 1.58598032], [0, 0, 0, 2.82463079, 3.17196064, 1.7809999], [0, 0, 0, 1.58598032, 1.7809999, 1.]];[[8.12680342e-11, 6.87926090e-05, 7.89189590e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.87926090e-05, 1.65119673e-06, 1.33075350e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.89189590e-07, 1.33075350e-04, 1.49833723e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.12680342e-11, 6.87926090e-05, 7.89189590e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.87926090e-05, 1.65119673e-06, 1.33075350e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.89189590e-07, 1.33075350e-04, 1.49833723e-02]];[[8789.0625, 0], [  0, 8789.0625]];[[8789.0625, 0], [  0, 8789.0625]]
[-8.78992400e+01, -8.77664853e-01, -7.81092605e-02, -3.87502313e+02, 3.32108559e-01, 3.06989018e-02];[0.5426865, 0.4573135];[-8.19037235e+01, -8.16849143e-02, 0.00000000e+00, -3.89955233e+02, 9.78782985e-03, 0.00000000e+00];[-8.19545377e+01, -1.15137522e-01, -1.10152759e-02, -3.89948305e+02, 1.42392586e-02, 1.51833041e-03];[-8.77656957e+01, -7.42996285e-01, -1.91597635e-02, -3.87553883e+02, 2.80690421e-01, 7.84879885e-03];[-8.80577148e+01, -1.03747386e+00, -1.48063671e-01, -3.87441116e+02, 3.93125629e-01, 5.78147477e-02];[-94., -385.];[[4.84609585e-01, -1.30521229e-07], [5.46706104e-02, -1.11265914e-07], [1.58393912e-03, 4.01128297e-10], [-1.30521229e-07, 4.84608544e-01], [-1.06237322e-07, 5.46697380e-02], [4.01128297e-10, 1.58394232e-03]];[[5.06678398e-01, -3.11344542e-07], [7.65711245e-02, -3.52071310e-07], [1.13775529e-02, -1.03345898e-07], [-3.11344542e-07, 5.06675683e-01], [-3.36599301e-07, 7.65680954e-02], [-9.57525829e-08, 1.13766754e-02]];[[3.03168230e+02, -7.67763792e-05], [-7.67763792e-05, 3.03167618e+02]];[[3.16730504e+02, -1.99893479e-04], [-1.99893479e-04, 3.16728762e+02]];[[0.23059206, 0.47059603, 0.48020002, 0, 0, 0], [0.47059603, 0.96040004, 0.98000002, 0, 0, 0], [0.48020002, 0.98000002, 1., 0, 0, 0], [0, 0, 0, 0.23059206, 0.47059603, 0.48020002], [0, 0, 0, 0.47059603, 0.96040004, 0.98000002], [0, 0, 0, 0.48020002, 0.98000002, 1.]];[[4.28191846e-12, 8.17808114e-05, 1.42290101e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.17808114e-05, 2.91690185e-07, 4.35721375e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.42290101e-07, 4.35721375e-05, 8.89938842e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28191846e-12, 8.17808114e-05, 1.42290101e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.17808114e-05, 2.91690185e-07, 4.35721375e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42290101e-07, 4.35721375e-05, 8.89938842e-03]];[[156.25, 0], [  0, 156.25]];[[156.25, 0], [  0, 156.25]]
[-8.88820660e+01, -9.48044209e-01, -5.46334922e-02, -3.87120146e+02, 3.61284152e-01, 2.14985137e-02];[0.53003716, 0.46996284];[-8.85846184e+01, -7.81118623e-01, 0.00000000e+00, -3.87244039e+02, 2.95246005e-01, 0.00000000e+00];[-8.90544619e+01, -1.10614467e+00, -1.13777395e-01, -3.87063203e+02, 4.20441780e-01, 4.44844796e-02];[-8.86593830e+01, -7.93138756e-01, -3.69411408e-04, -3.87206338e+02, 3.01305785e-01, 1.86301464e-04];[-8.91332141e+01, -1.12275089e+00, -1.15834032e-01, -3.87022937e+02, 4.28929424e-01, 4.55350196e-02];[-97., -383.];[[8.88362880e-03, -1.30285129e-06], [1.42802090e-03, -6.57989116e-07], [4.38971957e-05, 5.77041403e-11], [-1.30285129e-06, 8.88068989e-03], [-6.54197808e-07, 1.42653624e-03], [5.77041403e-11, 4.38973258e-05]];[[9.91045995e-03, -2.03045814e-06], [2.08933339e-03, -1.31373707e-06], [2.58654112e-04, -3.67042952e-07], [-2.03045814e-06, 9.90583336e-03], [-1.31069958e-06, 2.08634200e-03], [-3.70057558e-07, 2.57826114e-04]];[[1.13902492e+04, -1.49727695e-02], [-1.49727695e-02, 1.13902155e+04]];[[1.14020622e+04, -2.33830385e-02], [-2.33830385e-02, 1.14020089e+04]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[11289.0625, 0], [  0, 11289.0625]];[[11289.0625, 0], [  0, 11289.0625]]
[-9.70768338e+01, -2.45100789e+00, -1.06821167e-01, -3.88744166e+02, -2.91135610e-02, -6.92824467e-03];[0.5208817, 0.4791183];[-9.07871868e+01, -1.08804430e+00, 0.00000000e+00, -3.86840960e+02, 3.31439702e-01, 0.00000000e+00];[-9.12731739e+01, -1.36438986e+00, -9.64781705e-02, -3.86699586e+02, 4.13466544e-01, 2.75873619e-02];[-9.67988582e+01, -2.21225312e+00, -8.31880574e-06, -3.88730251e+02, -2.03514841e-02, -2.62202861e-06];[-9.73790398e+01, -2.71057423e+00, -2.22944593e-01, -3.88759293e+02, -3.86394037e-02, -1.44575545e-02];[-104., -391.];[[4.55031085e-01, -1.36875989e-04], [8.51139544e-02, -9.28007269e-05], [6.29551630e-07, 1.58120032e-10], [-1.36875989e-04, 4.54696139e-01], [-9.34018359e-05, 8.48814448e-02], [1.58120032e-10, 6.29938561e-07]];[[4.79817475e-01, -1.59903413e-04], [1.05818132e-01, -1.26638855e-04], [9.94744001e-03, -3.09079391e-05], [-1.59903413e-04, 4.79428812e-01], [-1.27523639e-04, 1.05508188e-01], [-3.14512625e-05, 9.87002379e-03]];[[2.86713619e+02, -7.19676003e-02], [-7.19676003e-02, 2.86537509e+02]];[[3.00375363e+02, -9.22660472e-02], [-9.22660472e-02, 3.00151100e+02]];[[3.25806163e-08, 3.42952892e-06, 1.80501015e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [3.42952892e-06, 3.61002029e-04, 1.90000534e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.80501015e-04, 1.90000534e-02, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.25806163e-08, 3.42952892e-06, 1.80501015e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.42952892e-06, 3.61002029e-04, 1.90000534e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.80501015e-04, 1.90000534e-02, 1.00000000e+00]];[[1.21127067e-20, 9.96205400e-05, 1.14100651e-12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.96205400e-05, 2.28309750e-12, 1.80158442e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.14100651e-12, 1.80158442e-08, 1.89639989e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.21127067e-20, 9.96205400e-05, 1.14100651e-12], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.96205400e-05, 2.28309750e-12, 1.80158442e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14100651e-12, 1.80158442e-08, 1.89639989e-04]];[[156.25, 0], [  0, 156.25]];[[156.25, 0], [  0, 156.25]]
[-9.70768338e+01, -2.45100789e+00, -1.06821167e-01, -3.88744166e+02, -2.91135610e-02, -6.92824467e-03];[0.5208817, 0.4791183];[-9.07871868e+01, -1.08804430e+00, 0.00000000e+00, -3.86840960e+02, 3.31439702e-01, 0.00000000e+00];[-9.12731739e+01, -1.36438986e+00, -9.64781705e-02, -3.86699586e+02, 4.13466544e-01, 2.75873619e-02];[-9.67988582e+01, -2.21225312e+00, -8.31880574e-06, -3.88730251e+02, -2.03514841e-02, -2.62202861e-06];[-9.73790398e+01, -2.71057423e+00, -2.22944593e-01, -3.88759293e+02, -3.86394037e-02, -1.44575545e-02];[-104., -391.];[[4.55031085e-01, -1.36875989e-04], [8.51139544e-02, -9.28007269e-05], [6.29551630e-07, 1.58120032e-10], [-1.36875989e-04, 4.54696139e-01], [-9.34018359e-05, 8.48814448e-02], [1.58120032e-10, 6.29938561e-07]];[[4.79817475e-01, -1.59903413e-04], [1.05818132e-01, -1.26638855e-04], [9.94744001e-03, -3.09079391e-05], [-1.59903413e-04, 4.79428812e-01], [-1.27523639e-04, 1.05508188e-01], [-3.14512625e-05, 9.87002379e-03]];[[2.86713619e+02, -7.19676003e-02], [-7.19676003e-02, 2.86537509e+02]];[[3.00375363e+02, -9.22660472e-02], [-9.22660472e-02, 3.00151100e+02]];[[3.25806163e-08, 3.42952892e-06, 1.80501015e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [3.42952892e-06, 3.61002029e-04, 1.90000534e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.80501015e-04, 1.90000534e-02, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.25806163e-08, 3.42952892e-06, 1.80501015e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.42952892e-06, 3.61002029e-04, 1.90000534e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.80501015e-04, 1.90000534e-02, 1.00000000e+00]];[[1.21127067e-20, 9.96205400e-05, 1.14100651e-12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.96205400e-05, 2.28309750e-12, 1.80158442e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.14100651e-12, 1.80158442e-08, 1.89639989e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.21127067e-20, 9.96205400e-05, 1.14100651e-12], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.96205400e-05, 2.28309750e-12, 1.80158442e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14100651e-12, 1.80158442e-08, 1.89639989e-04]];[[156.25, 0], [  0, 156.25]];[[156.25, 0], [  0, 156.25]]
