state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[1.24776191e+03, -8.61237074e-05, -3.55384029e-04, 1.03428087e+03, -7.00667450e-05, -2.89125990e-04];[0.70999999, 0.29000001];[1272., 0, 0, 1054., 0, 0.];[1272., 0, 0, 1054., 0, 0.];[1.24776191e+03, -1.20630319e-04, -5.00540873e-04, 1.03428087e+03, -9.81399205e-05, -4.07219693e-04];[1.24776192e+03, -1.64200547e-06, -3.92537731e-11, 1.03428088e+03, -1.33586885e-06, -3.19352730e-11];[1213., 1006.];[[4.10815166e-01, 0.00000000e+00], [2.04458168e-06, 0.00000000e+00], [8.48374361e-06, 0.00000000e+00], [0.00000000e+00, 4.10815166e-01], [0.00000000e+00, 2.04458168e-06], [0.00000000e+00, 8.48374361e-06]];[[4.10814985e-01, 0.00000000e+00], [2.78306011e-08, 0.00000000e+00], [6.65318188e-13, 0.00000000e+00], [0.00000000e+00, 4.10814985e-01], [0.00000000e+00, 2.78306011e-08], [0.00000000e+00, 6.65318188e-13]];[[3423.0743124, 0], [  0, 3423.0743124]];[[3423.07377143, 0], [  0, 3423.07377143]];[[8.43349759e-04, 6.99875502e-03, 2.90404848e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.99875502e-03, 5.80809697e-02, 2.40999937e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.90404848e-02, 2.40999937e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.43349759e-04, 6.99875502e-03, 2.90404848e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.99875502e-03, 5.80809697e-02, 2.40999937e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.90404848e-02, 2.40999937e-01, 1.00000000e+00]];[[4.01098502e-15, 9.52662007e-05, 2.27743324e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.52662007e-05, 4.58244208e-09, 2.83503476e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.27743324e-09, 2.83503476e-06, 2.35284043e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.01098502e-15, 9.52662007e-05, 2.27743324e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.52662007e-05, 4.58244208e-09, 2.83503476e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.27743324e-09, 2.83503476e-06, 2.35284043e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[1.24776191e+03, -8.61237074e-05, -3.55384029e-04, 1.03428087e+03, -7.00667450e-05, -2.89125990e-04];[0.70999999, 0.29000001];[1272., 0, 0, 1054., 0, 0.];[1272., 0, 0, 1054., 0, 0.];[1.24776191e+03, -1.20630319e-04, -5.00540873e-04, 1.03428087e+03, -9.81399205e-05, -4.07219693e-04];[1.24776192e+03, -1.64200547e-06, -3.92537731e-11, 1.03428088e+03, -1.33586885e-06, -3.19352730e-11];[1213., 1006.];[[4.10815166e-01, 0.00000000e+00], [2.04458168e-06, 0.00000000e+00], [8.48374361e-06, 0.00000000e+00], [0.00000000e+00, 4.10815166e-01], [0.00000000e+00, 2.04458168e-06], [0.00000000e+00, 8.48374361e-06]];[[4.10814985e-01, 0.00000000e+00], [2.78306011e-08, 0.00000000e+00], [6.65318188e-13, 0.00000000e+00], [0.00000000e+00, 4.10814985e-01], [0.00000000e+00, 2.78306011e-08], [0.00000000e+00, 6.65318188e-13]];[[3423.0743124, 0], [  0, 3423.0743124]];[[3423.07377143, 0], [  0, 3423.07377143]];[[8.43349759e-04, 6.99875502e-03, 2.90404848e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.99875502e-03, 5.80809697e-02, 2.40999937e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.90404848e-02, 2.40999937e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.43349759e-04, 6.99875502e-03, 2.90404848e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.99875502e-03, 5.80809697e-02, 2.40999937e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.90404848e-02, 2.40999937e-01, 1.00000000e+00]];[[4.01098502e-15, 9.52662007e-05, 2.27743324e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.52662007e-05, 4.58244208e-09, 2.83503476e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.27743324e-09, 2.83503476e-06, 2.35284043e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.01098502e-15, 9.52662007e-05, 2.27743324e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.52662007e-05, 4.58244208e-09, 2.83503476e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.27743324e-09, 2.83503476e-06, 2.35284043e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[1.22815322e+03, -5.77763318e-02, -3.09942782e-02, 1.01896194e+03, -4.51422439e-02, -2.42151628e-02];[0.64700928, 0.35299072];[1.24776171e+03, -1.12630332e-04, 0.00000000e+00, 1.03428071e+03, -9.16314563e-05, 0.00000000e+00];[1.24776163e+03, -2.78840176e-04, -1.26883121e-04, 1.03428065e+03, -2.26853024e-04, -1.03226946e-04];[1.22813999e+03, -7.38656637e-02, -4.08499988e-02, 1.01895160e+03, -5.77098447e-02, -3.19133171e-02];[1.22817747e+03, -2.82856216e-02, -1.29293765e-02, 1.01898088e+03, -2.21066402e-02, -1.01049414e-02];[1145., 954.];[[1.90943913e-01, 5.13913933e-13], [7.17709285e-04, 3.46464957e-13], [3.97521595e-04, -2.52506457e-16], [5.13913933e-13, 1.90943913e-01], [3.46464957e-13, 7.17709285e-04], [-2.52506457e-16, 3.97521595e-04]];[[1.90578501e-01, 3.17647609e-11], [2.72541201e-04, 3.85822882e-11], [1.24584359e-04, 1.76604442e-11], [3.17647609e-11, 1.90578501e-01], [3.85822882e-11, 2.72541185e-04], [1.76604442e-11, 1.24584352e-04]];[[3.81247311e+03, 2.42169002e-09], [2.42169002e-09, 3.81247311e+03]];[[3.81233640e+03, 1.49610499e-07], [1.49610499e-07, 3.81233640e+03]];[[2.29686267, 2.63855572, 1.51554039, 0, 0, 0], [2.63855572, 3.03108078, 1.74099994, 0, 0, 0], [1.51554039, 1.74099994, 1., 0, 0, 0], [0, 0, 0, 2.29686267, 2.63855572, 1.51554039], [0, 0, 0, 2.63855572, 3.03108078, 1.74099994], [0, 0, 0, 1.51554039, 1.74099994, 1.]];[[7.26996936e-11, 6.94034250e-05, 7.40103599e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.94034250e-05, 1.54690890e-06, 1.27659623e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.40103599e-07, 1.27659623e-04, 1.47021160e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.26996936e-11, 6.94034250e-05, 7.40103599e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.94034250e-05, 1.54690890e-06, 1.27659623e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.40103599e-07, 1.27659623e-04, 1.47021160e-02]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[1.21409356e+03, -1.96652861e-01, -2.96740541e-02, 1.00700654e+03, -1.62757985e-01, -2.47497819e-02];[0.60313199, 0.39686801];[1.22807363e+03, -6.98627216e-02, 0.00000000e+00, 1.01889975e+03, -5.45830910e-02, 0.00000000e+00];[1.22811951e+03, -5.81697038e-02, -1.78788869e-02, 1.01893559e+03, -4.54546625e-02, -1.39703596e-02];[1.21404980e+03, -2.10659621e-01, -1.34341971e-02, 1.00697045e+03, -1.74350373e-01, -1.14277374e-02];[1.21416007e+03, -1.75366375e-01, -5.43542430e-02, 1.00706139e+03, -1.45140692e-01, -4.49956851e-02];[1093., 904.];[[1.03823516e-01, 7.71885220e-08], [1.04233131e-03, 4.72497736e-08], [9.94583358e-05, -8.56643985e-12], [7.71885220e-08, 1.03823478e-01], [4.72480489e-08, 1.04230773e-03], [-8.56643985e-12, 9.94583400e-05]];[[1.03311556e-01, 2.40279321e-07], [8.67185391e-04, 2.00201832e-07], [2.69889144e-04, 7.02016497e-08], [2.40279321e-07, 1.03311436e-01], [2.00193849e-07, 8.67085478e-04], [7.01971995e-08, 2.69854107e-04]];[[4.99711236e+03, 4.30405961e-04], [4.30405961e-04, 4.99711215e+03]];[[4.99972353e+03, 1.33974071e-03], [1.33974071e-03, 4.99972286e+03]];[[0.24701345, 0.49551346, 0.49700448, 0, 0, 0], [0.49551346, 0.99400896, 0.99699998, 0, 0, 0], [0.49700448, 0.99699998, 1., 0, 0, 0], [0, 0, 0, 0.24701345, 0.49551346, 0.49700448], [0, 0, 0, 0.49551346, 0.99400896, 0.99699998], [0, 0, 0, 0.49700448, 0.99699998, 1.]];[[4.66208228e-12, 8.14881118e-05, 1.49572200e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14881118e-05, 3.06750482e-07, 4.50215930e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.49572200e-07, 4.50215930e-05, 9.03889288e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.66208228e-12, 8.14881118e-05, 1.49572200e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14881118e-05, 3.06750482e-07, 4.50215930e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49572200e-07, 4.50215930e-05, 9.03889288e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[1.19765444e+03, -5.56974388e-01, -6.11094109e-02, 9.93592588e+02, -4.56969608e-01, -5.00905607e-02];[0.572798, 0.427202];[1.21384973e+03, -2.06987754e-01, 0.00000000e+00, 1.00680483e+03, -1.71311433e-01, 0.00000000e+00];[1.21392683e+03, -2.27228706e-01, -4.12608782e-02, 1.00686838e+03, -1.88135052e-01, -3.42152373e-02];[1.19761373e+03, -5.26835625e-01, -1.92729850e-02, 9.93559120e+02, -4.32250104e-01, -1.57233624e-02];[1.19770903e+03, -5.97384833e-01, -1.17204234e-01, 9.93637462e+02, -4.90113839e-01, -9.61705464e-02];[1029., 856.];[[8.78330736e-02, 4.97895818e-07], [1.73017445e-03, 1.69706303e-07], [1.04263034e-04, -5.69107771e-11], [4.97895818e-07, 8.78328590e-02], [1.69914504e-07, 1.73009883e-03], [-5.69107771e-11, 1.04263059e-04]];[[8.76976538e-02, 9.95315876e-07], [2.00134286e-03, 3.58897990e-07], [4.10701695e-04, -4.24530241e-08], [9.95315876e-07, 8.76972027e-02], [3.60077465e-07, 2.00116284e-03], [-4.15369240e-08, 4.10708922e-04]];[[5.00889007e+03, 2.73404435e-03], [2.73404435e-03, 5.00888889e+03]];[[5.01133127e+03, 5.46732685e-03], [5.46732685e-03, 5.01132879e+03]];[[0.27273679, 0.53373144, 0.52224208, 0, 0, 0], [0.53373144, 1.04448415, 1.02200007, 0, 0, 0], [0.52224208, 1.02200007, 1., 0, 0, 0], [0, 0, 0, 0.27273679, 0.53373144, 0.52224208], [0, 0, 0, 0.53373144, 1.04448415, 1.02200007], [0, 0, 0, 0.52224208, 1.02200007, 1.]];[[5.26944916e-12, 8.10590533e-05, 1.60710198e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10590533e-05, 3.29801973e-07, 4.71916257e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.60710198e-07, 4.71916257e-05, 9.24318803e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.26944916e-12, 8.10590533e-05, 1.60710198e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10590533e-05, 3.29801973e-07, 4.71916257e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60710198e-07, 4.71916257e-05, 9.24318803e-03]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[1.16922214e+03, -1.73049777e+00, -1.13680815e-01, 9.70209492e+02, -1.42230842e+00, -9.34568298e-02];[0.53774431, 0.46225569];[1.18234607e+03, -1.05176011e+00, 0.00000000e+00, 9.81062402e+02, -8.61905677e-01, 0.00000000e+00];[1.18213231e+03, -1.30737528e+00, -1.56246646e-01, 9.80887464e+02, -1.07132299e+00, -1.28013257e-01];[1.16939886e+03, -1.54615668e+00, -1.06648427e-03, 9.70354829e+02, -1.27077252e+00, -8.82002851e-04];[1.16901656e+03, -1.94494267e+00, -2.44685618e-01, 9.70040420e+02, -1.59859087e+00, -2.01149580e-01];[909., 755.];[[4.73643244e-02, 1.56987941e-06], [1.80759402e-03, 1.31755143e-06], [3.90159526e-06, -6.42956614e-12], [1.56987941e-06, 4.73636627e-02], [1.31920206e-06, 1.80705081e-03], [-6.42956614e-12, 3.90159797e-06]];[[4.80178962e-02, 2.29213347e-06], [2.33244281e-03, 2.22185632e-06], [3.23025147e-04, 9.31289421e-07], [2.29213347e-06, 4.80169090e-02], [2.22503638e-06, 2.33151559e-03], [9.32959115e-07, 3.22645178e-04]];[[7.44323357e+03, 1.22659390e-02], [1.22659390e-02, 7.44322840e+03]];[[7.42702047e+03, 1.78823788e-02], [1.78823788e-02, 7.42701277e+03]];[[8.43349759e-04, 6.99875502e-03, 2.90404848e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.99875502e-03, 5.80809697e-02, 2.40999937e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.90404848e-02, 2.40999937e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.43349759e-04, 6.99875502e-03, 2.90404848e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.99875502e-03, 5.80809697e-02, 2.40999937e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.90404848e-02, 2.40999937e-01, 1.00000000e+00]];[[4.01098502e-15, 9.52662007e-05, 2.27743324e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.52662007e-05, 4.58244208e-09, 2.83503476e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.27743324e-09, 2.83503476e-06, 2.35284043e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.01098502e-15, 9.52662007e-05, 2.27743324e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.52662007e-05, 4.58244208e-09, 2.83503476e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.27743324e-09, 2.83503476e-06, 2.35284043e-03]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[1.16922214e+03, -1.73049777e+00, -1.13680815e-01, 9.70209492e+02, -1.42230842e+00, -9.34568298e-02];[0.53774431, 0.46225569];[1.18234607e+03, -1.05176011e+00, 0.00000000e+00, 9.81062402e+02, -8.61905677e-01, 0.00000000e+00];[1.18213231e+03, -1.30737528e+00, -1.56246646e-01, 9.80887464e+02, -1.07132299e+00, -1.28013257e-01];[1.16939886e+03, -1.54615668e+00, -1.06648427e-03, 9.70354829e+02, -1.27077252e+00, -8.82002851e-04];[1.16901656e+03, -1.94494267e+00, -2.44685618e-01, 9.70040420e+02, -1.59859087e+00, -2.01149580e-01];[909., 755.];[[4.73643244e-02, 1.56987941e-06], [1.80759402e-03, 1.31755143e-06], [3.90159526e-06, -6.42956614e-12], [1.56987941e-06, 4.73636627e-02], [1.31920206e-06, 1.80705081e-03], [-6.42956614e-12, 3.90159797e-06]];[[4.80178962e-02, 2.29213347e-06], [2.33244281e-03, 2.22185632e-06], [3.23025147e-04, 9.31289421e-07], [2.29213347e-06, 4.80169090e-02], [2.22503638e-06, 2.33151559e-03], [9.32959115e-07, 3.22645178e-04]];[[7.44323357e+03, 1.22659390e-02], [1.22659390e-02, 7.44322840e+03]];[[7.42702047e+03, 1.78823788e-02], [1.78823788e-02, 7.42701277e+03]];[[8.43349759e-04, 6.99875502e-03, 2.90404848e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.99875502e-03, 5.80809697e-02, 2.40999937e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.90404848e-02, 2.40999937e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.43349759e-04, 6.99875502e-03, 2.90404848e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.99875502e-03, 5.80809697e-02, 2.40999937e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.90404848e-02, 2.40999937e-01, 1.00000000e+00]];[[4.01098502e-15, 9.52662007e-05, 2.27743324e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.52662007e-05, 4.58244208e-09, 2.83503476e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.27743324e-09, 2.83503476e-06, 2.35284043e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.01098502e-15, 9.52662007e-05, 2.27743324e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.52662007e-05, 4.58244208e-09, 2.83503476e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.27743324e-09, 2.83503476e-06, 2.35284043e-03]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[1.14360628e+03, -3.71709705e+00, -2.32066214e-01, 9.48976905e+02, -3.06971803e+00, -1.91971707e-01];[0.55547302, 0.44452698];[1166.53801962, -1.59868339, 0, 968.00348964, -1.31395162, 0.];[1.16548550e+03, -2.20459379e+00, -1.70434170e-01, 9.67138168e+02, -1.81204687e+00, -1.40110180e-01];[1.14488663e+03, -3.10894270e+00, -8.58672063e-02, 9.50035957e+02, -2.56718486e+00, -7.12583056e-02];[1.14200639e+03, -4.47703593e+00, -4.14753897e-01, 9.47653532e+02, -3.69767454e+00, -3.42813030e-01];[846., 702.];[[6.75215069e-02, 3.07559907e-05], [4.70166692e-03, 1.20160411e-05], [2.67891955e-04, -8.83589545e-09], [3.07559907e-05, 6.75091672e-02], [1.20171082e-05, 4.69686058e-03], [-8.83589545e-09, 2.67895500e-04]];[[7.34332979e-02, 6.87964939e-05], [7.07998365e-03, 3.95642936e-05], [7.56875238e-04, 9.46322287e-06], [6.87964939e-05, 7.34057161e-02], [3.95683527e-05, 7.06418910e-03], [9.46460928e-06, 7.53113163e-04]];[[5.76830246e+03, 1.90253727e-01], [1.90253727e-01, 5.76822612e+03]];[[5.68042825e+03, 4.21752599e-01], [4.21752599e-01, 5.68025916e+03]];[[2.3878959, 2.71660528, 1.54528182, 0, 0, 0], [2.71660528, 3.09056364, 1.7579999, 0, 0, 0], [1.54528182, 1.7579999, 1., 0, 0, 0], [0, 0, 0, 2.3878959, 2.71660528, 1.54528182], [0, 0, 0, 2.71660528, 3.09056364, 1.7579999], [0, 0, 0, 1.54528182, 1.7579999, 1.]];[[7.62489883e-11, 6.91433581e-05, 7.60724499e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.91433581e-05, 1.59070200e-06, 1.29950200e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.60724499e-07, 1.29950200e-04, 1.48219248e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.62489883e-11, 6.91433581e-05, 7.60724499e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.91433581e-05, 1.59070200e-06, 1.29950200e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.60724499e-07, 1.29950200e-04, 1.48219248e-02]];[[351.5625, 0], [  0, 351.5625]];[[351.5625, 0], [  0, 351.5625]]
[1.11607618e+03, -6.33017883e+00, -2.87057703e-01, 9.26042130e+02, -5.24790411e+00, -2.38313973e-01];[0.56293693, 0.43706307];[1141.31752929, -3.27824093, 0, 947.08819906, -2.70708023, 0.];[1.13821632e+03, -4.56156495e+00, -3.22162110e-01, 9.44523854e+02, -3.76764426e+00, -2.66328399e-01];[1.11854663e+03, -5.32952944e+00, -2.69831235e-02, 9.28093292e+02, -4.41773289e+00, -2.25109388e-02];[1.11289425e+03, -7.61901455e+00, -6.22033579e-01, 9.23400235e+02, -6.31716405e+00, -5.16268131e-01];[790, 654.];[[6.45725674e-02, 2.91451102e-04], [5.75627029e-03, 9.89799380e-05], [7.68254834e-05, -2.39365140e-08], [2.91451102e-04, 6.44601693e-02], [9.89238906e-05, 5.71807044e-03], [-2.39365140e-08, 7.68347145e-05]];[[7.23245862e-02, 4.73176952e-04], [8.61491157e-03, 1.98251540e-04], [8.31747292e-04, 3.52586843e-05], [4.73176952e-04, 7.21415848e-02], [1.98140311e-04, 8.53810817e-03], [3.52225709e-05, 8.18089993e-04]];[[6.25053100e+03, 1.94724381e+00], [1.94724381e+00, 6.24978004e+03]];[[6.09541040e+03, 3.10845671e+00], [3.10845671e+00, 6.09420821e+03]];[[0.23059206, 0.47059603, 0.48020002, 0, 0, 0], [0.47059603, 0.96040004, 0.98000002, 0, 0, 0], [0.48020002, 0.98000002, 1., 0, 0, 0], [0, 0, 0, 0.23059206, 0.47059603, 0.48020002], [0, 0, 0, 0.47059603, 0.96040004, 0.98000002], [0, 0, 0, 0.48020002, 0.98000002, 1.]];[[4.28191846e-12, 8.17808114e-05, 1.42290101e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.17808114e-05, 2.91690185e-07, 4.35721375e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.42290101e-07, 4.35721375e-05, 8.89938842e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28191846e-12, 8.17808114e-05, 1.42290101e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.17808114e-05, 2.91690185e-07, 4.35721375e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42290101e-07, 4.35721375e-05, 8.89938842e-03]];[[351.5625, 0], [  0, 351.5625]];[[351.5625, 0], [  0, 351.5625]]
[1.09071062e+03, -8.92266961e+00, -3.42220561e-01, 9.04968013e+02, -7.40246421e+00, -2.84165060e-01];[0.542473, 0.457527];[1112.03588167, -5.60541547, 0, 922.69529115, -4.6466169, 0.];[1.10619082e+03, -7.70056268e+00, -4.61274730e-01, 9.17843396e+02, -6.38500998e+00, -3.82862716e-01];[1.09453488e+03, -7.52485588e+00, -2.08514769e-02, 9.08143792e+02, -6.24213269e+00, -1.73398928e-02];[1.08617634e+03, -1.05800061e+01, -7.23256112e-01, 9.01202607e+02, -8.77822680e+00, -6.00529888e-01];[730, 605.];[[4.51079979e-02, 8.43970708e-04], [4.82251841e-03, 2.42576283e-04], [5.46200364e-05, -4.82753136e-08], [8.43970708e-04, 4.47884252e-02], [2.42452297e-04, 4.73060306e-03], [-4.82753136e-08, 5.46383161e-05]];[[5.20913932e-02, 1.33669517e-03], [7.26118434e-03, 4.72608990e-04], [6.30756847e-04, 7.89418905e-05], [1.33669517e-03, 5.15847134e-02], [4.72379138e-04, 7.08185678e-03], [7.89031283e-05, 6.00890228e-04]];[[9.90113552e+03, 8.74808113e+00], [8.74808113e+00, 9.89782302e+03]];[[9575.6625917, 13.49592536], [  13.49592536, 9570.5469055]];[[0.2924646, 0.56243194, 0.54079996, 0, 0, 0], [0.56243194, 1.08159992, 1.03999996, 0, 0, 0], [0.54079996, 1.03999996, 1., 0, 0, 0], [0, 0, 0, 0.2924646, 0.56243194, 0.54079996], [0, 0, 0, 0.56243194, 1.08159992, 1.03999996], [0, 0, 0, 0.54079996, 1.03999996, 1.]];[[5.74446982e-12, 8.07511525e-05, 1.69050694e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.07511525e-05, 3.47076449e-07, 4.87822060e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.69050694e-07, 4.87822060e-05, 9.38964785e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.74446982e-12, 8.07511525e-05, 1.69050694e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.07511525e-05, 3.47076449e-07, 4.87822060e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.69050694e-07, 4.87822060e-05, 9.38964785e-03]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
