state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[1.30069683e+03, -8.17810807e-05, -3.38846556e-04, 1.07360973e+03, -7.15584456e-05, -2.96490736e-04];[0.70999999, 0.29000001];[1324., 0, 0, 1094., 0, 0.];[1324., 0, 0, 1094., 0, 0.];[1.30069683e+03, -1.14539683e-04, -4.77248659e-04, 1.07360973e+03, -1.00222222e-04, -4.17592576e-04];[1.30069684e+03, -1.57898873e-06, -3.72755645e-11, 1.07360974e+03, -1.38161514e-06, -3.26161190e-11];[1268., 1045.];[[4.16128019e-01, 0.00000000e+00], [2.04535148e-06, 0.00000000e+00], [8.52229748e-06, 0.00000000e+00], [0.00000000e+00, 4.16128019e-01], [0.00000000e+00, 2.04535148e-06], [0.00000000e+00, 8.52229748e-06]];[[4.16127840e-01, 0.00000000e+00], [2.81962274e-08, 0.00000000e+00], [6.65635081e-13, 0.00000000e+00], [0.00000000e+00, 4.16127840e-01], [0.00000000e+00, 2.81962274e-08], [0.00000000e+00, 6.65635081e-13]];[[3379.37068815, 0], [  0, 3379.37068815]];[[3379.37014966, 0], [  0, 3379.37014966]];[[8.29440132e-04, 6.91200082e-03, 2.88000023e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.91200082e-03, 5.76000046e-02, 2.40000010e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.88000023e-02, 2.40000010e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.29440132e-04, 6.91200082e-03, 2.88000023e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.91200082e-03, 5.76000046e-02, 2.40000010e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.88000023e-02, 2.40000010e-01, 1.00000000e+00]];[[3.92868064e-15, 9.52854892e-05, 2.24942732e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.52854892e-05, 4.52597760e-09, 2.81183803e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.24942732e-09, 2.81183803e-06, 2.34331074e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.92868064e-15, 9.52854892e-05, 2.24942732e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.52854892e-05, 4.52597760e-09, 2.81183803e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.24942732e-09, 2.81183803e-06, 2.34331074e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[1.30069683e+03, -8.17810807e-05, -3.38846556e-04, 1.07360973e+03, -7.15584456e-05, -2.96490736e-04];[0.70999999, 0.29000001];[1324., 0, 0, 1094., 0, 0.];[1324., 0, 0, 1094., 0, 0.];[1.30069683e+03, -1.14539683e-04, -4.77248659e-04, 1.07360973e+03, -1.00222222e-04, -4.17592576e-04];[1.30069684e+03, -1.57898873e-06, -3.72755645e-11, 1.07360974e+03, -1.38161514e-06, -3.26161190e-11];[1268., 1045.];[[4.16128019e-01, 0.00000000e+00], [2.04535148e-06, 0.00000000e+00], [8.52229748e-06, 0.00000000e+00], [0.00000000e+00, 4.16128019e-01], [0.00000000e+00, 2.04535148e-06], [0.00000000e+00, 8.52229748e-06]];[[4.16127840e-01, 0.00000000e+00], [2.81962274e-08, 0.00000000e+00], [6.65635081e-13, 0.00000000e+00], [0.00000000e+00, 4.16127840e-01], [0.00000000e+00, 2.81962274e-08], [0.00000000e+00, 6.65635081e-13]];[[3379.37068815, 0], [  0, 3379.37068815]];[[3379.37014966, 0], [  0, 3379.37014966]];[[8.29440132e-04, 6.91200082e-03, 2.88000023e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.91200082e-03, 5.76000046e-02, 2.40000010e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.88000023e-02, 2.40000010e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.29440132e-04, 6.91200082e-03, 2.88000023e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.91200082e-03, 5.76000046e-02, 2.40000010e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.88000023e-02, 2.40000010e-01, 1.00000000e+00]];[[3.92868064e-15, 9.52854892e-05, 2.24942732e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.52854892e-05, 4.52597760e-09, 2.81183803e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.24942732e-09, 2.81183803e-06, 2.34331074e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.92868064e-15, 9.52854892e-05, 2.24942732e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.52854892e-05, 4.52597760e-09, 2.81183803e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.24942732e-09, 2.81183803e-06, 2.34331074e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[1.28544996e+03, -4.65012250e-02, -2.46989882e-02, 1.06084439e+03, -3.89389834e-02, -2.06806502e-02];[0.64700633, 0.35299367];[1.30069664e+03, -1.06944953e-04, 0.00000000e+00, 1.07360956e+03, -9.35768336e-05, 0.00000000e+00];[1.30069656e+03, -2.68026397e-04, -1.20749088e-04, 1.07360949e+03, -2.34523098e-04, -1.05655452e-04];[1.28543920e+03, -5.94925020e-02, -3.25722311e-02, 1.06083539e+03, -4.98136849e-02, -2.72708539e-02];[1.28546967e+03, -2.26893575e-02, -1.02680268e-02, 1.06086089e+03, -1.90066123e-02, -8.60138671e-03];[1208., 996.];[[1.64595374e-01, 4.53615627e-13], [6.40644093e-04, 2.93349480e-13], [3.51385227e-04, -1.90798357e-16], [4.53615627e-13, 1.64595374e-01], [2.93349479e-13, 6.40644093e-04], [-1.90798357e-16, 3.51385227e-04]];[[1.64266001e-01, 2.87224474e-11], [2.41878742e-04, 3.34751189e-11], [1.09467666e-04, 1.51703157e-11], [2.87224474e-11, 1.64266001e-01], [3.34751188e-11, 2.41878733e-04], [1.51703157e-11, 1.09467662e-04]];[[4.40769806e+03, 2.39333212e-09], [2.39333212e-09, 4.40769806e+03]];[[4.40749303e+03, 1.51476411e-07], [1.51476411e-07, 4.40749303e+03]];[[2.39878139, 2.72588796, 1.54879998, 0, 0, 0], [2.72588796, 3.09759997, 1.75999999, 0, 0, 0], [1.54879998, 1.75999999, 1., 0, 0, 0], [0, 0, 0, 2.39878139, 2.72588796, 1.54879998], [0, 0, 0, 2.72588796, 3.09759997, 1.75999999], [0, 0, 0, 1.54879998, 1.75999999, 1.]];[[7.66754364e-11, 6.91128062e-05, 7.63173933e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.91128062e-05, 1.59590566e-06, 1.30220775e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.63173933e-07, 1.30220775e-04, 1.48359938e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.66754364e-11, 6.91128062e-05, 7.63173933e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.91128062e-05, 1.59590566e-06, 1.30220775e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.63173933e-07, 1.30220775e-04, 1.48359938e-02]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[1.27354524e+03, -1.62162686e-01, -2.40911428e-02, 1.05048018e+03, -1.39451383e-01, -2.07889950e-02];[0.60309205, 0.39690795];[1.28538562e+03, -5.62603288e-02, 0.00000000e+00, 1.06079052e+03, -4.71081065e-02, 0.00000000e+00];[1.28542294e+03, -4.66429341e-02, -1.42233374e-02, 1.06082176e+03, -3.90633548e-02, -1.19114985e-02];[1.27350804e+03, -1.73988296e-01, -1.07671371e-02, 1.05044823e+03, -1.49618331e-01, -9.37537906e-03];[1.27360178e+03, -1.44193959e-01, -4.43366476e-02, 1.05052872e+03, -1.24002950e-01, -3.81317087e-02];[1157., 949.];[[9.25148701e-02, 4.61977215e-08], [9.16962965e-04, 2.78049684e-08], [8.38656038e-05, -4.26938105e-12], [4.61977215e-08, 9.25148536e-02], [2.78037067e-08, 9.16953025e-04], [-4.26938105e-12, 8.38656054e-05]];[[9.20484982e-02, 1.43452422e-07], [7.59505326e-04, 1.17331556e-07], [2.34449918e-04, 4.08081940e-08], [1.43452422e-07, 9.20484470e-02], [1.17325723e-07, 7.59463381e-04], [4.08049541e-08, 2.34435328e-04]];[[5.96191975e+03, 3.03505914e-04], [3.03505914e-04, 5.96191964e+03]];[[5.96444254e+03, 9.42356148e-04], [9.42356148e-04, 5.96444220e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[1.26001256e+03, -4.46156622e-01, -4.78842654e-02, 1.03925813e+03, -3.75334325e-01, -4.01467172e-02];[0.57256952, 0.42743048];[1.27334331e+03, -1.70888066e-01, 0.00000000e+00, 1.05030657e+03, -1.46952940e-01, 0.00000000e+00];[1.27340954e+03, -1.86637826e-01, -3.36241338e-02, 1.05036341e+03, -1.60528448e-01, -2.89403941e-02];[1.25997520e+03, -4.23209135e-01, -1.45253696e-02, 1.03922639e+03, -3.56090137e-01, -1.20393653e-02];[1.26006260e+03, -4.76896199e-01, -9.25705668e-02, 1.03930064e+03, -4.01113105e-01, -7.77982513e-02];[1092., 900.];[[7.37169032e-02, 2.87536207e-07], [1.39132117e-03, 9.49920038e-08], [8.00987531e-05, -2.48642038e-11], [2.87536207e-07, 7.37168095e-02], [9.50374253e-08, 1.39128960e-03], [-2.48642038e-11, 8.00987612e-05]];[[7.35730313e-02, 5.69895905e-07], [1.59985433e-03, 1.96419013e-07], [3.24956914e-04, -2.56138119e-08], [5.69895905e-07, 7.35728399e-02], [1.96688137e-07, 1.59978398e-03], [-2.54005623e-08, 3.24962468e-04]];[[6.50722247e+03, 2.01996764e-03], [2.01996764e-03, 6.50722182e+03]];[[6.51021877e+03, 4.00479085e-03], [4.00479085e-03, 6.51021742e+03]];[[0.27167071, 0.53216599, 0.52122041, 0, 0, 0], [0.53216599, 1.04244081, 1.02099991, 0, 0, 0], [0.52122041, 1.02099991, 1., 0, 0, 0], [0, 0, 0, 0.27167071, 0.53216599, 0.52122041], [0, 0, 0, 0.53216599, 1.04244081, 1.02099991], [0, 0, 0, 0.52122041, 1.02099991, 1.]];[[5.24400191e-12, 8.10761868e-05, 1.60254693e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10761868e-05, 3.28858861e-07, 4.71039348e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.60254693e-07, 4.71039348e-05, 9.23503450e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.24400191e-12, 8.10761868e-05, 1.60254693e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10761868e-05, 3.28858861e-07, 4.71039348e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60254693e-07, 4.71039348e-05, 9.23503450e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[1.23564981e+03, -1.38049626e+00, -8.94621412e-02, 1.01907725e+03, -1.14920783e+00, -7.43625912e-02];[0.53657077, 0.46342923];[1.24708590e+03, -8.34764378e-01, 0.00000000e+00, 1.02848615e+03, -6.99016393e-01, 0.00000000e+00];[1.24693454e+03, -1.03253603e+00, -1.21568366e-01, 1.02836029e+03, -8.64356340e-01, -1.01657231e-01];[1.23578112e+03, -1.23591701e+00, -9.44042277e-04, 1.01918588e+03, -1.02904288e+00, -7.76648673e-04];[1.23549777e+03, -1.54789398e+00, -1.91950766e-01, 1.01895149e+03, -1.28833803e+00, -1.59562366e-01];[973., 803.];[[4.12447949e-02, 7.23770656e-07], [1.46313387e-03, 5.68848148e-07], [3.44433210e-06, -2.60014912e-12], [7.23770656e-07, 4.12445372e-02], [5.72117598e-07, 1.46292658e-03], [-2.60014912e-12, 3.44433302e-06]];[[4.17491349e-02, 1.04907961e-06], [1.88052249e-03, 9.66884597e-07], [2.56605880e-04, 3.95752842e-07], [1.04907961e-06, 4.17487560e-02], [9.72617570e-07, 1.88016825e-03], [3.98756102e-07, 2.56460010e-04]];[[9.73786895e+03, 7.35117981e-03], [7.35117981e-03, 9.73786633e+03]];[[9.72252834e+03, 1.06440834e-02], [1.06440834e-02, 9.72252450e+03]];[[0.00112496, 0.00868697, 0.03354045, 0, 0, 0], [0.00868697, 0.06708091, 0.25899982, 0, 0, 0], [0.03354045, 0.25899982, 1., 0, 0, 0], [0, 0, 0, 0.00112496, 0.00868697, 0.03354045], [0, 0, 0, 0.00868697, 0.06708091, 0.25899982], [0, 0, 0, 0.03354045, 0.25899982, 1.]];[[5.74422135e-15, 9.49194815e-05, 2.82171733e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.49194815e-05, 5.68016557e-09, 3.26847375e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.82171733e-09, 3.26847375e-06, 2.52406075e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.74422135e-15, 9.49194815e-05, 2.82171733e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.49194815e-05, 5.68016557e-09, 3.26847375e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.82171733e-09, 3.26847375e-06, 2.52406075e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[1.23564981e+03, -1.38049626e+00, -8.94621412e-02, 1.01907725e+03, -1.14920783e+00, -7.43625912e-02];[0.53657077, 0.46342923];[1.24708590e+03, -8.34764378e-01, 0.00000000e+00, 1.02848615e+03, -6.99016393e-01, 0.00000000e+00];[1.24693454e+03, -1.03253603e+00, -1.21568366e-01, 1.02836029e+03, -8.64356340e-01, -1.01657231e-01];[1.23578112e+03, -1.23591701e+00, -9.44042277e-04, 1.01918588e+03, -1.02904288e+00, -7.76648673e-04];[1.23549777e+03, -1.54789398e+00, -1.91950766e-01, 1.01895149e+03, -1.28833803e+00, -1.59562366e-01];[973., 803.];[[4.12447949e-02, 7.23770656e-07], [1.46313387e-03, 5.68848148e-07], [3.44433210e-06, -2.60014912e-12], [7.23770656e-07, 4.12445372e-02], [5.72117598e-07, 1.46292658e-03], [-2.60014912e-12, 3.44433302e-06]];[[4.17491349e-02, 1.04907961e-06], [1.88052249e-03, 9.66884597e-07], [2.56605880e-04, 3.95752842e-07], [1.04907961e-06, 4.17487560e-02], [9.72617570e-07, 1.88016825e-03], [3.98756102e-07, 2.56460010e-04]];[[9.73786895e+03, 7.35117981e-03], [7.35117981e-03, 9.73786633e+03]];[[9.72252834e+03, 1.06440834e-02], [1.06440834e-02, 9.72252450e+03]];[[0.00112496, 0.00868697, 0.03354045, 0, 0, 0], [0.00868697, 0.06708091, 0.25899982, 0, 0, 0], [0.03354045, 0.25899982, 1., 0, 0, 0], [0, 0, 0, 0.00112496, 0.00868697, 0.03354045], [0, 0, 0, 0.00868697, 0.06708091, 0.25899982], [0, 0, 0, 0.03354045, 0.25899982, 1.]];[[5.74422135e-15, 9.49194815e-05, 2.82171733e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.49194815e-05, 5.68016557e-09, 3.26847375e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.82171733e-09, 3.26847375e-06, 2.52406075e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.74422135e-15, 9.49194815e-05, 2.82171733e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.49194815e-05, 5.68016557e-09, 3.26847375e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.82171733e-09, 3.26847375e-06, 2.52406075e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[1.21566337e+03, -2.81557540e+00, -1.71721924e-01, 1.00253351e+03, -2.33664542e+00, -1.42291957e-01];[0.53859556, 0.46140444];[1.23349453e+03, -1.27717825e+00, 0.00000000e+00, 1.01728234e+03, -1.06333656e+00, 0.00000000e+00];[1.23267973e+03, -1.75257554e+00, -1.33783954e-01, 1.01660588e+03, -1.45848783e+00, -1.11209053e-01];[1.21662163e+03, -2.35167232e+00, -5.91042796e-02, 1.00332720e+03, -1.95204071e+00, -4.88834465e-02];[1.21454480e+03, -3.35708761e+00, -3.03180049e-01, 1.00160704e+03, -2.78559297e+00, -2.51327338e-01];[920, 758.];[[5.38111915e-02, 1.30691456e-05], [3.42325065e-03, 5.10528415e-06], [1.88535838e-04, -2.60413387e-09], [1.30691456e-05, 5.38063682e-02], [5.11404667e-06, 3.42137036e-03], [-2.60413387e-09, 1.88536799e-04]];[[5.79740181e-02, 2.94913495e-05], [5.11747244e-03, 1.69453387e-05], [5.38406083e-04, 4.05027983e-06], [2.94913495e-05, 5.79631615e-02], [1.69687915e-05, 5.11125021e-03], [4.05681782e-06, 5.36916647e-04]];[[8.22422299e+03, 1.13595742e-01], [1.13595742e-01, 8.22418107e+03]];[[8.12983502e+03, 2.54512134e-01], [2.54512134e-01, 8.12974133e+03]];[[2.40423872, 2.73053777, 1.55056078, 0, 0, 0], [2.73053777, 3.10112155, 1.76100016, 0, 0, 0], [1.55056078, 1.76100016, 1., 0, 0, 0], [0, 0, 0, 2.40423872, 2.73053777, 1.55056078], [0, 0, 0, 2.73053777, 3.10112155, 1.76100016], [0, 0, 0, 1.55056078, 1.76100016, 1.]];[[7.68893934e-11, 6.90975321e-05, 7.64400642e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.90975321e-05, 1.59851186e-06, 1.30356164e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.64400642e-07, 1.30356164e-04, 1.48430271e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.68893934e-11, 6.90975321e-05, 7.64400642e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.90975321e-05, 1.59851186e-06, 1.30356164e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.64400642e-07, 1.30356164e-04, 1.48430271e-02]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[1.19401082e+03, -4.71154839e+00, -2.14025418e-01, 9.84694613e+02, -3.89782866e+00, -1.76813145e-01];[0.53961482, 0.46038518];[1213.91485668, -2.48370882, 0, 1001.08102566, -2.06150723, 0.];[1.21165633e+03, -3.42945829e+00, -2.37079565e-01, 9.99209743e+02, -2.84555242e+00, -1.96514596e-01];[1.19588321e+03, -3.95431630e+00, -1.85965837e-02, 9.86241153e+02, -3.27195670e+00, -1.53042307e-02];[1.19181620e+03, -5.59909575e+00, -4.43086428e-01, 9.82881922e+02, -4.63140957e+00, -3.66116811e-01];[859., 709.];[[5.07109313e-02, 1.14991647e-04], [4.11141048e-03, 3.90536259e-05], [5.24025338e-05, -6.34775419e-09], [1.14991647e-04, 5.06676549e-02], [3.90829458e-05, 4.09673428e-03], [-6.34775419e-09, 5.24049228e-05]];[[5.61143044e-02, 1.75973554e-04], [6.09137987e-03, 7.39940243e-05], [5.73312750e-04, 1.31783742e-05], [1.75973554e-04, 5.60482994e-02], [7.40507552e-05, 6.06369266e-03], [1.31923948e-05, 5.68381446e-04]];[[9.16367951e+03, 1.10998704e+00], [1.10998704e+00, 9.16326178e+03]];[[8.99239600e+03, 1.67638226e+00], [1.67638226e+00, 8.99176722e+03]];[[0.23059206, 0.47059603, 0.48020002, 0, 0, 0], [0.47059603, 0.96040004, 0.98000002, 0, 0, 0], [0.48020002, 0.98000002, 1., 0, 0, 0], [0, 0, 0, 0.23059206, 0.47059603, 0.48020002], [0, 0, 0, 0.47059603, 0.96040004, 0.98000002], [0, 0, 0, 0.48020002, 0.98000002, 1.]];[[4.28191846e-12, 8.17808114e-05, 1.42290101e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.17808114e-05, 2.91690185e-07, 4.35721375e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.42290101e-07, 4.35721375e-05, 8.89938842e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28191846e-12, 8.17808114e-05, 1.42290101e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.17808114e-05, 2.91690185e-07, 4.35721375e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42290101e-07, 4.35721375e-05, 8.89938842e-03]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[1.15688850e+03, -8.45691282e+00, -3.29480132e-01, 9.54048061e+02, -6.98941832e+00, -2.72105398e-01];[0.55853198, 0.44146802];[1191.18145685, -4.16954897, 0, 982.35171828, -3.44985208, 0.];[1.18701690e+03, -5.66961586e+00, -3.35091315e-01, 9.78911226e+02, -4.68960217e+00, -2.76872192e-01];[1.16045802e+03, -7.17398853e+00, -2.97564680e-02, 9.56995630e+02, -5.92971750e+00, -2.45568079e-02];[1.15237244e+03, -1.00800298e+01, -7.08681444e-01, 9.50318886e+02, -8.33011973e+00, -5.85296384e-01];[803., 662.];[[7.85787467e-02, 6.88684319e-04], [7.57093823e-03, 2.04593050e-04], [7.67033896e-05, -5.73292850e-08], [6.88684319e-04, 7.83162766e-02], [2.04699380e-04, 7.49302962e-03], [-5.73292850e-08, 7.67252388e-05]];[[8.94064852e-02, 9.80897200e-04], [1.11895732e-02, 3.57919615e-04], [9.23594097e-04, 5.96835549e-05], [9.80897200e-04, 8.90333211e-02], [3.58100464e-04, 1.10535716e-02], [5.97135204e-05, 9.00861716e-04]];[[6.51862039e+03, 4.87072900e+00], [4.87072900e+00, 6.51676406e+03]];[[6327.52405904, 6.81325758], [  6.81325758, 6324.93208124]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[351.5625, 0], [  0, 351.5625]];[[351.5625, 0], [  0, 351.5625]]
