state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[1006., 0, 0, 370, 0, 0.];[0.8, 0.2];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[1006., 0, 0, 370, 0, 0.];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[1914.0625, 0], [  0, 1914.0625]];[[1914.0625, 0], [  0, 1914.0625]]
[1.00686730e+03, 1.60848511e-04, 1.60837830e-04, 3.71300953e+02, 2.41272767e-04, 2.41256745e-04];[0.70998836, 0.29001164];[1006., 0, 0, 370, 0, 0.];[1006., 0, 0, 370, 0, 0.];[1.00686732e+03, 2.26535842e-04, 2.26535842e-04, 3.71300981e+02, 3.39803763e-04, 3.39803763e-04];[1.00686726e+03, 3.68986790e-08, 6.83640784e-11, 3.71300885e+02, 5.53480185e-08, 1.02546118e-10];[1008., 373.];[[4.33660394e-01, 0.00000000e+00], [1.13267921e-04, 0.00000000e+00], [1.13267921e-04, 0.00000000e+00], [0.00000000e+00, 4.33660394e-01], [0.00000000e+00, 1.13267921e-04], [0.00000000e+00, 1.13267921e-04]];[[4.33628319e-01, 8.29188804e-31], [1.84493395e-08, -2.70105061e-38], [3.41820392e-11, -5.00437524e-41], [8.29188804e-31, 4.33628319e-01], [-2.70105061e-38, 1.84493395e-08], [-5.00437524e-41, 3.41820392e-11]];[[4414.3125, 0], [  0, 4414.3125]];[[4.41406250e+03, 6.46234854e-27], [6.46234854e-27, 4.41406250e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[2500, 0.], [  0, 2500.]];[[2500, 0.], [  0, 2500.]]
[1.00695695e+03, 3.08863757e-04, 6.39900562e-05, 3.71514424e+02, 5.73316919e-04, 1.33251661e-04];[0.6469774, 0.3530226];[1.00686753e+03, 2.11306748e-04, 0.00000000e+00, 3.71301298e+02, 3.16960122e-04, 0.00000000e+00];[1.00686738e+03, 1.34703246e-04, 6.17097103e-05, 3.71301070e+02, 2.02054869e-04, 9.25645654e-05];[1.00695702e+03, 3.55405433e-04, 4.29528385e-05, 3.71514554e+02, 6.60351225e-04, 1.02357788e-04];[1.00695682e+03, 2.23567763e-04, 1.02544541e-04, 3.71514187e+02, 4.13810900e-04, 1.89870239e-04];[1008., 374.];[[7.90215968e-02, 5.50182129e-13], [1.27243076e-04, 4.57962653e-13], [3.79285303e-05, -2.26580770e-17], [5.50182129e-13, 7.90215968e-02], [4.57962653e-13, 1.27243076e-04], [-2.26580770e-17, 3.79285303e-05]];[[7.89632752e-02, 3.55297186e-12], [7.84592574e-05, 4.20399829e-12], [3.60534287e-05, 1.92644515e-12], [3.55297186e-12, 7.89632752e-02], [4.20399829e-12, 7.84592609e-05], [1.92644515e-12, 3.60534303e-05]];[[1.37421789e+04, 8.20942297e-09], [8.20942297e-09, 1.37421789e+04]];[[1.37413087e+04, 5.30081830e-08], [5.30081830e-08, 1.37413087e+04]];[[0.27167097, 0.53216636, 0.52122065, 0, 0, 0], [0.53216636, 1.0424413, 1.02100015, 0, 0, 0], [0.52122065, 1.02100015, 1., 0, 0, 0], [0, 0, 0, 0.27167097, 0.53216636, 0.52122065], [0, 0, 0, 0.53216636, 1.0424413, 1.02100015], [0, 0, 0, 0.52122065, 1.02100015, 1.]];[[5.24400797e-12, 8.10761827e-05, 1.60254802e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10761827e-05, 3.28859085e-07, 4.71039557e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.60254802e-07, 4.71039557e-05, 9.23503645e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.24400797e-12, 8.10761827e-05, 1.60254802e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10761827e-05, 3.28859085e-07, 4.71039557e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60254802e-07, 4.71039557e-05, 9.23503645e-03]];[[12656.25, 0], [  0, 12656.25]];[[12656.25, 0], [  0, 12656.25]]
[1.00751414e+03, 2.67294266e-03, 2.77765793e-04, 3.72308116e+02, 3.95948734e-03, 4.08462264e-04];[0.57193979, 0.42806021];[1.00748679e+03, 2.43531961e-03, 0.00000000e+00, 3.72269165e+02, 3.61739544e-03, 0.00000000e+00];[1.00748659e+03, 2.63168815e-03, 6.05218863e-04, 3.72268867e+02, 3.90568734e-03, 8.92019855e-04];[1.00751422e+03, 2.58242295e-03, 1.57854848e-06, 3.72308239e+02, 3.82687579e-03, 2.24790869e-06];[1.00751404e+03, 2.79388785e-03, 6.46785081e-04, 3.72307951e+02, 4.13667228e-03, 9.51213369e-04];[1008., 373.];[[5.34646687e-02, 4.34814851e-12], [2.86631650e-04, 2.29331714e-12], [3.07581007e-06, -1.41295085e-17], [4.34814851e-12, 5.34646687e-02], [2.32798821e-12, 2.86631652e-04], [-1.41295085e-17, 3.07581007e-06]];[[5.34564199e-02, 1.09032930e-11], [3.15927424e-04, 7.81749908e-12], [8.09613638e-05, -1.62435321e-12], [1.09032930e-11, 5.34564199e-02], [7.93355174e-12, 3.15927431e-04], [-1.51703368e-12, 8.09613623e-05]];[[9.28550917e+03, 4.26553258e-08], [4.26553258e-08, 9.28550917e+03]];[[9.28542825e+03, 1.06959412e-07], [1.06959412e-07, 9.28542825e+03]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[8789.0625, 0], [  0, 8789.0625]];[[8789.0625, 0], [  0, 8789.0625]]
[1.00751414e+03, 2.67294266e-03, 2.77765793e-04, 3.72308116e+02, 3.95948734e-03, 4.08462264e-04];[0.57193979, 0.42806021];[1.00748679e+03, 2.43531961e-03, 0.00000000e+00, 3.72269165e+02, 3.61739544e-03, 0.00000000e+00];[1.00748659e+03, 2.63168815e-03, 6.05218863e-04, 3.72268867e+02, 3.90568734e-03, 8.92019855e-04];[1.00751422e+03, 2.58242295e-03, 1.57854848e-06, 3.72308239e+02, 3.82687579e-03, 2.24790869e-06];[1.00751404e+03, 2.79388785e-03, 6.46785081e-04, 3.72307951e+02, 4.13667228e-03, 9.51213369e-04];[1008., 373.];[[5.34646687e-02, 4.34814851e-12], [2.86631650e-04, 2.29331714e-12], [3.07581007e-06, -1.41295085e-17], [4.34814851e-12, 5.34646687e-02], [2.32798821e-12, 2.86631652e-04], [-1.41295085e-17, 3.07581007e-06]];[[5.34564199e-02, 1.09032930e-11], [3.15927424e-04, 7.81749908e-12], [8.09613638e-05, -1.62435321e-12], [1.09032930e-11, 5.34564199e-02], [7.93355174e-12, 3.15927431e-04], [-1.51703368e-12, 8.09613623e-05]];[[9.28550917e+03, 4.26553258e-08], [4.26553258e-08, 9.28550917e+03]];[[9.28542825e+03, 1.06959412e-07], [1.06959412e-07, 9.28542825e+03]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[8789.0625, 0], [  0, 8789.0625]];[[8789.0625, 0], [  0, 8789.0625]]
[1.00745553e+03, 1.43584931e-03, -6.00813143e-05, 3.72386175e+02, 6.31072487e-03, 5.75754019e-04];[0.55050317, 0.44949683];[1.00751879e+03, 2.60709410e-03, 0.00000000e+00, 3.72315004e+02, 3.86301906e-03, 0.00000000e+00];[1.00751968e+03, 3.59866726e-03, 4.39168100e-04, 3.72316308e+02, 5.32045102e-03, 6.45863611e-04];[1.00745553e+03, 1.24025122e-03, -1.99691275e-04, 3.72385187e+02, 5.37943805e-03, 2.21543855e-04];[1.00745553e+03, 1.67540021e-03, 1.10900370e-04, 3.72387384e+02, 7.45128093e-03, 1.00955867e-03];[1006., 374.];[[4.16514597e-02, 1.94362326e-11], [8.99954287e-04, 7.35275479e-12], [1.31480378e-04, -2.66654886e-15], [1.94362326e-11, 4.16514597e-02], [7.40942187e-12, 8.99954294e-04], [-2.66654886e-15, 1.31480378e-04]];[[4.22142600e-02, 8.82638603e-11], [1.26557004e-03, 6.45491985e-11], [2.16010470e-04, 1.97366662e-11], [8.82638603e-11, 4.22142601e-02], [6.50068718e-11, 1.26557009e-03], [1.99626733e-11, 2.16010486e-04]];[[1.17797044e+04, 2.38903765e-07], [2.38903765e-07, 1.17797044e+04]];[[1.17866262e+04, 1.08618565e-06], [1.08618565e-06, 1.17866262e+04]];[[2.39878139, 2.72588796, 1.54879998, 0, 0, 0], [2.72588796, 3.09759997, 1.75999999, 0, 0, 0], [1.54879998, 1.75999999, 1., 0, 0, 0], [0, 0, 0, 2.39878139, 2.72588796, 1.54879998], [0, 0, 0, 2.72588796, 3.09759997, 1.75999999], [0, 0, 0, 1.54879998, 1.75999999, 1.]];[[7.66754364e-11, 6.91128062e-05, 7.63173933e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.91128062e-05, 1.59590566e-06, 1.30220775e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.63173933e-07, 1.30220775e-04, 1.48359938e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.66754364e-11, 6.91128062e-05, 7.63173933e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.91128062e-05, 1.59590566e-06, 1.30220775e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.63173933e-07, 1.30220775e-04, 1.48359938e-02]];[[11289.0625, 0], [  0, 11289.0625]];[[11289.0625, 0], [  0, 11289.0625]]
[1.00786466e+03, 1.84836677e-02, 1.60408860e-03, 3.72553040e+02, 1.33823165e-02, 9.85755891e-04];[0.53725446, 0.46274554];[1.00745680e+03, 1.29505573e-03, 0.00000000e+00, 3.72390991e+02, 5.64037472e-03, 0.00000000e+00];[1.00745712e+03, 1.65006668e-03, 5.05032256e-05, 3.72394339e+02, 7.89478310e-03, 7.88345373e-04];[1.00786053e+03, 1.53559498e-02, 3.89102318e-04, 3.72550318e+02, 1.11893725e-02, 1.53555502e-04];[1.00786945e+03, 2.21149947e-02, 3.01470579e-03, 3.72556201e+02, 1.59283573e-02, 1.95195294e-03];[1009., 373.];[[2.61616143e-01, 3.69074114e-10], [9.11152233e-03, 2.48434992e-10], [2.52140047e-04, -1.26029793e-13], [3.69074114e-10, 2.61616144e-01], [1.93877642e-10, 9.11152294e-03], [-1.26029793e-13, 2.52140047e-04]];[[2.67247736e-01, 1.28059025e-09], [1.32641431e-02, 1.08506037e-09], [1.92121886e-03, 2.91850068e-10], [1.28059025e-09, 2.67247738e-01], [9.56986384e-10, 1.32641447e-02], [2.25650257e-10, 1.92121925e-03]];[[1.90449722e+03, 9.51944735e-07], [9.51944735e-07, 1.90449722e+03]];[[1.91913430e+03, 3.35396395e-06], [3.35396395e-06, 1.91913430e+03]];[[0.23059206, 0.47059603, 0.48020002, 0, 0, 0], [0.47059603, 0.96040004, 0.98000002, 0, 0, 0], [0.48020002, 0.98000002, 1., 0, 0, 0], [0, 0, 0, 0.23059206, 0.47059603, 0.48020002], [0, 0, 0, 0.47059603, 0.96040004, 0.98000002], [0, 0, 0, 0.48020002, 0.98000002, 1.]];[[4.28191846e-12, 8.17808114e-05, 1.42290101e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.17808114e-05, 2.91690185e-07, 4.35721375e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.42290101e-07, 4.35721375e-05, 8.89938842e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28191846e-12, 8.17808114e-05, 1.42290101e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.17808114e-05, 2.91690185e-07, 4.35721375e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42290101e-07, 4.35721375e-05, 8.89938842e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[1.00754919e+03, -2.05449691e-03, -5.83071894e-04, 3.72643695e+02, 1.90881164e-02, 1.08506214e-03];[0.52820226, 0.47179774];[1.00787795e+03, 1.62477521e-02, 0.00000000e+00, 3.72562909e+02, 1.18146439e-02, 0.00000000e+00];[1.00789014e+03, 2.34096493e-02, 2.32383454e-03, 3.72571119e+02, 1.66890285e-02, 1.48949267e-03];[1.00755069e+03, -1.31055052e-03, -4.05078310e-04, 3.72639078e+02, 1.59013124e-02, 9.42815503e-05];[1.00754752e+03, -2.88738383e-03, -7.82345027e-04, 3.72648863e+02, 2.26559102e-02, 2.19429287e-03];[1006., 373.];[[1.74265285e-01, 7.49357504e-09], [9.34970732e-03, 3.82919248e-09], [2.15702130e-04, -1.95750532e-12], [7.49357504e-09, 1.74265281e-01], [3.91593424e-09, 9.34970536e-03], [-1.95750532e-12, 2.15702131e-04]];[[1.81270792e-01, 1.16339076e-08], [1.39127153e-02, 7.57625246e-09], [1.64335640e-03, 1.88482854e-09], [1.16339076e-08, 1.81270787e-01], [7.64942087e-09, 1.39127123e-02], [1.86023760e-09, 1.64335545e-03]];[[2.31801142e+03, 2.10360448e-05], [2.10360448e-05, 2.31801141e+03]];[[2.33784563e+03, 3.32201167e-05], [3.32201167e-05, 2.33784561e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[1914.0625, 0], [  0, 1914.0625]];[[1914.0625, 0], [  0, 1914.0625]]
[1.00778934e+03, 1.94124483e-02, 7.97751153e-04, 3.72563284e+02, 1.23832099e-02, 3.41356749e-04];[0.51776951, 0.48223049];[1.00774632e+03, 1.37348977e-02, 0.00000000e+00, 3.72299587e+02, -1.06879761e-02, 0.00000000e+00];[1.00775394e+03, 1.77660162e-02, 1.27249219e-03, 3.72289606e+02, -1.57952876e-02, -1.94533977e-03];[1.00778537e+03, 1.69933122e-02, 2.73833531e-06, 3.72561353e+02, 1.11530111e-02, 1.83549230e-05];[1.00779361e+03, 2.20098677e-02, 1.65135416e-03, 3.72565358e+02, 1.37040710e-02, 6.88162894e-04];[1008., 374.];[[1.53942301e-01, 3.46293120e-09], [1.28445171e-02, 7.09582386e-10], [1.07943935e-05, -4.41816701e-14], [3.46293120e-09, 1.53942309e-01], [6.57070078e-10, 1.28445217e-02], [-4.41816701e-14, 1.07943934e-05]];[[1.61221165e-01, 7.94566667e-09], [1.72471070e-02, 4.01137240e-09], [1.53970391e-03, 2.98267285e-10], [7.94566667e-09, 1.61221174e-01], [3.75214490e-09, 1.72471126e-02], [5.00857836e-12, 1.53970529e-03]];[[2.26233093e+03, 9.25976615e-06], [9.25976615e-06, 2.26233095e+03]];[[2.28196328e+03, 2.16168065e-05], [2.16168065e-05, 2.28196330e+03]];[[5.96360347e-04, 5.39692729e-03, 2.44204903e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [5.39692729e-03, 4.88409806e-02, 2.20999956e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.44204903e-02, 2.20999956e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.96360347e-04, 5.39692729e-03, 2.44204903e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.39692729e-03, 4.88409806e-02, 2.20999956e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.44204903e-02, 2.20999956e-01, 1.00000000e+00]];[[2.60380294e-15, 9.56525506e-05, 1.75969748e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.56525506e-05, 3.53892571e-09, 2.38876897e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.75969748e-09, 2.38876897e-06, 2.16187029e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.60380294e-15, 9.56525506e-05, 1.75969748e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.56525506e-05, 3.53892571e-09, 2.38876897e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75969748e-09, 2.38876897e-06, 2.16187029e-03]];[[1914.0625, 0], [  0, 1914.0625]];[[1914.0625, 0], [  0, 1914.0625]]
[1.00778934e+03, 1.94124483e-02, 7.97751153e-04, 3.72563284e+02, 1.23832099e-02, 3.41356749e-04];[0.51776951, 0.48223049];[1.00774632e+03, 1.37348977e-02, 0.00000000e+00, 3.72299587e+02, -1.06879761e-02, 0.00000000e+00];[1.00775394e+03, 1.77660162e-02, 1.27249219e-03, 3.72289606e+02, -1.57952876e-02, -1.94533977e-03];[1.00778537e+03, 1.69933122e-02, 2.73833531e-06, 3.72561353e+02, 1.11530111e-02, 1.83549230e-05];[1.00779361e+03, 2.20098677e-02, 1.65135416e-03, 3.72565358e+02, 1.37040710e-02, 6.88162894e-04];[1008., 374.];[[1.53942301e-01, 3.46293120e-09], [1.28445171e-02, 7.09582386e-10], [1.07943935e-05, -4.41816701e-14], [3.46293120e-09, 1.53942309e-01], [6.57070078e-10, 1.28445217e-02], [-4.41816701e-14, 1.07943934e-05]];[[1.61221165e-01, 7.94566667e-09], [1.72471070e-02, 4.01137240e-09], [1.53970391e-03, 2.98267285e-10], [7.94566667e-09, 1.61221174e-01], [3.75214490e-09, 1.72471126e-02], [5.00857836e-12, 1.53970529e-03]];[[2.26233093e+03, 9.25976615e-06], [9.25976615e-06, 2.26233095e+03]];[[2.28196328e+03, 2.16168065e-05], [2.16168065e-05, 2.28196330e+03]];[[5.96360347e-04, 5.39692729e-03, 2.44204903e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [5.39692729e-03, 4.88409806e-02, 2.20999956e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.44204903e-02, 2.20999956e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.96360347e-04, 5.39692729e-03, 2.44204903e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.39692729e-03, 4.88409806e-02, 2.20999956e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.44204903e-02, 2.20999956e-01, 1.00000000e+00]];[[2.60380294e-15, 9.56525506e-05, 1.75969748e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.56525506e-05, 3.53892571e-09, 2.38876897e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.75969748e-09, 2.38876897e-06, 2.16187029e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.60380294e-15, 9.56525506e-05, 1.75969748e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.56525506e-05, 3.53892571e-09, 2.38876897e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75969748e-09, 2.38876897e-06, 2.16187029e-03]];[[1914.0625, 0], [  0, 1914.0625]];[[1914.0625, 0], [  0, 1914.0625]]
