state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[1318., 0, 0, 1099., 0, 0.];[0.8, 0.2];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[1318., 0, 0, 1099., 0, 0.];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[1.29577612e+03, -5.95312251e-03, -5.83603113e-03, 1.07895494e+03, -5.36948305e-03, -5.26387121e-03];[0.70999686, 0.29000314];[1318., 0, 0, 1099., 0, 0.];[1318., 0, 0, 1099., 0, 0.];[1.29577525e+03, -8.38419330e-03, -8.21979751e-03, 1.07895415e+03, -7.56221357e-03, -7.41393501e-03];[1.29577827e+03, -1.28144652e-06, -2.52518112e-09, 1.07895687e+03, -1.15581451e-06, -2.27761434e-09];[1267., 1053.];[[4.35779415e-01, 0.00000000e+00], [1.64395947e-04, 0.00000000e+00], [1.61172500e-04, 0.00000000e+00], [0.00000000e+00, 4.35779415e-01], [0.00000000e+00, 1.64395947e-04], [0.00000000e+00, 1.61172500e-04]];[[4.35720277e-01, 0.00000000e+00], [2.51264024e-08, 0.00000000e+00], [4.95133553e-11, 0.00000000e+00], [0.00000000e+00, 4.35720277e-01], [0.00000000e+00, 2.51264024e-08], [0.00000000e+00, 4.95133553e-11]];[[3227.59763582, 0], [  0, 3227.59763582]];[[3227.41463424, 0], [  0, 3227.41463424]];[[0.27060802, 0.53060397, 0.52019998, 0, 0, 0], [0.53060397, 1.04039996, 1.01999998, 0, 0, 0], [0.52019998, 1.01999998, 1., 0, 0, 0], [0, 0, 0, 0.27060802, 0.53060397, 0.52019998], [0, 0, 0, 0.53060397, 1.04039996, 1.01999998], [0, 0, 0, 0.52019998, 1.01999998, 1.]];[[5.21865855e-12, 8.10933189e-05, 1.59800127e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10933189e-05, 3.27917726e-07, 4.70163376e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.59800127e-07, 4.70163376e-05, 9.22688129e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.21865855e-12, 8.10933189e-05, 1.59800127e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10933189e-05, 3.27917726e-07, 4.70163376e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.59800127e-07, 4.70163376e-05, 9.22688129e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[1.27839918e+03, -4.28907386e-02, -1.28142004e-02, 1.06334817e+03, -3.85474481e-02, -1.15118481e-02];[0.64705994, 0.35294006];[1.29576762e+03, -7.82057374e-03, 0.00000000e+00, 1.07894727e+03, -7.05385082e-03, 0.00000000e+00];[1.29577362e+03, -4.89254423e-03, -2.24366914e-03, 1.07895268e+03, -4.41288303e-03, -2.02370158e-03];[1.27839042e+03, -4.96396717e-02, -1.21501573e-02, 1.06334029e+03, -4.46128179e-02, -1.09124149e-02];[1.27841525e+03, -3.05176339e-02, -1.40316187e-02, 1.06336261e+03, -2.74275488e-02, -1.26108145e-02];[1219., 1010.];[[2.26361115e-01, 1.79895247e-09], [5.44747616e-04, 1.70754429e-09], [1.58271895e-04, -3.68031677e-13], [1.79895247e-09, 2.26361115e-01], [1.70754429e-09, 5.44747263e-04], [-3.68031677e-13, 1.58271895e-04]];[[2.26098065e-01, 1.10056014e-08], [3.33761216e-04, 1.49748833e-08], [1.53535495e-04, 6.86911278e-09], [1.10056014e-08, 2.26098062e-01], [1.49748833e-08, 3.33758120e-04], [6.86911278e-09, 1.53534075e-04]];[[3.16544303e+03, 7.36064548e-06], [7.36064548e-06, 3.16544303e+03]];[[3.16540189e+03, 4.50149430e-05], [4.50149430e-05, 3.16540188e+03]];[[0.25100167, 0.50150175, 0.50100067, 0, 0, 0], [0.50150175, 1.00200133, 1.00100017, 0, 0, 0], [0.50100067, 1.00100017, 1., 0, 0, 0], [0, 0, 0, 0.25100167, 0.50150175, 0.50100067], [0, 0, 0, 0.50150175, 1.00200133, 1.00100017], [0, 0, 0, 0.50100067, 1.00100017, 1.]];[[4.75532210e-12, 8.14193488e-05, 1.51319847e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14193488e-05, 3.10366136e-07, 4.53657426e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.51319847e-07, 4.53657426e-05, 9.07165019e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.75532210e-12, 8.14193488e-05, 1.51319847e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14193488e-05, 3.10366136e-07, 4.53657426e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51319847e-07, 4.53657426e-05, 9.07165019e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[1.25516838e+03, -2.42505687e-01, -2.63235021e-02, 1.04341864e+03, -2.10142974e-01, -2.27644966e-02];[0.57235385, 0.42764615];[1.26560639e+03, -1.38852525e-01, 0.00000000e+00, 1.05242970e+03, -1.20657714e-01, 0.00000000e+00];[1.26563021e+03, -1.49748068e-01, -3.35572733e-02, 1.05245064e+03, -1.30064741e-01, -2.90619375e-02];[1.25515683e+03, -2.33559445e-01, -9.14550614e-04, 1.04340852e+03, -2.02419071e-01, -7.89538385e-04];[1.25518384e+03, -2.54479176e-01, -6.03303817e-02, 1.04343218e+03, -2.20480506e-01, -5.21753820e-02];[1118., 925.];[[7.07933368e-02, 4.56904600e-08], [6.41606393e-04, 1.34813273e-08], [6.19587451e-06, -3.04660274e-13], [4.56904600e-08, 7.07933263e-02], [1.35279359e-08, 6.41603653e-04], [-3.04660274e-13, 6.19587458e-06]];[[7.07603374e-02, 8.67445866e-08], [7.09394256e-04, 2.41846838e-08], [1.81372274e-04, -2.29046758e-08], [8.67445866e-08, 7.07603175e-02], [2.43001380e-08, 7.09389731e-04], [-2.27631769e-08, 1.81378490e-04]];[[5.53949598e+03, 2.72385172e-04], [2.72385172e-04, 5.53949592e+03]];[[5.54043537e+03, 5.17200013e-04], [5.17200013e-04, 5.54043526e+03]];[[0.001178, 0.00899237, 0.03432202, 0, 0, 0], [0.00899237, 0.06864404, 0.26200008, 0, 0, 0], [0.03432202, 0.26200008, 1., 0, 0, 0], [0, 0, 0, 0.001178, 0.00899237, 0.03432202], [0, 0, 0, 0.00899237, 0.06864404, 0.26200008], [0, 0, 0, 0.03432202, 0.26200008, 1.]];[[6.08371506e-15, 9.48617809e-05, 2.92004422e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.48617809e-05, 5.87854190e-09, 3.34363751e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.92004422e-09, 3.34363751e-06, 2.55254023e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.08371506e-15, 9.48617809e-05, 2.92004422e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.48617809e-05, 5.87854190e-09, 3.34363751e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.92004422e-09, 3.34363751e-06, 2.55254023e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[1.25516838e+03, -2.42505687e-01, -2.63235021e-02, 1.04341864e+03, -2.10142974e-01, -2.27644966e-02];[0.57235385, 0.42764615];[1.26560639e+03, -1.38852525e-01, 0.00000000e+00, 1.05242970e+03, -1.20657714e-01, 0.00000000e+00];[1.26563021e+03, -1.49748068e-01, -3.35572733e-02, 1.05245064e+03, -1.30064741e-01, -2.90619375e-02];[1.25515683e+03, -2.33559445e-01, -9.14550614e-04, 1.04340852e+03, -2.02419071e-01, -7.89538385e-04];[1.25518384e+03, -2.54479176e-01, -6.03303817e-02, 1.04343218e+03, -2.20480506e-01, -5.21753820e-02];[1118., 925.];[[7.07933368e-02, 4.56904600e-08], [6.41606393e-04, 1.34813273e-08], [6.19587451e-06, -3.04660274e-13], [4.56904600e-08, 7.07933263e-02], [1.35279359e-08, 6.41603653e-04], [-3.04660274e-13, 6.19587458e-06]];[[7.07603374e-02, 8.67445866e-08], [7.09394256e-04, 2.41846838e-08], [1.81372274e-04, -2.29046758e-08], [8.67445866e-08, 7.07603175e-02], [2.43001380e-08, 7.09389731e-04], [-2.27631769e-08, 1.81378490e-04]];[[5.53949598e+03, 2.72385172e-04], [2.72385172e-04, 5.53949592e+03]];[[5.54043537e+03, 5.17200013e-04], [5.17200013e-04, 5.54043526e+03]];[[0.001178, 0.00899237, 0.03432202, 0, 0, 0], [0.00899237, 0.06864404, 0.26200008, 0, 0, 0], [0.03432202, 0.26200008, 1., 0, 0, 0], [0, 0, 0, 0.001178, 0.00899237, 0.03432202], [0, 0, 0, 0.00899237, 0.06864404, 0.26200008], [0, 0, 0, 0.03432202, 0.26200008, 1.]];[[6.08371506e-15, 9.48617809e-05, 2.92004422e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.48617809e-05, 5.87854190e-09, 3.34363751e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.92004422e-09, 3.34363751e-06, 2.55254023e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.08371506e-15, 9.48617809e-05, 2.92004422e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.48617809e-05, 5.87854190e-09, 3.34363751e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.92004422e-09, 3.34363751e-06, 2.55254023e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[1.24141534e+03, -7.47124827e-01, -9.10468087e-02, 1.03189064e+03, -6.33602723e-01, -7.67377157e-02];[0.55249673, 0.44750327];[1.25474982e+03, -2.35996459e-01, 0.00000000e+00, 1.04305581e+03, -2.04523112e-01, 0.00000000e+00];[1.25467347e+03, -3.28619986e-01, -4.11646435e-02, 1.04299004e+03, -2.84604936e-01, -3.56000985e-02];[1.24158070e+03, -6.31450962e-01, -5.43771674e-02, 1.03202986e+03, -5.35621280e-01, -4.55277100e-02];[1.24121118e+03, -8.89938159e-01, -1.36319902e-01, 1.03171875e+03, -7.54572626e-01, -1.15270230e-01];[1060, 880.];[[6.76206013e-02, 1.11970459e-07], [2.03054902e-03, 3.34369923e-08], [2.79215527e-04, -3.35312973e-11], [1.11970459e-07, 6.76205771e-02], [3.36237413e-08, 2.03054163e-03], [-3.35312973e-11, 2.79215535e-04]];[[6.91528493e-02, 4.13727605e-07], [2.88307394e-03, 3.69077935e-07], [4.88682364e-04, 1.33536250e-07], [4.13727605e-07, 6.91527428e-02], [3.70497416e-07, 2.88297102e-03], [1.34196155e-07, 4.88643400e-04]];[[5.40916140e+03, 6.49592078e-04], [6.49592078e-04, 5.40916126e+03]];[[5.39588062e+03, 2.39827184e-03], [2.39827184e-03, 5.39588000e+03]];[[2.2810721, 2.62493926, 1.51032185, 0, 0, 0], [2.62493926, 3.02064371, 1.73799992, 0, 0, 0], [1.51032185, 1.73799992, 1., 0, 0, 0], [0, 0, 0, 2.2810721, 2.62493926, 1.51032185], [0, 0, 0, 2.62493926, 3.02064371, 1.73799992], [0, 0, 0, 1.51032185, 1.73799992, 1.]];[[7.20871694e-11, 6.94493919e-05, 7.36501315e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.94493919e-05, 1.53926135e-06, 1.27257112e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.36501315e-07, 1.27257112e-04, 1.46809308e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.20871694e-11, 6.94493919e-05, 7.36501315e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.94493919e-05, 1.53926135e-06, 1.27257112e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.36501315e-07, 1.27257112e-04, 1.46809308e-02]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[1.22788192e+03, -1.53940199e+00, -1.20132601e-01, 1.02036400e+03, -1.30820551e+00, -1.01990877e-01];[0.53893962, 0.46106038];[1.24087071e+03, -6.63777284e-01, 0.00000000e+00, 1.03142795e+03, -5.63003262e-01, 0.00000000e+00];[1.24037474e+03, -9.59470888e-01, -1.10083046e-01, 1.03100928e+03, -8.13223798e-01, -9.30113987e-02];[1.22836906e+03, -1.26868422e+00, -1.79468740e-02, 1.02077733e+03, -1.07834273e+00, -1.52896343e-02];[1.22731251e+03, -1.85584761e+00, -2.39578859e-01, 1.01988086e+03, -1.57689518e+00, -2.03337116e-01];[1015., 839.];[[5.53438279e-02, 5.72876226e-06], [2.67599854e-03, 2.48014080e-06], [7.94568128e-05, -4.81857002e-10], [5.72876226e-06, 5.53418995e-02], [2.48887781e-06, 2.67516905e-03], [-4.81857002e-10, 7.94569750e-05]];[[5.79497573e-02, 9.48935931e-06], [3.97282083e-03, 5.22507335e-06], [5.73571401e-04, 1.18384081e-06], [9.48935931e-06, 5.79466070e-02], [5.24500808e-06, 3.97110642e-03], [1.19199310e-06, 5.73186214e-04]];[[6.29272661e+03, 3.81614626e-02], [3.81614626e-02, 6.29271376e+03]];[[6.25144417e+03, 6.29711653e-02], [6.29711653e-02, 6.25142327e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[1.20645710e+03, -3.26100178e+00, -2.07665226e-01, 1.00233864e+03, -2.75626978e+00, -1.75270934e-01];[0.54112295, 0.45887705];[1.22685786e+03, -1.34570095e+00, 0.00000000e+00, 1.01949313e+03, -1.14373659e+00, 0.00000000e+00];[1.22560120e+03, -1.95100904e+00, -1.82121957e-01, 1.01842659e+03, -1.65763478e+00, -1.54580775e-01];[1.20774732e+03, -2.66347419e+00, -2.79549872e-02, 1.00342762e+03, -2.25162814e+00, -2.35003011e-02];[1.20493563e+03, -3.96562602e+00, -4.19585465e-01, 1.00105448e+03, -3.35135984e+00, -3.54243868e-01];[961., 796.];[[7.18290643e-02, 6.35946335e-05], [4.93693280e-03, 2.34945142e-05], [1.05156183e-04, -7.20488936e-09], [6.35946335e-05, 7.18080537e-02], [2.35146363e-05, 4.92918949e-03], [-7.20488936e-09, 1.05158563e-04]];[[7.80210103e-02, 9.49082283e-05], [7.57592648e-03, 4.50385473e-05], [8.88738256e-04, 1.03508460e-05], [9.49082283e-05, 7.79897549e-02], [4.50771220e-05, 7.56113566e-03], [1.03573352e-05, 8.85337192e-04]];[[4.94692723e+03, 3.38936386e-01], [3.38936386e-01, 4.94681525e+03]];[[4.87153801e+03, 5.01457597e-01], [5.01457597e-01, 4.87137287e+03]];[[0.27060802, 0.53060397, 0.52019998, 0, 0, 0], [0.53060397, 1.04039996, 1.01999998, 0, 0, 0], [0.52019998, 1.01999998, 1., 0, 0, 0], [0, 0, 0, 0.27060802, 0.53060397, 0.52019998], [0, 0, 0, 0.53060397, 1.04039996, 1.01999998], [0, 0, 0, 0.52019998, 1.01999998, 1.]];[[5.21865855e-12, 8.10933189e-05, 1.59800127e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10933189e-05, 3.27917726e-07, 4.70163376e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.59800127e-07, 4.70163376e-05, 9.22688129e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.21865855e-12, 8.10933189e-05, 1.59800127e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10933189e-05, 3.27917726e-07, 4.70163376e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.59800127e-07, 4.70163376e-05, 9.22688129e-03]];[[351.5625, 0], [  0, 351.5625]];[[351.5625, 0], [  0, 351.5625]]
[1.16696093e+03, -7.39776317e+00, -3.34240234e-01, 9.69279878e+02, -6.21809991e+00, -2.80679923e-01];[0.51730233, 0.48269767];[1189.2810917, -4.32097444, 0, 987.97351197, -3.63846732, 0.];[1.18576383e+03, -5.74548593e+00, -4.19274714e-01, 9.85016399e+02, -4.83659735e+00, -3.52517998e-01];[1.16948611e+03, -6.34776022e+00, -1.58933646e-03, 9.71399893e+02, -5.33620507e+00, -1.33045044e-03];[1.16425472e+03, -8.52304095e+00, -6.90738912e-01, 9.67007878e+02, -7.16321788e+00, -5.80055991e-01];[862., 714.];[[5.98618194e-02, 7.42177535e-04], [5.96501638e-03, 2.72101885e-04], [4.85939306e-06, -3.83617264e-09], [7.42177535e-04, 5.96069252e-02], [2.72221742e-04, 5.87153376e-03], [-3.83617264e-09, 4.86071056e-06]];[[6.56591557e-02, 9.26348070e-04], [8.26003916e-03, 3.80984647e-04], [7.72319503e-04, 7.90176448e-05], [9.26348070e-04, 6.53414446e-02], [3.81147286e-04, 8.12946681e-03], [7.90476394e-05, 7.45140244e-04]];[[5.97617028e+03, 4.71651637e+00], [4.71651637e+00, 5.97455043e+03]];[[5.84044504e+03, 5.78851491e+00], [5.78851491e+00, 5.83845974e+03]];[[8.43353096e-04, 6.99877579e-03, 2.90405423e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.99877579e-03, 5.80810846e-02, 2.41000175e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.90405423e-02, 2.41000175e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.43353096e-04, 6.99877579e-03, 2.90405423e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.99877579e-03, 5.80810846e-02, 2.41000175e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.90405423e-02, 2.41000175e-01, 1.00000000e+00]];[[4.01100458e-15, 9.52661961e-05, 2.27743994e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.52661961e-05, 4.58245560e-09, 2.83504030e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.27743994e-09, 2.83504030e-06, 2.35284270e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.01100458e-15, 9.52661961e-05, 2.27743994e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.52661961e-05, 4.58245560e-09, 2.83504030e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.27743994e-09, 2.83504030e-06, 2.35284270e-03]];[[351.5625, 0], [  0, 351.5625]];[[351.5625, 0], [  0, 351.5625]]
[1.16696093e+03, -7.39776317e+00, -3.34240234e-01, 9.69279878e+02, -6.21809991e+00, -2.80679923e-01];[0.51730233, 0.48269767];[1189.2810917, -4.32097444, 0, 987.97351197, -3.63846732, 0.];[1.18576383e+03, -5.74548593e+00, -4.19274714e-01, 9.85016399e+02, -4.83659735e+00, -3.52517998e-01];[1.16948611e+03, -6.34776022e+00, -1.58933646e-03, 9.71399893e+02, -5.33620507e+00, -1.33045044e-03];[1.16425472e+03, -8.52304095e+00, -6.90738912e-01, 9.67007878e+02, -7.16321788e+00, -5.80055991e-01];[862., 714.];[[5.98618194e-02, 7.42177535e-04], [5.96501638e-03, 2.72101885e-04], [4.85939306e-06, -3.83617264e-09], [7.42177535e-04, 5.96069252e-02], [2.72221742e-04, 5.87153376e-03], [-3.83617264e-09, 4.86071056e-06]];[[6.56591557e-02, 9.26348070e-04], [8.26003916e-03, 3.80984647e-04], [7.72319503e-04, 7.90176448e-05], [9.26348070e-04, 6.53414446e-02], [3.81147286e-04, 8.12946681e-03], [7.90476394e-05, 7.45140244e-04]];[[5.97617028e+03, 4.71651637e+00], [4.71651637e+00, 5.97455043e+03]];[[5.84044504e+03, 5.78851491e+00], [5.78851491e+00, 5.83845974e+03]];[[8.43353096e-04, 6.99877579e-03, 2.90405423e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.99877579e-03, 5.80810846e-02, 2.41000175e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.90405423e-02, 2.41000175e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.43353096e-04, 6.99877579e-03, 2.90405423e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.99877579e-03, 5.80810846e-02, 2.41000175e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.90405423e-02, 2.41000175e-01, 1.00000000e+00]];[[4.01100458e-15, 9.52661961e-05, 2.27743994e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.52661961e-05, 4.58245560e-09, 2.83504030e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.27743994e-09, 2.83504030e-06, 2.35284270e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.01100458e-15, 9.52661961e-05, 2.27743994e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.52661961e-05, 4.58245560e-09, 2.83504030e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.27743994e-09, 2.83504030e-06, 2.35284270e-03]];[[351.5625, 0], [  0, 351.5625]];[[351.5625, 0], [  0, 351.5625]]
