state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[861., 0, 0, 227., 0, 0.];[0.8, 0.2];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[861., 0, 0, 227., 0, 0.];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[8.60609689e+02, -2.21628660e-04, -2.21613940e-04, 2.27000000e+02, 4.19152166e-22, 7.76584754e-25];[0.70996787, 0.29003213];[861., 0, 0, 227., 0, 0.];[861., 0, 0, 227., 0, 0.];[8.60609661e+02, -3.12146397e-04, -3.12146397e-04, 2.27000000e+02, 0.00000000e+00, 0.00000000e+00];[8.60609756e+02, -5.08481796e-08, -9.42090349e-11, 2.27000000e+02, 1.44519219e-21, 2.67758181e-24];[860, 227.];[[3.90339069e-01, 0.00000000e+00], [3.12146397e-04, 0.00000000e+00], [3.12146397e-04, 0.00000000e+00], [0.00000000e+00, 3.90339069e-01], [0.00000000e+00, 3.12146397e-04], [0.00000000e+00, 3.12146397e-04]];[[3.90243902e-01, 1.23019127e-30], [5.08481796e-08, -1.02586898e-37], [9.42090349e-11, -1.90068017e-40], [1.23019127e-30, 3.90243902e-01], [-1.02586898e-37, 5.08481796e-08], [-1.90068017e-40, 9.42090349e-11]];[[1601.8125, 0], [  0, 1601.8125]];[[1.60156250e+03, 3.23117427e-27], [3.23117427e-27, 1.60156250e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[8.60458312e+02, -8.57875769e-04, -2.33074024e-04, 2.27000000e+02, -2.78591635e-18, -8.21109299e-19];[0.64695994, 0.35304006];[8.60609370e+02, -2.91160102e-04, 0.00000000e+00, 2.27000000e+02, 9.71793054e-23, 0.00000000e+00];[8.60609584e+02, -1.85596297e-04, -8.50246273e-05, 2.27000000e+02, 1.01104050e-21, 1.68835566e-24];[8.60458118e+02, -9.89629675e-04, -2.05833122e-04, 2.27000000e+02, -4.30671679e-18, -1.26918194e-18];[8.60458668e+02, -6.16431501e-04, -2.82994062e-04, 2.27000000e+02, 1.01091421e-21, 1.63035296e-24];[856., 227.];[[3.28141183e-02, -6.11274511e-23], [1.51532544e-04, -4.76561740e-23], [4.46553692e-05, 2.82227951e-27], [-6.11274511e-23, 3.28141183e-02], [9.58027464e-27, 1.51532544e-04], [2.82227951e-27, 4.46553692e-05]];[[3.27395707e-02, -2.83395327e-22], [9.34650992e-05, -3.15508293e-22], [4.29473559e-05, -1.44578889e-22], [-2.83395327e-22, 3.27395707e-02], [2.73990394e-26, 9.34650928e-05], [1.25830675e-26, 4.29473530e-05]];[[1.16720712e+04, -7.37690631e-19], [-7.37690631e-19, 1.16720712e+04]];[[1.16711716e+04, -3.41950875e-18], [-3.41950875e-18, 1.16711716e+04]];[[0.27167097, 0.53216636, 0.52122065, 0, 0, 0], [0.53216636, 1.0424413, 1.02100015, 0, 0, 0], [0.52122065, 1.02100015, 1., 0, 0, 0], [0, 0, 0, 0.27167097, 0.53216636, 0.52122065], [0, 0, 0, 0.53216636, 1.0424413, 1.02100015], [0, 0, 0, 0.52122065, 1.02100015, 1.]];[[5.24400797e-12, 8.10761827e-05, 1.60254802e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10761827e-05, 3.28859085e-07, 4.71039557e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.60254802e-07, 4.71039557e-05, 9.23503645e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.24400797e-12, 8.10761827e-05, 1.60254802e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10761827e-05, 3.28859085e-07, 4.71039557e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60254802e-07, 4.71039557e-05, 9.23503645e-03]];[[11289.0625, 0], [  0, 11289.0625]];[[11289.0625, 0], [  0, 11289.0625]]
[8.59667417e+02, -9.58992746e-03, -9.84096996e-04, 2.27372741e+02, 3.90305029e-03, 4.00947939e-04];[0.57186685, 0.42813315];[8.59559249e+02, -1.06640395e-02, 0.00000000e+00, 2.27493535e+02, 5.33617520e-03, 0.00000000e+00];[8.59560765e+02, -1.15568373e-02, -2.69314780e-03, 2.27492852e+02, 5.80132829e-03, 1.37920864e-03];[8.59666967e+02, -9.26346879e-03, 9.73984678e-06, 2.27372916e+02, 3.76787456e-03, -1.09062738e-05];[8.59668017e+02, -1.00259855e-02, -2.31158667e-03, 2.27372508e+02, 4.08360747e-03, 9.51070647e-04];[860, 227.];[[2.44397393e-01, -1.34123153e-10], [3.17769032e-03, 2.74423483e-11], [2.20982887e-05, 3.92255415e-15], [-1.34123153e-10, 2.44397393e-01], [3.28741612e-11, 3.17769032e-03], [3.92255415e-15, 2.20982887e-05]];[[2.44179614e-01, -2.27756299e-10], [3.48526656e-03, 1.10017883e-10], [8.68694538e-04, 2.57449557e-10], [-2.27756299e-10, 2.44179613e-01], [1.23804882e-10, 3.48526659e-03], [2.74998573e-10, 8.68694957e-04]];[[1.29242871e+03, -2.29412406e-07], [-2.29412406e-07, 1.29242871e+03]];[[1.29205631e+03, -3.89343776e-07], [-3.89343776e-07, 1.29205631e+03]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[8.59667417e+02, -9.58992746e-03, -9.84096996e-04, 2.27372741e+02, 3.90305029e-03, 4.00947939e-04];[0.57186685, 0.42813315];[8.59559249e+02, -1.06640395e-02, 0.00000000e+00, 2.27493535e+02, 5.33617520e-03, 0.00000000e+00];[8.59560765e+02, -1.15568373e-02, -2.69314780e-03, 2.27492852e+02, 5.80132829e-03, 1.37920864e-03];[8.59666967e+02, -9.26346879e-03, 9.73984678e-06, 2.27372916e+02, 3.76787456e-03, -1.09062738e-05];[8.59668017e+02, -1.00259855e-02, -2.31158667e-03, 2.27372508e+02, 4.08360747e-03, 9.51070647e-04];[860, 227.];[[2.44397393e-01, -1.34123153e-10], [3.17769032e-03, 2.74423483e-11], [2.20982887e-05, 3.92255415e-15], [-1.34123153e-10, 2.44397393e-01], [3.28741612e-11, 3.17769032e-03], [3.92255415e-15, 2.20982887e-05]];[[2.44179614e-01, -2.27756299e-10], [3.48526656e-03, 1.10017883e-10], [8.68694538e-04, 2.57449557e-10], [-2.27756299e-10, 2.44179613e-01], [1.23804882e-10, 3.48526659e-03], [2.74998573e-10, 8.68694957e-04]];[[1.29242871e+03, -2.29412406e-07], [-2.29412406e-07, 1.29242871e+03]];[[1.29205631e+03, -3.89343776e-07], [-3.89343776e-07, 1.29205631e+03]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[8.59513105e+02, -1.77351252e-02, -1.75224425e-03, 2.27474750e+02, 9.17722487e-03, 1.01732912e-03];[0.55044439, 0.44955561];[8.59650629e+02, -9.35245334e-03, 0.00000000e+00, 2.27379565e+02, 3.80472012e-03, 0.00000000e+00];[8.59647695e+02, -1.28964218e-02, -1.56719942e-03, 2.27380789e+02, 5.26210273e-03, 6.43699103e-04];[8.59516035e+02, -1.51028050e-02, -7.97395314e-04, 2.27473073e+02, 7.79969939e-03, 5.53979651e-04];[8.59509517e+02, -2.09581879e-02, -2.92137934e-03, 2.27476803e+02, 1.08638931e-02, 1.58466297e-03];[853., 232.];[[2.02378961e-02, -3.54187404e-12], [8.64632692e-04, 1.91604799e-13], [1.19897721e-04, 4.33434426e-16], [-3.54187404e-12, 2.02378960e-02], [8.35207694e-13, 8.64632682e-04], [4.33434426e-16, 1.19897721e-04]];[[2.07858260e-02, -1.02921099e-10], [1.21271587e-03, -1.38616683e-10], [2.03706638e-04, -5.88237185e-11], [-1.02921099e-10, 2.07858257e-02], [-1.33949223e-10, 1.21271559e-03], [-5.66762525e-11, 2.03706530e-04]];[[1.29176766e+04, -4.66978496e-08], [-4.66978496e-08, 1.29176766e+04]];[[1.29249048e+04, -1.35848259e-06], [-1.35848259e-06, 1.29249048e+04]];[[2.39878139, 2.72588796, 1.54879998, 0, 0, 0], [2.72588796, 3.09759997, 1.75999999, 0, 0, 0], [1.54879998, 1.75999999, 1., 0, 0, 0], [0, 0, 0, 2.39878139, 2.72588796, 1.54879998], [0, 0, 0, 2.72588796, 3.09759997, 1.75999999], [0, 0, 0, 1.54879998, 1.75999999, 1.]];[[7.66754364e-11, 6.91128062e-05, 7.63173933e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.91128062e-05, 1.59590566e-06, 1.30220775e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.63173933e-07, 1.30220775e-04, 1.48359938e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.66754364e-11, 6.91128062e-05, 7.63173933e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.91128062e-05, 1.59590566e-06, 1.30220775e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.63173933e-07, 1.30220775e-04, 1.48359938e-02]];[[12656.25, 0], [  0, 12656.25]];[[12656.25, 0], [  0, 12656.25]]
[8.58547725e+02, -9.00291649e-02, -7.54625980e-03, 2.27228145e+02, -9.46165196e-03, -1.16609124e-03];[0.53755357, 0.46244643];[8.59499690e+02, -1.58404098e-02, 0.00000000e+00, 2.27481565e+02, 8.18569705e-03, 0.00000000e+00];[8.59489973e+02, -2.22926336e-02, -2.30650259e-03, 2.27486905e+02, 1.16277856e-02, 1.27069522e-03];[8.58570639e+02, -7.48578811e-02, -1.56076140e-03, 2.27231287e+02, -7.71303260e-03, -4.20454387e-04];[8.58521089e+02, -1.07664457e-01, -1.45038788e-02, 2.27224492e+02, -1.14942692e-02, -2.03282894e-03];[854., 226.];[[1.68927986e-01, -4.91983567e-09], [1.07310547e-02, -2.82025319e-09], [2.83790789e-04, 1.68000369e-12], [-4.91983567e-09, 1.68927979e-01], [-2.68986916e-09, 1.07310507e-02], [1.68000369e-12, 2.83790791e-04]];[[1.76482511e-01, -1.01417381e-08], [1.55505009e-02, -7.66957184e-09], [2.22175564e-03, -1.99187836e-09], [-1.01417381e-08, 1.76482496e-01], [-7.35240201e-09, 1.55504890e-02], [-1.84853050e-09, 2.22175255e-03]];[[1.69209163e+03, -1.00169571e-05], [-1.00169571e-05, 1.69209162e+03]];[[1.70761401e+03, -2.10295154e-05], [-2.10295154e-05, 1.70761398e+03]];[[0.23059206, 0.47059603, 0.48020002, 0, 0, 0], [0.47059603, 0.96040004, 0.98000002, 0, 0, 0], [0.48020002, 0.98000002, 1., 0, 0, 0], [0, 0, 0, 0.23059206, 0.47059603, 0.48020002], [0, 0, 0, 0.47059603, 0.96040004, 0.98000002], [0, 0, 0, 0.48020002, 0.98000002, 1.]];[[4.28191846e-12, 8.17808114e-05, 1.42290101e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.17808114e-05, 2.91690185e-07, 4.35721375e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.42290101e-07, 4.35721375e-05, 8.89938842e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28191846e-12, 8.17808114e-05, 1.42290101e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.17808114e-05, 2.91690185e-07, 4.35721375e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42290101e-07, 4.35721375e-05, 8.89938842e-03]];[[1406.25, 0], [  0, 1406.25]];[[1406.25, 0], [  0, 1406.25]]
[8.58024475e+02, -1.39452527e-01, -8.55249292e-03, 2.27147939e+02, -1.74276073e-02, -1.29035036e-03];[0.52741605, 0.47258395];[8.58484926e+02, -7.91819294e-02, 0.00000000e+00, 2.27222180e+02, -8.21141590e-03, 0.00000000e+00];[8.58421492e+02, -1.13786006e-01, -1.11301919e-02, 2.27213947e+02, -1.25239638e-02, -1.59104657e-03];[8.58068148e+02, -1.15094747e-01, -7.47704889e-04, 2.27154126e+02, -1.40754222e-02, -1.22089378e-04];[8.57975734e+02, -1.66636448e-01, -1.72628405e-02, 2.27141034e+02, -2.11687335e-02, -2.59416017e-03];[851., 226.];[[5.56823141e-02, 1.49639627e-08], [4.79801810e-03, 6.29362783e-09], [9.98947635e-05, -1.58296465e-12], [1.49639627e-08, 5.56821645e-02], [5.52430928e-09, 4.79795570e-03], [-1.58296465e-12, 9.98947793e-05]];[[6.00631569e-02, 1.85807194e-08], [7.12126706e-03, 9.98744251e-09], [8.26335822e-04, 2.95310063e-09], [1.85807194e-08, 6.00629404e-02], [8.94187861e-09, 7.12115133e-03], [2.88854315e-09, 8.26306105e-04]];[[5.00526737e+03, 7.93150692e-05], [7.93150692e-05, 5.00526658e+03]];[[5.02859584e+03, 9.94055158e-05], [9.94055158e-05, 5.02859468e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[4726.5625, 0], [  0, 4726.5625]];[[4726.5625, 0], [  0, 4726.5625]]
[8.57024834e+02, -2.48486056e-01, -1.00153131e-02, 2.26751830e+02, -6.47025242e-02, -2.97989946e-03];[0.51589849, 0.48410151];[8.57558348e+02, -1.64380164e-01, 0.00000000e+00, 2.26988446e+02, -3.13532760e-02, 0.00000000e+00];[8.57452802e+02, -2.13170684e-01, -1.46706395e-02, 2.26965632e+02, -4.18008157e-02, -3.33271940e-03];[8.57091728e+02, -2.16624236e-01, -3.51295929e-05, 2.26770991e+02, -5.56993381e-02, -1.63714561e-05];[8.56953547e+02, -2.82440638e-01, -2.06510194e-02, 2.26731410e+02, -7.42970616e-02, -6.13807926e-03];[849., 223.];[[5.45220916e-02, 1.77456203e-07], [6.10442422e-03, 7.22981849e-08], [4.10471717e-06, -7.70411999e-13], [1.77456203e-07, 5.45209935e-02], [7.07855556e-08, 6.10399513e-03], [-7.70411999e-13, 4.10472194e-06]];[[5.90638422e-02, 2.09166782e-07], [8.19486511e-03, 9.54327323e-08], [7.07492915e-04, 2.07248919e-08], [2.09166782e-07, 5.90625011e-02], [9.41057440e-08, 8.19426790e-03], [2.13787719e-08, 7.07372542e-04]];[[5.94937222e+03, 1.11663294e-03], [1.11663294e-03, 5.94936531e+03]];[[5.97808890e+03, 1.32890614e-03], [1.32890614e-03, 5.97808038e+03]];[[5.96360347e-04, 5.39692729e-03, 2.44204903e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [5.39692729e-03, 4.88409806e-02, 2.20999956e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.44204903e-02, 2.20999956e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.96360347e-04, 5.39692729e-03, 2.44204903e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.39692729e-03, 4.88409806e-02, 2.20999956e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.44204903e-02, 2.20999956e-01, 1.00000000e+00]];[[2.60380294e-15, 9.56525506e-05, 1.75969748e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.56525506e-05, 3.53892571e-09, 2.38876897e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.75969748e-09, 2.38876897e-06, 2.16187029e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.60380294e-15, 9.56525506e-05, 1.75969748e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.56525506e-05, 3.53892571e-09, 2.38876897e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75969748e-09, 2.38876897e-06, 2.16187029e-03]];[[5625., 0.], [  0, 5625.]];[[5625., 0.], [  0, 5625.]]
[8.57024834e+02, -2.48486056e-01, -1.00153131e-02, 2.26751830e+02, -6.47025242e-02, -2.97989946e-03];[0.51589849, 0.48410151];[8.57558348e+02, -1.64380164e-01, 0.00000000e+00, 2.26988446e+02, -3.13532760e-02, 0.00000000e+00];[8.57452802e+02, -2.13170684e-01, -1.46706395e-02, 2.26965632e+02, -4.18008157e-02, -3.33271940e-03];[8.57091728e+02, -2.16624236e-01, -3.51295929e-05, 2.26770991e+02, -5.56993381e-02, -1.63714561e-05];[8.56953547e+02, -2.82440638e-01, -2.06510194e-02, 2.26731410e+02, -7.42970616e-02, -6.13807926e-03];[849., 223.];[[5.45220916e-02, 1.77456203e-07], [6.10442422e-03, 7.22981849e-08], [4.10471717e-06, -7.70411999e-13], [1.77456203e-07, 5.45209935e-02], [7.07855556e-08, 6.10399513e-03], [-7.70411999e-13, 4.10472194e-06]];[[5.90638422e-02, 2.09166782e-07], [8.19486511e-03, 9.54327323e-08], [7.07492915e-04, 2.07248919e-08], [2.09166782e-07, 5.90625011e-02], [9.41057440e-08, 8.19426790e-03], [2.13787719e-08, 7.07372542e-04]];[[5.94937222e+03, 1.11663294e-03], [1.11663294e-03, 5.94936531e+03]];[[5.97808890e+03, 1.32890614e-03], [1.32890614e-03, 5.97808038e+03]];[[5.96360347e-04, 5.39692729e-03, 2.44204903e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [5.39692729e-03, 4.88409806e-02, 2.20999956e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.44204903e-02, 2.20999956e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.96360347e-04, 5.39692729e-03, 2.44204903e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.39692729e-03, 4.88409806e-02, 2.20999956e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.44204903e-02, 2.20999956e-01, 1.00000000e+00]];[[2.60380294e-15, 9.56525506e-05, 1.75969748e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.56525506e-05, 3.53892571e-09, 2.38876897e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.75969748e-09, 2.38876897e-06, 2.16187029e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.60380294e-15, 9.56525506e-05, 1.75969748e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.56525506e-05, 3.53892571e-09, 2.38876897e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75969748e-09, 2.38876897e-06, 2.16187029e-03]];[[5625., 0.], [  0, 5625.]];[[5625., 0.], [  0, 5625.]]
