state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[941., 0, 0, 328., 0, 0.];[0.8, 0.2];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[941., 0, 0, 328., 0, 0.];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[4726.5625, 0], [  0, 4726.5625]];[[4726.5625, 0], [  0, 4726.5625]]
[9.39473151e+02, -1.14679722e-04, -1.14672107e-04, 3.28763425e+02, 5.73398609e-05, 5.73360535e-05];[0.70999585, 0.29000415];[941., 0, 0, 328., 0, 0.];[941., 0, 0, 328., 0, 0.];[9.39473136e+02, -1.61510935e-04, -1.61510935e-04, 3.28763432e+02, 8.07554674e-05, 8.07554674e-05];[9.39473186e+02, -2.63063137e-08, -4.87390591e-11, 3.28763407e+02, 1.31531569e-08, 2.43695295e-11];[937., 330.];[[3.81715953e-01, 0.00000000e+00], [4.03777337e-05, 0.00000000e+00], [4.03777337e-05, 0.00000000e+00], [0.00000000e+00, 3.81715953e-01], [0.00000000e+00, 4.03777337e-05], [0.00000000e+00, 4.03777337e-05]];[[3.81703470e-01, 0.00000000e+00], [6.57657844e-09, 0.00000000e+00], [1.21847648e-11, 0.00000000e+00], [0.00000000e+00, 3.81703470e-01], [0.00000000e+00, 6.57657844e-09], [0.00000000e+00, 1.21847648e-11]];[[12383.0625, 0], [  0, 12383.0625]];[[12382.8125, 0], [  0, 12382.8125]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[7656.25, 0], [  0, 7656.25]];[[7656.25, 0], [  0, 7656.25]]
[9.40852763e+02, 5.92026707e-04, 2.27298344e-04, 3.29072167e+02, 2.27527450e-04, 6.20928028e-05];[0.64697945, 0.35302055];[9.39472986e+02, -1.50653572e-04, 0.00000000e+00, 3.28763507e+02, 7.53267862e-05, 0.00000000e+00];[9.39473097e+02, -9.60404297e-05, -4.39976566e-05, 3.28763452e+02, 4.80202148e-05, 2.19988283e-05];[9.40852847e+02, 6.85877839e-04, 2.45939997e-04, 3.29072207e+02, 2.62473963e-04, 5.50212169e-05];[9.40852609e+02, 4.20026087e-04, 1.93133855e-04, 3.29072094e+02, 1.63481106e-04, 7.50528720e-05];[945., 330.];[[2.49657551e-01, -9.26845830e-14], [1.51353221e-04, -9.28418949e-14], [4.44978038e-05, 5.49650416e-18], [-9.26845830e-14, 2.49657551e-01], [-9.28418949e-14, 1.51353221e-04], [5.49650416e-18, 4.44978038e-05]];[[2.49599545e-01, -5.92087586e-13], [9.33735391e-05, -8.47699458e-13], [4.29049506e-05, -3.88450788e-13], [-5.92087586e-13, 2.49599545e-01], [-8.47699458e-13, 9.33735378e-05], [-3.88450787e-13, 4.29049501e-05]];[[1.17134017e+04, -1.44687503e-09], [-1.44687503e-09, 1.17134017e+04]];[[1.17124962e+04, -9.24149709e-09], [-9.24149709e-09, 1.17124962e+04]];[[0.27167097, 0.53216636, 0.52122065, 0, 0, 0], [0.53216636, 1.0424413, 1.02100015, 0, 0, 0], [0.52122065, 1.02100015, 1., 0, 0, 0], [0, 0, 0, 0.27167097, 0.53216636, 0.52122065], [0, 0, 0, 0.53216636, 1.0424413, 1.02100015], [0, 0, 0, 0.52122065, 1.02100015, 1.]];[[5.24400797e-12, 8.10761827e-05, 1.60254802e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10761827e-05, 3.28859085e-07, 4.71039557e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.60254802e-07, 4.71039557e-05, 9.23503645e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.24400797e-12, 8.10761827e-05, 1.60254802e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10761827e-05, 3.28859085e-07, 4.71039557e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60254802e-07, 4.71039557e-05, 9.23503645e-03]];[[8789.0625, 0], [  0, 8789.0625]];[[8789.0625, 0], [  0, 8789.0625]]
[9.39815786e+02, -1.49013463e-03, -1.93769295e-04, 3.29188020e+02, 5.56894971e-04, 5.83115799e-05];[0.57200945, 0.42799055];[9.40748291e+02, 4.87059222e-04, 0.00000000e+00, 3.28940144e+02, 3.09329362e-05, 0.00000000e+00];[9.40748174e+02, 5.18650028e-04, 9.68229415e-05, 3.28940103e+02, 2.32907636e-05, -9.85984941e-06];[9.39815784e+02, -1.42294404e-03, -1.38042809e-05, 3.29188048e+02, 5.38700586e-04, 3.66981954e-06];[9.39815790e+02, -1.57993485e-03, -4.34292572e-04, 3.29187982e+02, 5.81211770e-04, 1.31340304e-04];[933., 331.];[[1.20350130e-01, 1.06093937e-13], [2.46506381e-04, -8.20828030e-15], [1.78159032e-06, -2.14876326e-19], [1.06093937e-13, 1.20350130e-01], [-4.52557491e-14, 2.46506379e-04], [-2.14876326e-19, 1.78159032e-06]];[[1.20335967e-01, -5.11966784e-13], [2.70848952e-04, -6.87350264e-13], [6.85471822e-05, -3.37531583e-13], [-5.11966784e-13, 1.20335967e-01], [-8.72898352e-13, 2.70848949e-04], [-4.57942761e-13, 6.85471817e-05]];[[1.60308811e+04, 1.93347303e-09], [1.93347303e-09, 1.60308811e+04]];[[1.60306230e+04, -9.32986481e-09], [-9.32986481e-09, 1.60306230e+04]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[14101.5625, 0], [  0, 14101.5625]];[[14101.5625, 0], [  0, 14101.5625]]
[9.39815786e+02, -1.49013463e-03, -1.93769295e-04, 3.29188020e+02, 5.56894971e-04, 5.83115799e-05];[0.57200945, 0.42799055];[9.40748291e+02, 4.87059222e-04, 0.00000000e+00, 3.28940144e+02, 3.09329362e-05, 0.00000000e+00];[9.40748174e+02, 5.18650028e-04, 9.68229415e-05, 3.28940103e+02, 2.32907636e-05, -9.85984941e-06];[9.39815784e+02, -1.42294404e-03, -1.38042809e-05, 3.29188048e+02, 5.38700586e-04, 3.66981954e-06];[9.39815790e+02, -1.57993485e-03, -4.34292572e-04, 3.29187982e+02, 5.81211770e-04, 1.31340304e-04];[933., 331.];[[1.20350130e-01, 1.06093937e-13], [2.46506381e-04, -8.20828030e-15], [1.78159032e-06, -2.14876326e-19], [1.06093937e-13, 1.20350130e-01], [-4.52557491e-14, 2.46506379e-04], [-2.14876326e-19, 1.78159032e-06]];[[1.20335967e-01, -5.11966784e-13], [2.70848952e-04, -6.87350264e-13], [6.85471822e-05, -3.37531583e-13], [-5.11966784e-13, 1.20335967e-01], [-8.72898352e-13, 2.70848949e-04], [-4.57942761e-13, 6.85471817e-05]];[[1.60308811e+04, 1.93347303e-09], [1.93347303e-09, 1.60308811e+04]];[[1.60306230e+04, -9.32986481e-09], [-9.32986481e-09, 1.60306230e+04]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[14101.5625, 0], [  0, 14101.5625]];[[14101.5625, 0], [  0, 14101.5625]]
[9.39104946e+02, -7.37057102e-03, -9.85509335e-04, 3.29896761e+02, 6.25585845e-03, 8.92047106e-04];[0.55056781, 0.44943219];[9.39813248e+02, -1.44125521e-03, 0.00000000e+00, 3.29188997e+02, 5.43659025e-04, 0.00000000e+00];[9.39812543e+02, -2.12134036e-03, -2.96909037e-04, 3.29189160e+02, 7.45737864e-04, 8.97114775e-05];[9.39106421e+02, -6.19676220e-03, -6.36002403e-04, 3.29895495e+02, 5.29694811e-03, 6.35705783e-04];[9.39103139e+02, -8.80852175e-03, -1.41366573e-03, 3.29898313e+02, 7.43055215e-03, 1.20607286e-03];[935., 334.];[[1.46850362e-01, -8.76278204e-13], [9.88003796e-04, -4.35544731e-13], [1.32135814e-04, 1.35717967e-16], [-8.76278204e-13, 1.46850362e-01], [-5.88731525e-13, 9.88003792e-04], [1.35717967e-16, 1.32135815e-04]];[[1.47407335e-01, -9.01586702e-12], [1.38953164e-03, -5.98422130e-12], [2.32051242e-04, -1.58162674e-12], [-9.01586702e-12, 1.47407335e-01], [-7.20523186e-12, 1.38953161e-03], [-2.12958354e-12, 2.32051236e-04]];[[1.17212732e+04, -1.20390325e-08], [-1.20390325e-08, 1.17212732e+04]];[[1.17289304e+04, -1.24029306e-07], [-1.24029306e-07, 1.17289304e+04]];[[2.39878139, 2.72588796, 1.54879998, 0, 0, 0], [2.72588796, 3.09759997, 1.75999999, 0, 0, 0], [1.54879998, 1.75999999, 1., 0, 0, 0], [0, 0, 0, 2.39878139, 2.72588796, 1.54879998], [0, 0, 0, 2.72588796, 3.09759997, 1.75999999], [0, 0, 0, 1.54879998, 1.75999999, 1.]];[[7.66754364e-11, 6.91128062e-05, 7.63173933e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.91128062e-05, 1.59590566e-06, 1.30220775e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.63173933e-07, 1.30220775e-04, 1.48359938e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.66754364e-11, 6.91128062e-05, 7.63173933e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.91128062e-05, 1.59590566e-06, 1.30220775e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.63173933e-07, 1.30220775e-04, 1.48359938e-02]];[[10000, 0.], [  0, 10000.]];[[10000, 0.], [  0, 10000.]]
[9.38645297e+02, -1.41627724e-02, -1.11303301e-03, 3.30647149e+02, 1.70028587e-02, 1.41335855e-03];[0.5357302, 0.4642698];[9.39099612e+02, -6.52562315e-03, 0.00000000e+00, 3.29901304e+02, 5.56560188e-03, 0.00000000e+00];[9.39094952e+02, -9.53490019e-03, -1.15636957e-03, 3.29905236e+02, 8.08253249e-03, 1.00156377e-03];[9.38648794e+02, -1.16685049e-02, -1.44719766e-04, 3.30642875e+02, 1.40253659e-02, 2.38056267e-04];[9.38641261e+02, -1.70409575e-02, -2.23038900e-03, 3.30652080e+02, 2.04386472e-02, 2.76956333e-03];[936., 335.];[[1.45443338e-01, -2.66611701e-10], [1.65920141e-03, -1.38665013e-10], [4.66896356e-05, 1.45666212e-14], [-2.66611701e-10, 1.45443337e-01], [-1.35089907e-10, 1.65920135e-03], [1.45666212e-14, 4.66896356e-05]];[[1.46590540e-01, -4.09753594e-10], [2.42525749e-03, -2.56223911e-10], [3.47022856e-04, -5.41271708e-11], [-4.09753594e-10, 1.46590540e-01], [-2.47232424e-10, 2.42525735e-03], [-4.83376269e-11, 3.47022824e-04]];[[1.02849382e+04, -3.20878065e-06], [-3.20878065e-06, 1.02849382e+04]];[[1.02987639e+04, -4.94481922e-06], [-4.94481922e-06, 1.02987639e+04]];[[0.23059206, 0.47059603, 0.48020002, 0, 0, 0], [0.47059603, 0.96040004, 0.98000002, 0, 0, 0], [0.48020002, 0.98000002, 1., 0, 0, 0], [0, 0, 0, 0.23059206, 0.47059603, 0.48020002], [0, 0, 0, 0.47059603, 0.96040004, 0.98000002], [0, 0, 0, 0.48020002, 0.98000002, 1.]];[[4.28191846e-12, 8.17808114e-05, 1.42290101e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.17808114e-05, 2.91690185e-07, 4.35721375e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.42290101e-07, 4.35721375e-05, 8.89938842e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28191846e-12, 8.17808114e-05, 1.42290101e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.17808114e-05, 2.91690185e-07, 4.35721375e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42290101e-07, 4.35721375e-05, 8.89938842e-03]];[[8789.0625, 0], [  0, 8789.0625]];[[8789.0625, 0], [  0, 8789.0625]]
[9.38087301e+02, -2.70128158e-02, -1.71647613e-03, 3.31290775e+02, 3.18883274e-02, 2.05405380e-03];[0.52551445, 0.47448555];[9.38635414e+02, -1.23811376e-02, 0.00000000e+00, 3.30658972e+02, 1.48760601e-02, 0.00000000e+00];[9.38625496e+02, -1.79187430e-02, -1.69886072e-03, 3.30671009e+02, 2.15816566e-02, 2.11847603e-03];[9.38095396e+02, -2.20968702e-02, -2.04769803e-04, 3.31281193e+02, 2.60707443e-02, 2.35940350e-04];[9.38078335e+02, -3.24574504e-02, -3.39076002e-03, 3.31301388e+02, 3.83315667e-02, 4.06769759e-03];[934., 336.];[[1.16498311e-01, -2.27068216e-09], [2.09597831e-03, -1.03060766e-09], [4.41750844e-05, 1.13534108e-13], [-2.27068216e-09, 1.16498312e-01], [-1.01565509e-09, 2.09597854e-03], [1.13534108e-13, 4.41750844e-05]];[[1.18292288e-01, -3.28420966e-09], [3.14316531e-03, -1.88088509e-09], [3.65776355e-04, -4.45080040e-10], [-3.28420966e-09, 1.18292289e-01], [-1.85595347e-09, 3.14316568e-03], [-4.41345384e-10, 3.65776474e-04]];[[1.13185975e+04, -2.90898566e-05], [-2.90898566e-05, 1.13185975e+04]];[[1.13416270e+04, -4.22456109e-05], [-4.22456109e-05, 1.13416270e+04]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[10000, 0.], [  0, 10000.]];[[10000, 0.], [  0, 10000.]]
[9.37454625e+02, -4.93940595e-02, -2.05638743e-03, 3.31996819e+02, 5.66521092e-02, 2.35713552e-03];[0.5134719, 0.4865281];[9.37982442e+02, -2.71359518e-02, 0.00000000e+00, 3.31519102e+02, 3.49829778e-02, 0.00000000e+00];[9.37965758e+02, -3.53689629e-02, -2.37875855e-03, 3.31541072e+02, 4.58113758e-02, 3.18549214e-03];[9.37467109e+02, -4.26952119e-02, -1.09088988e-05, 3.31982561e+02, 4.89760328e-02, 9.81078400e-06];[9.37441450e+02, -5.64638875e-02, -4.21514404e-03, 3.32011866e+02, 6.47532849e-02, 4.83445450e-03];[933., 336.];[[1.03429869e-01, -2.10428402e-08], [3.12280951e-03, -9.33546349e-09], [2.18946822e-06, 5.13876476e-14], [-2.10428402e-08, 1.03429878e-01], [-9.31359261e-09, 3.12281327e-03], [5.13876476e-14, 2.18946820e-06]];[[1.05584680e-01, -2.57124897e-08], [4.24806607e-03, -1.29135579e-08], [3.69807488e-04, -2.48709444e-09], [-2.57124897e-08, 1.05584690e-01], [-1.28997034e-08, 4.24807106e-03], [-2.50637722e-09, 3.69808560e-04]];[[1.11536172e+04, -2.61779618e-04], [-2.61779618e-04, 1.11536173e+04]];[[1.11804883e+04, -3.21414656e-04], [-3.21414656e-04, 1.11804884e+04]];[[5.96360347e-04, 5.39692729e-03, 2.44204903e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [5.39692729e-03, 4.88409806e-02, 2.20999956e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.44204903e-02, 2.20999956e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.96360347e-04, 5.39692729e-03, 2.44204903e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.39692729e-03, 4.88409806e-02, 2.20999956e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.44204903e-02, 2.20999956e-01, 1.00000000e+00]];[[2.60380294e-15, 9.56525506e-05, 1.75969748e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.56525506e-05, 3.53892571e-09, 2.38876897e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.75969748e-09, 2.38876897e-06, 2.16187029e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.60380294e-15, 9.56525506e-05, 1.75969748e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.56525506e-05, 3.53892571e-09, 2.38876897e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75969748e-09, 2.38876897e-06, 2.16187029e-03]];[[10000, 0.], [  0, 10000.]];[[10000, 0.], [  0, 10000.]]
[9.37454625e+02, -4.93940595e-02, -2.05638743e-03, 3.31996819e+02, 5.66521092e-02, 2.35713552e-03];[0.5134719, 0.4865281];[9.37982442e+02, -2.71359518e-02, 0.00000000e+00, 3.31519102e+02, 3.49829778e-02, 0.00000000e+00];[9.37965758e+02, -3.53689629e-02, -2.37875855e-03, 3.31541072e+02, 4.58113758e-02, 3.18549214e-03];[9.37467109e+02, -4.26952119e-02, -1.09088988e-05, 3.31982561e+02, 4.89760328e-02, 9.81078400e-06];[9.37441450e+02, -5.64638875e-02, -4.21514404e-03, 3.32011866e+02, 6.47532849e-02, 4.83445450e-03];[933., 336.];[[1.03429869e-01, -2.10428402e-08], [3.12280951e-03, -9.33546349e-09], [2.18946822e-06, 5.13876476e-14], [-2.10428402e-08, 1.03429878e-01], [-9.31359261e-09, 3.12281327e-03], [5.13876476e-14, 2.18946820e-06]];[[1.05584680e-01, -2.57124897e-08], [4.24806607e-03, -1.29135579e-08], [3.69807488e-04, -2.48709444e-09], [-2.57124897e-08, 1.05584690e-01], [-1.28997034e-08, 4.24807106e-03], [-2.50637722e-09, 3.69808560e-04]];[[1.11536172e+04, -2.61779618e-04], [-2.61779618e-04, 1.11536173e+04]];[[1.11804883e+04, -3.21414656e-04], [-3.21414656e-04, 1.11804884e+04]];[[5.96360347e-04, 5.39692729e-03, 2.44204903e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [5.39692729e-03, 4.88409806e-02, 2.20999956e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.44204903e-02, 2.20999956e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.96360347e-04, 5.39692729e-03, 2.44204903e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.39692729e-03, 4.88409806e-02, 2.20999956e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.44204903e-02, 2.20999956e-01, 1.00000000e+00]];[[2.60380294e-15, 9.56525506e-05, 1.75969748e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.56525506e-05, 3.53892571e-09, 2.38876897e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.75969748e-09, 2.38876897e-06, 2.16187029e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.60380294e-15, 9.56525506e-05, 1.75969748e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.56525506e-05, 3.53892571e-09, 2.38876897e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75969748e-09, 2.38876897e-06, 2.16187029e-03]];[[10000, 0.], [  0, 10000.]];[[10000, 0.], [  0, 10000.]]
