state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[712., 0, 0, 343., 0, 0.];[0.8, 0.2];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[712., 0, 0, 343., 0, 0.];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
[7.12349436e+02, 6.44774191e-02, 5.99072697e-02, 3.42997799e+02, 2.87925063e-04, 2.35794637e-04];[0.6030688, 0.3969312];[7.11996605e+02, 6.10029270e-05, 0.00000000e+00, 3.42996605e+02, 6.10029270e-05, 0.00000000e+00];[7.11996605e+02, 8.36633661e-05, 8.36519691e-05, 3.42996605e+02, 8.36633661e-05, 8.36519691e-05];[7.12348980e+02, 6.11009807e-02, 5.21831197e-02, 3.42997797e+02, 2.67517135e-04, 1.76549122e-04];[7.12350129e+02, 6.96073373e-02, 7.16427892e-02, 3.42997801e+02, 3.18931405e-04, 3.25808021e-04];[713., 343.];[[3.51182408e-01, 8.11596629e-12], [6.08334636e-02, 2.04152724e-11], [5.20065706e-02, -6.50542739e-13], [8.11596629e-12, 3.51182408e-01], [2.04152724e-11, 6.08334636e-02], [-6.50542739e-13, 5.20065706e-02]];[[3.52328508e-01, 5.65446480e-11], [6.92884061e-02, 2.07511574e-10], [7.13169814e-02, 2.20576765e-10], [5.65446480e-11, 3.52328508e-01], [2.07511574e-10, 6.92884061e-02], [2.20576765e-10, 7.13169814e-02]];[[2.20588558e+00, 2.75931066e-11], [2.75931066e-11, 2.20588558e+00]];[[2.20978905e+00, 1.92924570e-10], [1.92924570e-10, 2.20978905e+00]];[[0.0131608, 0.05495115, 0.11472054, 0, 0, 0], [0.05495115, 0.22944109, 0.47900009, 0, 0, 0], [0.11472054, 0.47900009, 1., 0, 0, 0], [0, 0, 0, 0.0131608, 0.05495115, 0.11472054], [0, 0, 0, 0.05495115, 0.22944109, 0.47900009], [0, 0, 0, 0.11472054, 0.47900009, 1.]];[[1.22782011e-13, 9.07570051e-05, 1.74623485e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.07570051e-05, 3.53469429e-08, 1.09375871e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.74623485e-08, 1.09375871e-05, 4.56771448e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.22782011e-13, 9.07570051e-05, 1.74623485e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.07570051e-05, 3.53469429e-08, 1.09375871e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.74623485e-08, 1.09375871e-05, 4.56771448e-03]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
[7.13124071e+02, 5.53319782e-01, 1.64806184e-01, 3.43332021e+02, 2.47586258e-01, 8.34962185e-02];[0.53950515, 0.46049485];[7.12664854e+02, 1.83604682e-01, 0.00000000e+00, 3.42996928e+02, 4.37759248e-04, 0.00000000e+00];[7.12709263e+02, 2.85023940e-01, 1.23401784e-01, 3.42997062e+02, 7.09311258e-04, 3.69551283e-04];[7.13079866e+02, 4.44021048e-01, 2.54842447e-02, 3.43308614e+02, 1.95863266e-01, 1.91487914e-02];[7.13175861e+02, 6.81371658e-01, 3.28032556e-01, 3.43359444e+02, 3.08183722e-01, 1.58884180e-01];[714., 344.];[[3.10835981e-01, 2.54708276e-07], [1.95046741e-01, 5.38496205e-07], [1.90872435e-02, -7.05445838e-09], [2.54708276e-07, 3.10730518e-01], [4.27476964e-07, 1.94826517e-01], [-7.05445838e-09, 1.90901644e-02]];[[3.61497263e-01, 2.89579458e-07], [3.07070291e-01, 7.43165174e-07], [1.58537400e-01, 6.88760511e-07], [2.89579458e-07, 3.61319897e-01], [4.44811038e-07, 3.06573126e-01], [7.37613420e-08, 1.58050183e-01]];[[2.35759478e+00, 8.71210635e-07], [8.71210635e-07, 2.35723406e+00]];[[2.41404260e+00, 1.09453410e-06], [1.09453410e-06, 2.41337221e+00]];[[0.002025, 0.01349999, 0.04499999, 0, 0, 0], [0.01349999, 0.08999997, 0.29999995, 0, 0, 0], [0.04499999, 0.29999995, 1., 0, 0, 0], [0, 0, 0, 0.002025, 0.01349999, 0.04499999], [0, 0, 0, 0.01349999, 0.08999997, 0.29999995], [0, 0, 0, 0.04499999, 0.29999995, 1.]];[[1.19496419e-14, 9.41332276e-05, 4.36719936e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.41332276e-05, 8.80030073e-09, 4.36733107e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [4.36719936e-09, 4.36733107e-06, 2.91177287e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.19496419e-14, 9.41332276e-05, 4.36719936e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.41332276e-05, 8.80030073e-09, 4.36733107e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.36719936e-09, 4.36733107e-06, 2.91177287e-03]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
[7.15240527e+02, 1.75069863e+00, 3.81148685e-01, 3.44779357e+02, 1.20444402e+00, 3.08994436e-01];[0.43900011, 0.56099989];[7.14484405e+02, 9.99412092e-01, 0.00000000e+00, 3.43847619e+02, 3.96930050e-01, 0.00000000e+00];[7.14889403e+02, 1.57393151e+00, 4.53052164e-01, 3.44010808e+02, 6.28892046e-01, 1.83428063e-01];[7.15022116e+02, 1.38266689e+00, 4.88549933e-02, 3.44594043e+02, 9.21708752e-01, 7.02414839e-02];[7.15411441e+02, 2.03869508e+00, 6.41178985e-01, 3.44924371e+02, 1.42569329e+00, 4.95826155e-01];[716., 346.];[[3.50682474e-01, 2.88917561e-03], [2.48245877e-01, 3.25898557e-03], [3.24398495e-02, -1.44342973e-04], [2.88917561e-03, 3.44755564e-01], [3.23469254e-03, 2.41535417e-01], [-1.44342973e-04, 3.27359574e-02]];[[0.46417721, 0.00327971], [0.40872114, 0.00544904], [0.16259626, 0.00379448], [0.00327971, 0.45743258], [0.00542953, 0.39753382], [0.00386529, 0.15488966]];[[3.55125783, 0.0156586], [0.0156586, 3.51913549]];[[3.49210335, 0.02110904], [0.02110904, 3.44869322]];[[0.01327104, 0.05529601, 0.11520001, 0, 0, 0], [0.05529601, 0.23040002, 0.48000002, 0, 0, 0], [0.11520001, 0.48000002, 1., 0, 0, 0], [0, 0, 0, 0.01327104, 0.05529601, 0.11520001], [0, 0, 0, 0.05529601, 0.23040002, 0.48000002], [0, 0, 0, 0.11520001, 0.48000002, 1.]];[[1.24062089e-13, 9.07384004e-05, 1.75701880e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.07384004e-05, 3.55661248e-08, 1.09822104e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.75701880e-08, 1.09822104e-05, 4.57679937e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.24062089e-13, 9.07384004e-05, 1.75701880e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.07384004e-05, 3.55661248e-08, 1.09822104e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75701880e-08, 1.09822104e-05, 4.57679937e-03]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
[7.16979561e+02, 1.86762495e+00, 1.75668317e-01, 3.46754891e+02, 1.78895790e+00, 2.31233829e-01];[0.49196263, 0.50803737];[716.76869092, 1.60085419, 0, 346.3084166, 1.35471637, 0.];[7.17130502e+02, 2.09420795e+00, 3.55176565e-01, 3.46661529e+02, 1.84229546e+00, 3.80596668e-01];[7.16894802e+02, 1.68674663e+00, 7.74279470e-03, 3.46660828e+02, 1.58598030e+00, 2.49637229e-02];[7.17061639e+02, 2.04278013e+00, 3.38280534e-01, 3.46845977e+02, 1.98551312e+00, 4.30977375e-01];[717., 347.];[[0.51124226, 0.01135949], [0.33566623, 0.01192886], [0.03597358, -0.00083608], [0.01135949, 0.50577318], [0.01122543, 0.33064325], [-0.00083608, 0.03637611]];[[0.55512841, 0.01058253], [0.43866783, 0.01719271], [0.15744337, 0.01078571], [0.01058253, 0.54902469], [0.01627921, 0.42940771], [0.01024646, 0.15279851]];[[2.92984073, 0.06734052], [0.06734052, 2.89741931]];[[3.21894394, 0.0755353], [0.0755353, 3.17537719]];[[0.01109663, 0.04835132, 0.10534055, 0, 0, 0], [0.04835132, 0.2106811, 0.45900011, 0, 0, 0], [0.10534055, 0.45900011, 1., 0, 0, 0], [0, 0, 0, 0.01109663, 0.04835132, 0.10534055], [0, 0, 0, 0.04835132, 0.2106811, 0.45900011], [0, 0, 0, 0.10534055, 0.45900011, 1.]];[[9.93115323e-14, 9.11297179e-05, 1.53956755e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.11297179e-05, 3.11479377e-08, 1.00632372e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.53956755e-08, 1.00632372e-05, 4.38562157e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.93115323e-14, 9.11297179e-05, 1.53956755e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.11297179e-05, 3.11479377e-08, 1.00632372e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.53956755e-08, 1.00632372e-05, 4.38562157e-03]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
[7.18530170e+02, 2.30088856e+00, 2.22438842e-01, 3.47350832e+02, 1.60234683e+00, 9.34778232e-02];[0.50997983, 0.49002017];[717.86099795, 1.74162767, 0, 347.57905419, 1.64756657, 0.];[7.18153868e+02, 2.14328601e+00, 2.74792916e-01, 3.47912879e+02, 2.12260861e+00, 3.52180489e-01];[7.18443699e+02, 2.11408129e+00, 5.66710764e-02, 3.47292642e+02, 1.46680428e+00, -2.98118112e-02];[7.18620162e+02, 2.49530493e+00, 3.94958712e-01, 3.47411393e+02, 1.74341033e+00, 2.21789329e-01];[719., 347.];[[0.51662288, 0.00990091], [0.33193716, 0.00971149], [0.04924226, -0.00100862], [0.00990091, 0.51409602], [0.00936539, 0.33058992], [-0.00100862, 0.04949967]];[[0.56292216, 0.01096778], [0.43468945, 0.01729232], [0.15255142, 0.00976347], [0.01096778, 0.55951136], [0.01698191, 0.43112755], [0.00998931, 0.15209405]];[[2.96210745, 0.06035671], [0.06035671, 2.94670351]];[[3.27656091, 0.08158348], [0.08158348, 3.25118979]];[[0.02125763, 0.07873198, 0.14579998, 0, 0, 0], [0.07873198, 0.29159996, 0.53999996, 0, 0, 0], [0.14579998, 0.53999996, 1., 0, 0, 0], [0, 0, 0, 0.02125763, 0.07873198, 0.14579998], [0, 0, 0, 0.07873198, 0.29159996, 0.53999996], [0, 0, 0, 0.14579998, 0.53999996, 1.]];[[2.22825805e-13, 8.96271805e-05, 2.48680285e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.96271805e-05, 5.04147778e-08, 1.38169152e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.48680285e-08, 1.38169152e-05, 5.11861984e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22825805e-13, 8.96271805e-05, 2.48680285e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.96271805e-05, 5.04147778e-08, 1.38169152e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.48680285e-08, 1.38169152e-05, 5.11861984e-03]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
[7.19777601e+02, 1.70750388e+00, 1.10045927e-02, 3.49370394e+02, 1.87872958e+00, 1.01455499e-01];[0.53912334, 0.46087666];[719.49705472, 1.5075283, 0, 348.69480964, 1.39542762, 0.];[7.19580533e+02, 1.56975799e+00, -4.52008989e-02, 3.48771485e+02, 1.48357530e+00, 3.51362578e-02];[7.19752652e+02, 1.67718086e+00, 1.24778628e-02, 3.49337820e+02, 1.81402404e+00, 3.34046671e-02];[7.19806786e+02, 1.74297508e+00, 9.28119401e-03, 3.49408497e+02, 1.95442070e+00, 1.81059859e-01];[720, 350.];[[4.92912741e-01, 5.89099156e-03], [3.21368654e-01, 6.14601454e-03], [2.55807937e-02, -2.97180095e-04], [5.89099156e-03, 4.90386597e-01], [6.10857196e-03, 3.18362864e-01], [-2.97180095e-04, 2.57082289e-02]];[[0.51874294, 0.00704722], [0.38359303, 0.01002224], [0.11876363, 0.003797], [0.00704722, 0.51611594], [0.01017591, 0.37978947], [0.0041843, 0.11735181]];[[2.82280726, 0.03263088], [0.03263088, 2.80881466]];[[2.97454889, 0.04332091], [0.04332091, 2.9584001]];[[0.00521283, 0.02743597, 0.07219995, 0, 0, 0], [0.02743597, 0.14439991, 0.37999988, 0, 0, 0], [0.07219995, 0.37999988, 1., 0, 0, 0], [0, 0, 0, 0.00521283, 0.02743597, 0.07219995], [0, 0, 0, 0.02743597, 0.14439991, 0.37999988], [0, 0, 0, 0.07219995, 0.37999988, 1.]];[[3.87923808e-14, 9.26130127e-05, 8.80495793e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.26130127e-05, 1.77784855e-08, 6.95161943e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.80495793e-09, 6.95161943e-06, 3.65918852e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.87923808e-14, 9.26130127e-05, 8.80495793e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.26130127e-05, 1.77784855e-08, 6.95161943e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.80495793e-09, 6.95161943e-06, 3.65918852e-03]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
[7.21917583e+02, 1.84670891e+00, 2.48941029e-02, 3.51061999e+02, 1.68595424e+00, 4.94715102e-03];[0.5420982, 0.4579018];[721.81215983, 1.76896092, 0, 351.10853252, 1.70498257, 0.];[7.21843578e+02, 1.80105425e+00, 2.27492260e-02, 3.51157960e+02, 1.77035742e+00, 3.83938229e-02];[7.21908411e+02, 1.83112201e+00, 8.61875108e-03, 3.51053289e+02, 1.66931283e+00, -5.01461609e-03];[7.21928441e+02, 1.86516185e+00, 4.41620746e-02, 3.51072311e+02, 1.70565559e+00, 1.67406317e-02];[722., 351.];[[5.13897298e-01, 2.57770946e-03], [3.31891825e-01, 1.67255827e-03], [4.57432741e-02, -2.42567816e-04], [2.57770946e-03, 5.13464581e-01], [1.91179985e-03, 3.31963609e-01], [-2.42567816e-04, 4.57839937e-02]];[[5.45604059e-01, 3.04479358e-03], [4.12442964e-01, 2.58054301e-03], [1.37102922e-01, 2.09462606e-04], [3.04479358e-03, 5.45233628e-01], [3.16306579e-03, 4.12740805e-01], [7.37289869e-04, 1.37810179e-01]];[[2.94435224, 0.01559945], [0.01559945, 2.94173358]];[[3.14985556, 0.0210892], [0.0210892, 3.14728984]];[[0.01813884, 0.0698992, 0.13468053, 0, 0, 0], [0.0698992, 0.26936106, 0.51900005, 0, 0, 0], [0.13468053, 0.51900005, 1., 0, 0, 0], [0, 0, 0, 0.01813884, 0.0698992, 0.13468053], [0, 0, 0, 0.0698992, 0.26936106, 0.51900005], [0, 0, 0, 0.13468053, 0.51900005, 1.]];[[1.82951631e-13, 9.00149575e-05, 2.21243012e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.00149575e-05, 4.48287132e-08, 1.27897603e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.21243012e-08, 1.27897603e-05, 4.92972246e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.82951631e-13, 9.00149575e-05, 2.21243012e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.00149575e-05, 4.48287132e-08, 1.27897603e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.21243012e-08, 1.27897603e-05, 4.92972246e-03]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
[7.23685060e+02, 1.70358038e+00, 2.78610403e-02, 3.52440448e+02, 1.27589074e+00, -9.84799372e-02];[0.54885493, 0.45114507];[723.31830526, 1.47554971, 0, 352.98521046, 1.65402755, 0.];[7.23260975e+02, 1.37515012e+00, -9.58754763e-02, 3.52992696e+02, 1.65798200e+00, -2.43699080e-03];[7.23682599e+02, 1.70501336e+00, 3.73016848e-02, 3.52458320e+02, 1.32235024e+00, -5.38627947e-02];[7.23688054e+02, 1.70183704e+00, 1.63757229e-02, 3.52418706e+02, 1.21936896e+00, -1.52760346e-01];[724., 352.];[[5.35166271e-01, 5.34101309e-04], [3.36823242e-01, 1.49187332e-04], [5.46283286e-02, -6.27688138e-05], [5.34101309e-04, 5.35169684e-01], [2.39508352e-04, 3.36822033e-01], [-6.27688138e-05, 5.46279275e-02]];[[5.78615719e-01, 5.36263029e-04], [4.42291828e-01, 1.79161585e-04], [1.51702793e-01, -1.40047673e-04], [5.36263029e-04, 5.78612336e-01], [3.67261097e-04, 4.42113630e-01], [-1.77245033e-05, 1.51416193e-01]];[[3.07899184, 0.00353784], [0.00353784, 3.07901444]];[[3.39647147, 0.00432239], [0.00432239, 3.39644419]];[[0.02829123, 0.09755596, 0.16819996, 0, 0, 0], [0.09755596, 0.33639991, 0.57999992, 0, 0, 0], [0.16819996, 0.57999992, 1., 0, 0, 0], [0, 0, 0, 0.02829123, 0.09755596, 0.16819996], [0, 0, 0, 0.09755596, 0.33639991, 0.57999992], [0, 0, 0, 0.16819996, 0.57999992, 1.]];[[3.17819076e-13, 8.88919626e-05, 3.06913881e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.88919626e-05, 6.22832006e-08, 1.58766381e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [3.06913881e-08, 1.58766381e-05, 5.47623816e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.17819076e-13, 8.88919626e-05, 3.06913881e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.88919626e-05, 6.22832006e-08, 1.58766381e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.06913881e-08, 1.58766381e-05, 5.47623816e-03]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
[7.25299249e+02, 1.44115044e+00, -4.66955870e-02, 3.53258967e+02, 8.10385151e-01, -1.07685721e-01];[0.56094318, 0.43905682];[725.60860996, 1.65898459, 0, 353.57041339, 1.07451351, 0.];[7.25604178e+02, 1.65425716e+00, -4.72390301e-03, 3.53464336e+02, 8.93881357e-01, -1.64021993e-01];[7.25309045e+02, 1.46378874e+00, -1.24808332e-02, 3.53289405e+02, 8.91138961e-01, -1.16876628e-02];[7.25286734e+02, 1.41222753e+00, -9.04086819e-02, 3.53220078e+02, 7.07213316e-01, -2.30333752e-01];[725., 353.];[[4.92137190e-01, 7.97336658e-05], [3.20679999e-01, 4.69915864e-05], [2.05101309e-02, -3.22005844e-06], [7.97336658e-05, 4.92555254e-01], [7.25726773e-05, 3.21399154e-01], [-3.22005844e-06, 2.04932473e-02]];[[5.25326504e-01, 1.15088689e-04], [4.00464550e-01, 1.67861982e-04], [1.41816592e-01, 5.12490263e-06], [1.15088689e-04, 5.25886070e-01], [2.18090439e-04, 4.01727353e-01], [8.19233951e-05, 1.42703414e-01]];[[2.81811815e+00, 4.42804646e-04], [4.42804646e-04, 2.82043989e+00]];[[3.01516193e+00, 7.31914865e-04], [7.31914865e-04, 3.01872053e+00]];[[0.00334084, 0.01965199, 0.05779997, 0, 0, 0], [0.01965199, 0.11559994, 0.33999991, 0, 0, 0], [0.05779997, 0.33999991, 1., 0, 0, 0], [0, 0, 0, 0.00334084, 0.01965199, 0.05779997], [0, 0, 0, 0.01965199, 0.11559994, 0.33999991], [0, 0, 0, 0.05779997, 0.33999991, 1.]];[[2.22937330e-14, 9.33708253e-05, 6.33204898e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.33708253e-05, 1.27724768e-08, 5.58731874e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.33204898e-09, 5.58731874e-06, 3.28697552e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22937330e-14, 9.33708253e-05, 6.33204898e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.33708253e-05, 1.27724768e-08, 5.58731874e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.33204898e-09, 5.58731874e-06, 3.28697552e-03]];[[1.43121737, 0], [0, 1.43121737]];[[1.43121737, 0], [0, 1.43121737]]
