state_data;mode_probabilities;xprior0;xprior1;xpost0;xpost1;z;K0;K1;R0;R1;Q0;Q1;S0;S1
[894., 0, 0, -3., 0, 0.];[0.8, 0.2];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[[0.], [0.], [0.], [0.], [0.], [0.]];[894., 0, 0, -3., 0, 0.];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0.], [0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.], [0, 0, 0, 0, 0, 0.]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[8.94000000e+02, 7.54205251e-18, 7.54105093e-18, -2.88318239e+00, 6.63361823e-05, 6.63317773e-05];[0.70999038, 0.29000962];[894., 0, 0, -3., 0, 0.];[894., 0, 0, -3., 0, 0.];[8.94000000e+02, 1.06213398e-17, 1.06213398e-17, -2.88317042e+00, 9.34262925e-05, 9.34262925e-05];[8.94000000e+02, 3.46002217e-21, 6.41056084e-24, -2.88321168e+00, 1.52173384e-08, 2.81939447e-11];[894., -2.];[[1.16829579e-01, -8.33151601e-33], [9.34262925e-05, 8.81350454e-37], [9.34262925e-05, 8.81350454e-37], [-8.33151601e-33, 1.16829579e-01], [8.81350454e-37, 9.34262925e-05], [8.81350454e-37, 9.34262925e-05]];[[1.16788321e-01, -1.66645889e-32], [1.52173384e-08, 2.87123342e-40], [2.81939447e-11, 5.31968168e-43], [-1.66645889e-32, 1.16788321e-01], [2.87123342e-40, 1.52173384e-08], [5.31968168e-43, 2.81939447e-11]];[[5.35181250e+03, -5.04870979e-29], [-5.04870979e-29, 5.35181250e+03]];[[5.35156250e+03, -1.00974196e-28], [-1.00974196e-28, 5.35156250e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[4726.5625, 0], [  0, 4726.5625]];[[4726.5625, 0], [  0, 4726.5625]]
[8.94000000e+02, 5.28764951e-17, 1.64696622e-17, -2.68558312e+00, 6.61101487e-04, 1.97048852e-04];[0.64694577, 0.35305423];[8.94000000e+02, 9.90743266e-18, 0.00000000e+00, -2.88308422e+00, 8.71456761e-05, 0.00000000e+00];[8.94000000e+02, 6.31693831e-18, 2.89333800e-18, -2.88315624e+00, 5.55537314e-05, 2.54500525e-05];[8.94000000e+02, 5.07329089e-17, 1.12209352e-17, -2.68543654e+00, 7.63370047e-04, 1.85861147e-04];[8.94000000e+02, 5.68044582e-17, 2.60875663e-17, -2.68585171e+00, 4.73701913e-04, 2.17549494e-04];[894., -1.];[[1.04959554e-01, 1.65125491e-22], [3.59104688e-04, -4.90221102e-26], [9.87003902e-05, -1.82091775e-26], [1.65125491e-22, 1.04959554e-01], [1.26065014e-22, 3.59104688e-04], [-1.82091775e-26, 9.87003902e-05]];[[1.04773319e-01, 7.46165209e-22], [2.22046461e-04, -3.16699051e-26], [1.02009295e-04, -1.47220661e-26], [7.46165209e-22, 1.04773319e-01], [8.35037136e-22, 2.22046462e-04], [3.82648267e-22, 1.02009295e-04]];[[5.28083677e+03, 9.74258501e-19], [9.74258501e-19, 5.28083677e+03]];[[5.27973820e+03, 4.40062505e-18], [4.40062505e-18, 5.27973820e+03]];[[0.27167097, 0.53216636, 0.52122065, 0, 0, 0], [0.53216636, 1.0424413, 1.02100015, 0, 0, 0], [0.52122065, 1.02100015, 1., 0, 0, 0], [0, 0, 0, 0.27167097, 0.53216636, 0.52122065], [0, 0, 0, 0.53216636, 1.0424413, 1.02100015], [0, 0, 0, 0.52122065, 1.02100015, 1.]];[[5.24400797e-12, 8.10761827e-05, 1.60254802e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.10761827e-05, 3.28859085e-07, 4.71039557e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.60254802e-07, 4.71039557e-05, 9.23503645e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.24400797e-12, 8.10761827e-05, 1.60254802e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.10761827e-05, 3.28859085e-07, 4.71039557e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60254802e-07, 4.71039557e-05, 9.23503645e-03]];[[4726.5625, 0], [  0, 4726.5625]];[[4726.5625, 0], [  0, 4726.5625]]
[8.93485330e+02, -4.70191203e-03, -5.21339326e-04, -1.60150531e+00, 9.46194434e-03, 9.67373580e-04];[0.57187638, 0.42812362];[8.93660116e+02, -2.74672938e-03, 0.00000000e+00, -1.43220084e+00, 1.08596512e-02, 0.00000000e+00];[8.93660396e+02, -2.98375576e-03, -7.07160011e-04, -1.43339305e+00, 1.17734258e-02, 2.75214808e-03];[8.93485172e+02, -4.52584351e-03, -1.50167634e-05, -1.60107313e+00, 9.14227950e-03, -1.44956216e-05];[8.93485542e+02, -4.93709977e-03, -1.19767181e-03, -1.60208260e+00, 9.88894430e-03, 2.27892887e-03];[891., -4.];[[6.57653791e-02, -1.40440883e-11], [6.68810772e-04, 3.31406381e-12], [5.64515395e-06, 8.48620237e-17], [-1.40440883e-11, 6.57653791e-02], [2.94183001e-12, 6.68810763e-04], [8.48620237e-17, 5.64515395e-06]];[[6.57247315e-02, -2.35330308e-11], [7.34230672e-04, 1.25901873e-11], [1.84375490e-04, 2.83444651e-11], [-2.35330308e-11, 6.57247316e-02], [1.16658540e-11, 7.34230632e-04], [2.72122719e-11, 1.84375382e-04]];[[5.05928853e+03, -7.60548723e-08], [-7.60548723e-08, 5.05928853e+03]];[[5.05906841e+03, -1.27430552e-07], [-1.27430552e-07, 5.05906841e+03]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[4726.5625, 0], [  0, 4726.5625]];[[4726.5625, 0], [  0, 4726.5625]]
[8.93485330e+02, -4.70191203e-03, -5.21339326e-04, -1.60150531e+00, 9.46194434e-03, 9.67373580e-04];[0.57187638, 0.42812362];[8.93660116e+02, -2.74672938e-03, 0.00000000e+00, -1.43220084e+00, 1.08596512e-02, 0.00000000e+00];[8.93660396e+02, -2.98375576e-03, -7.07160011e-04, -1.43339305e+00, 1.17734258e-02, 2.75214808e-03];[8.93485172e+02, -4.52584351e-03, -1.50167634e-05, -1.60107313e+00, 9.14227950e-03, -1.44956216e-05];[8.93485542e+02, -4.93709977e-03, -1.19767181e-03, -1.60208260e+00, 9.88894430e-03, 2.27892887e-03];[891., -4.];[[6.57653791e-02, -1.40440883e-11], [6.68810772e-04, 3.31406381e-12], [5.64515395e-06, 8.48620237e-17], [-1.40440883e-11, 6.57653791e-02], [2.94183001e-12, 6.68810763e-04], [8.48620237e-17, 5.64515395e-06]];[[6.57247315e-02, -2.35330308e-11], [7.34230672e-04, 1.25901873e-11], [1.84375490e-04, 2.83444651e-11], [-2.35330308e-11, 6.57247316e-02], [1.16658540e-11, 7.34230632e-04], [2.72122719e-11, 1.84375382e-04]];[[5.05928853e+03, -7.60548723e-08], [-7.60548723e-08, 5.05928853e+03]];[[5.05906841e+03, -1.27430552e-07], [-1.27430552e-07, 5.05906841e+03]];[[8.15700025e-04, 6.82594610e-03, 2.85604626e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.82594610e-03, 5.71209252e-02, 2.38999844e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.85604626e-02, 2.38999844e-01, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.15700025e-04, 6.82594610e-03, 2.85604626e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82594610e-03, 5.71209252e-02, 2.38999844e-01], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85604626e-02, 2.38999844e-01, 1.00000000e+00]];[[3.84771201e-15, 9.53047852e-05, 2.22164351e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.53047852e-05, 4.46996280e-09, 2.78872878e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [2.22164351e-09, 2.78872878e-06, 2.33377686e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84771201e-15, 9.53047852e-05, 2.22164351e-09], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.53047852e-05, 4.46996280e-09, 2.78872878e-06], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22164351e-09, 2.78872878e-06, 2.33377686e-03]];[[4726.5625, 0], [  0, 4726.5625]];[[4726.5625, 0], [  0, 4726.5625]]
[8.92955818e+02, -2.59133586e-02, -3.52113800e-03, -1.64599629e+00, 8.33786635e-03, 3.14934440e-04];[0.5511168, 0.4488832];[8.93477165e+02, -4.57383484e-03, 0.00000000e+00, -1.58494716e+00, 9.22941116e-03, 0.00000000e+00];[8.93475499e+02, -6.42739617e-03, -8.15195800e-04, -1.58204436e+00, 1.27182632e-02, 1.54426388e-03];[8.92960775e+02, -2.19605347e-02, -2.39576738e-03, -1.64658624e+00, 7.15404285e-03, -2.85971450e-04];[8.92949731e+02, -3.07664421e-02, -4.90281288e-03, -1.64527199e+00, 9.79130683e-03, 1.05269724e-03];[890, -2.];[[1.48508984e-01, -1.24505944e-11], [5.00025093e-03, -1.39212820e-12], [6.89000109e-04, 1.00746346e-14], [-1.24505944e-11, 1.48508984e-01], [-8.69881572e-12, 5.00025094e-03], [1.00746346e-14, 6.89000109e-04]];[[1.51278320e-01, -5.34477513e-10], [7.00303634e-03, -7.30102510e-10], [1.17612381e-03, -3.10542447e-10], [-5.34477513e-10, 1.51278321e-01], [-7.89605974e-10, 7.00303773e-03], [-3.39396590e-10, 1.17612440e-03]];[[2.24789512e+03, -3.28689672e-08], [-3.28689672e-08, 2.24789512e+03]];[[2.25522989e+03, -1.42021783e-06], [-1.42021783e-06, 2.25522989e+03]];[[2.39878139, 2.72588796, 1.54879998, 0, 0, 0], [2.72588796, 3.09759997, 1.75999999, 0, 0, 0], [1.54879998, 1.75999999, 1., 0, 0, 0], [0, 0, 0, 2.39878139, 2.72588796, 1.54879998], [0, 0, 0, 2.72588796, 3.09759997, 1.75999999], [0, 0, 0, 1.54879998, 1.75999999, 1.]];[[7.66754364e-11, 6.91128062e-05, 7.63173933e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [6.91128062e-05, 1.59590566e-06, 1.30220775e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [7.63173933e-07, 1.30220775e-04, 1.48359938e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.66754364e-11, 6.91128062e-05, 7.63173933e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.91128062e-05, 1.59590566e-06, 1.30220775e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.63173933e-07, 1.30220775e-04, 1.48359938e-02]];[[1914.0625, 0], [  0, 1914.0625]];[[1914.0625, 0], [  0, 1914.0625]]
[8.91607333e+02, -1.11945867e-01, -9.62505424e-03, -7.50136950e-01, 6.51725926e-02, 5.55721245e-03];[0.53922512, 0.46077488];[8.92936781e+02, -2.30671860e-02, 0.00000000e+00, -1.63908531e+00, 7.48547169e-03, 0.00000000e+00];[8.92921012e+02, -3.33583566e-02, -4.04035456e-03, -1.63599223e+00, 1.00818314e-02, 7.38291873e-04];[8.91629070e+02, -9.31834608e-02, -2.01996750e-03, -7.62440109e-01, 5.44890261e-02, 1.35411804e-03];[8.91581894e+02, -1.33902707e-01, -1.85249616e-02, -7.35739089e-01, 7.76751130e-02, 1.04759139e-02];[889., 1.];[[3.32177685e-01, -6.59129658e-09], [1.78105553e-02, -4.35573258e-09], [5.13101261e-04, 5.06422518e-12], [-6.59129658e-09, 3.32177657e-01], [-6.44482743e-09, 1.78105379e-02], [5.06422518e-12, 5.13101282e-04]];[[3.41523457e-01, -1.37741644e-08], [2.56424410e-02, -1.19203234e-08], [3.69409725e-03, -2.79689506e-09], [-1.37741644e-08, 3.41523423e-01], [-1.67894852e-08, 2.56424184e-02], [-5.16282068e-09, 3.69409350e-03]];[[9.35877682e+02, -9.23695865e-06], [-9.23695865e-06, 9.35877643e+02]];[[9.49160614e+02, -1.98547599e-05], [-1.98547599e-05, 9.49160565e+02]];[[0.23059206, 0.47059603, 0.48020002, 0, 0, 0], [0.47059603, 0.96040004, 0.98000002, 0, 0, 0], [0.48020002, 0.98000002, 1., 0, 0, 0], [0, 0, 0, 0.23059206, 0.47059603, 0.48020002], [0, 0, 0, 0.47059603, 0.96040004, 0.98000002], [0, 0, 0, 0.48020002, 0.98000002, 1.]];[[4.28191846e-12, 8.17808114e-05, 1.42290101e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.17808114e-05, 2.91690185e-07, 4.35721375e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.42290101e-07, 4.35721375e-05, 8.89938842e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28191846e-12, 8.17808114e-05, 1.42290101e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.17808114e-05, 2.91690185e-07, 4.35721375e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42290101e-07, 4.35721375e-05, 8.89938842e-03]];[[625., 0.], [  0, 625.]];[[625., 0.], [  0, 625.]]
[8.91462643e+02, -1.21786952e-01, -6.91259404e-03, -5.23248855e-01, 8.47513762e-02, 5.02953787e-03];[0.52844075, 0.47155925];[8.91524370e+02, -9.85191712e-02, 0.00000000e+00, -7.01414048e-01, 5.75272514e-02, 0.00000000e+00];[8.91455442e+02, -1.41873288e-01, -1.42058098e-02, -6.62290667e-01, 8.21897421e-02, 8.06622884e-03];[8.91494072e+02, -1.01002708e-01, -6.32412534e-05, -5.45332723e-01, 7.03208327e-02, 3.25802589e-04];[8.91427422e+02, -1.45078281e-01, -1.45881451e-02, -4.98501137e-01, 1.00922594e-01, 1.03006579e-02];[891., 2.];[[5.77777623e-02, -1.17205563e-07], [4.73594219e-03, -5.68526423e-08], [1.20604446e-04, 1.50023121e-11], [-1.17205563e-07, 5.77776160e-02], [-5.74033080e-08, 4.73587203e-03], [1.50023121e-11, 1.20604465e-04]];[[6.15222145e-02, -1.74613574e-07], [7.03647715e-03, -1.07668713e-07], [8.39317319e-04, -2.82303889e-08], [-1.74613574e-07, 6.15220016e-02], [-1.08378045e-07, 7.03634745e-03], [-2.79476764e-08, 8.39283379e-04]];[[4.14578413e+03, -5.15705181e-04], [-5.15705181e-04, 4.14578349e+03]];[[4.16232548e+03, -7.74443864e-04], [-7.74443864e-04, 4.16232454e+03]];[[0.25, 0.5, 0.5, 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0.5, 1., 1., 0, 0, 0], [0, 0, 0, 0.25, 0.5, 0.5], [0, 0, 0, 0.5, 1., 1.], [0, 0, 0, 0.5, 1., 1.]];[[4.73187150e-12, 8.14365377e-05, 1.50881657e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [8.14365377e-05, 3.09459533e-07, 4.52795850e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.50881657e-07, 4.52795850e-05, 9.06346235e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.73187150e-12, 8.14365377e-05, 1.50881657e-07], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14365377e-05, 3.09459533e-07, 4.52795850e-05], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50881657e-07, 4.52795850e-05, 9.06346235e-03]];[[3906.25, 0], [  0, 3906.25]];[[3906.25, 0], [  0, 3906.25]]
[8.90485623e+02, -2.32572545e-01, -9.52708949e-03, 1.06138080e+00, 2.74240627e-01, 1.22036352e-02];[0.5200329, 0.4799671];[8.91134117e+02, -1.38137697e-01, 0.00000000e+00, 2.91502353e-01, 1.61272912e-01, 0.00000000e+00];[8.91070668e+02, -1.74625942e-01, -1.20383461e-02, 3.73237038e-01, 2.07196690e-01, 1.62009194e-02];[8.90524814e+02, -2.06171125e-01, -4.66669129e-07, 1.01246545e+00, 2.41772208e-01, 5.52195090e-07];[8.90443161e+02, -2.61177853e-01, -1.98489578e-02, 1.11437942e+00, 3.09419383e-01, 2.54253841e-02];[888., 4.];[[1.94407424e-01, -1.91558521e-06], [2.17060376e-02, -1.12230740e-06], [1.48900124e-07, 3.54063437e-13], [-1.91558521e-06, 1.94406782e-01], [-1.10759276e-06, 2.17057775e-02], [3.54063437e-13, 1.48900243e-07]];[[2.04352625e-01, -2.29067071e-06], [2.81849340e-02, -1.46955518e-06], [2.54322605e-03, -3.33162160e-07], [-2.29067071e-06, 2.04351747e-01], [-1.45120116e-06, 2.81844272e-02], [-3.29219403e-07, 2.54316423e-03]];[[1.21222877e+03, -2.88250628e-03], [-2.88250628e-03, 1.21222781e+03]];[[1.22738104e+03, -3.53362907e-03], [-3.53362907e-03, 1.22737968e+03]];[[3.25806163e-08, 3.42952892e-06, 1.80501015e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [3.42952892e-06, 3.61002029e-04, 1.90000534e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.80501015e-04, 1.90000534e-02, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.25806163e-08, 3.42952892e-06, 1.80501015e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.42952892e-06, 3.61002029e-04, 1.90000534e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.80501015e-04, 1.90000534e-02, 1.00000000e+00]];[[1.21127067e-20, 9.96205400e-05, 1.14100651e-12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.96205400e-05, 2.28309750e-12, 1.80158442e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.14100651e-12, 1.80158442e-08, 1.89639989e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.21127067e-20, 9.96205400e-05, 1.14100651e-12], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.96205400e-05, 2.28309750e-12, 1.80158442e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14100651e-12, 1.80158442e-08, 1.89639989e-04]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
[8.90485623e+02, -2.32572545e-01, -9.52708949e-03, 1.06138080e+00, 2.74240627e-01, 1.22036352e-02];[0.5200329, 0.4799671];[8.91134117e+02, -1.38137697e-01, 0.00000000e+00, 2.91502353e-01, 1.61272912e-01, 0.00000000e+00];[8.91070668e+02, -1.74625942e-01, -1.20383461e-02, 3.73237038e-01, 2.07196690e-01, 1.62009194e-02];[8.90524814e+02, -2.06171125e-01, -4.66669129e-07, 1.01246545e+00, 2.41772208e-01, 5.52195090e-07];[8.90443161e+02, -2.61177853e-01, -1.98489578e-02, 1.11437942e+00, 3.09419383e-01, 2.54253841e-02];[888., 4.];[[1.94407424e-01, -1.91558521e-06], [2.17060376e-02, -1.12230740e-06], [1.48900124e-07, 3.54063437e-13], [-1.91558521e-06, 1.94406782e-01], [-1.10759276e-06, 2.17057775e-02], [3.54063437e-13, 1.48900243e-07]];[[2.04352625e-01, -2.29067071e-06], [2.81849340e-02, -1.46955518e-06], [2.54322605e-03, -3.33162160e-07], [-2.29067071e-06, 2.04351747e-01], [-1.45120116e-06, 2.81844272e-02], [-3.29219403e-07, 2.54316423e-03]];[[1.21222877e+03, -2.88250628e-03], [-2.88250628e-03, 1.21222781e+03]];[[1.22738104e+03, -3.53362907e-03], [-3.53362907e-03, 1.22737968e+03]];[[3.25806163e-08, 3.42952892e-06, 1.80501015e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [3.42952892e-06, 3.61002029e-04, 1.90000534e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.80501015e-04, 1.90000534e-02, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.25806163e-08, 3.42952892e-06, 1.80501015e-04], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.42952892e-06, 3.61002029e-04, 1.90000534e-02], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.80501015e-04, 1.90000534e-02, 1.00000000e+00]];[[1.21127067e-20, 9.96205400e-05, 1.14100651e-12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [9.96205400e-05, 2.28309750e-12, 1.80158442e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [1.14100651e-12, 1.80158442e-08, 1.89639989e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.21127067e-20, 9.96205400e-05, 1.14100651e-12], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.96205400e-05, 2.28309750e-12, 1.80158442e-08], [0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14100651e-12, 1.80158442e-08, 1.89639989e-04]];[[976.5625, 0], [  0, 976.5625]];[[976.5625, 0], [  0, 976.5625]]
