measurement_data;state_data;mode_probabilities;state_errors
[0.005, 0.1, 1., 0.005, 0.1, 1.];[0.00533904, 0.09167247, 0.08694382, 0.00533904, 0.09167247, 0.08694382];[0.08695088, 0.91304912];[3.39035716e-04, 8.32752853e-03, 9.13056177e-01, 3.39035716e-04, 8.32752853e-03, 9.13056177e-01]
[0.02, 0.2, 1., 0.02, 0.2, 1.];[0.02005362, 0.14456334, 0.02997872, 0.02005362, 0.14456334, 0.02997872];[0.02997968, 0.97002032];[5.36238564e-05, 5.54366647e-02, 9.70021283e-01, 5.36238564e-05, 5.54366647e-02, 9.70021283e-01]
[0.045, 0.3, 1., 0.045, 0.3, 1.];[0.04317357, 0.1947166, 0.00795103, 0.04317357, 0.1947166, 0.00795103];[0.00794541, 0.99205459];[0.00182643, 0.1052834, 0.99204897, 0.00182643, 0.1052834, 0.99204897]
[0.08, 0.4, 1., 0.08, 0.4, 1.];[0.07466403, 0.24563771, 0.0044607, 0.07466403, 0.24563771, 0.0044607];[0.00445119, 0.99554881];[0.00533597, 0.15436229, 0.9955393, 0.00533597, 0.15436229, 0.9955393]
[0.125, 0.5, 1., 0.125, 0.5, 1.];[0.11457112, 0.29741919, 0.00538427, 0.11457112, 0.29741919, 0.00538427];[0.00536331, 0.99463669];[0.01042888, 0.20258081, 0.99461573, 0.01042888, 0.20258081, 0.99461573]
[0.18, 0.6, 1., 0.18, 0.6, 1.];[0.16295022, 0.35011623, 0.00762929, 0.16295022, 0.35011623, 0.00762929];[0.00758737, 0.99241263];[0.01704978, 0.24988377, 0.99237071, 0.01704978, 0.24988377, 0.99237071]
[0.245, 0.7, 1., 0.245, 0.7, 1.];[0.21989276, 0.40409087, 0.01116783, 0.21989276, 0.40409087, 0.01116783];[0.01109524, 0.98890476];[0.02510724, 0.29590913, 0.98883217, 0.02510724, 0.29590913, 0.98883217]
[0.32, 0.8, 1., 0.32, 0.8, 1.];[0.28557693, 0.46019148, 0.01726631, 0.28557693, 0.46019148, 0.01726631];[0.01715398, 0.98284602];[0.03442307, 0.33980852, 0.98273369, 0.03442307, 0.33980852, 0.98273369]
[0.405, 0.9, 1., 0.405, 0.9, 1.];[0.36037132, 0.5202591, 0.02856741, 0.36037132, 0.5202591, 0.02856741];[0.02841311, 0.97158689];[0.04462868, 0.3797409, 0.97143259, 0.04462868, 0.3797409, 0.97143259]
[0.5, 1., 1., 0.5, 1., 1.];[0.44513001, 0.58854024, 0.05116238, 0.44513001, 0.58854024, 0.05116238];[0.05096889, 0.94903111];[0.05486999, 0.41145976, 0.94883762, 0.05486999, 0.41145976, 0.94883762]
