measurement_data;state_data;mode_probabilities;state_errors
[0.7079923, 0.18802085, 1.0074325, 0.47034874, 0.14758895, 1.00909194];[0.73555137, 0.17862399, 1.00072209, 0.35256236, 0.15339308, 1.00089322];[0.05044992, 0.94955008];[0.02755907, 0.00939686, 0.00671041, 0.11778638, 0.00580413, 0.00819872]
[0.66480327, 0.2201023, 1.00793933, 0.06767557, 0.24790511, 1.00569675];[0.72495922, 0.25634775, 1.00047774, 0.26996598, 0.24194411, 1.00048714];[0.00590253, 0.99409747];[0.06015595, 0.03624545, 0.00746159, 0.20229041, 0.005961, 0.00520961]
[0.41968915, 0.32327955, 1.00723699, 0.16336136, 0.31812337, 1.00397981];[0.66851672, 0.33593176, 1.00046921, 0.26356792, 0.3313392, 1.00046414];[0.0031403, 0.9968597];[0.24882757, 0.01265221, 0.00676778, 0.10020656, 0.01321583, 0.00351567]
[0.77065948, 0.43043173, 1.0010449, 0.82889794, 0.47099894, 1.00410074];[0.72010252, 0.43738826, 1.00046062, 0.41286408, 0.46054573, 1.00047377];[0.00297543, 0.99702457];[0.05055696, 0.00695653, 0.00058428, 0.41603386, 0.01045321, 0.00362697]
[0.37217618, 0.58408005, 1.00941494, 0.14381234, 0.51219093, 1.00480381];[0.70060983, 0.53009167, 1.00048538, 0.40531542, 0.5395929, 1.00046093];[0.00296588, 0.99703412];[0.32843365, 0.05398838, 0.00892956, 0.26150308, 0.02740197, 0.00434288]
[0.56643783, 0.64283728, 1.00989452, 0.82116219, 0.63755021, 1.00733145];[0.72930295, 0.62478888, 1.00048125, 0.51962909, 0.6551806, 1.00047336];[0.00296548, 0.99703452];[0.16286512, 0.0180484, 0.00941327, 0.3015331, 0.01763039, 0.00685809]
[1.2217677, 0.74974227, 1.00598123, 0.74580879, 0.77434734, 1.00743884];[0.85724793, 0.74706691, 1.00047573, 0.61272565, 0.76506724, 1.00047741];[0.00296563, 0.99703437];[0.36451977, 0.00267536, 0.0055055, 0.13308314, 0.0092801, 0.00696143]
[1.22726418, 0.85383448, 1.00017407, 1.16383637, 0.86796412, 1.00164084];[0.97443438, 0.86060422, 1.00046111, 0.75450858, 0.88592482, 1.00046336];[0.00296581, 0.99703419];[2.52829800e-01, 6.76973855e-03, 2.87042375e-04, 4.09327789e-01, 1.79606961e-02, 1.17747513e-03]
[1.18053486, 0.90443239, 1.00189003, 1.1650821, 0.96704372, 1.00756087];[1.07672802, 0.95914679, 1.00045309, 0.88503754, 0.99780217, 1.00047086];[0.00296587, 0.99703413];[0.10380684, 0.0547144, 0.00143694, 0.28004456, 0.03075845, 0.00709001]
[1.1279429, 1.06510336, 1.00954096, 0.83925575, 1.08911101, 1.00818984];[1.17233191, 1.05845264, 1.00047889, 0.97254238, 1.0909882, 1.00047394];[0.00296593, 0.99703407];[0.04438901, 0.00665072, 0.00906207, 0.13328663, 0.00187719, 0.0077159]
[0.68617261, 1.15438449, 1.00215545, 0.62466487, 1.14002533, 1.00955938];[1.21931849, 1.13154928, 1.00046301, 1.03509042, 1.16511791, 1.00046906];[0.00296594, 0.99703406];[0.53314588, 0.02283521, 0.00169244, 0.41042555, 0.02509258, 0.00909032]
[1.48375936, 1.29120125, 1.0072578, 1.08467224, 1.25543312, 1.00159169];[1.35510805, 1.24485915, 1.0004843, 1.14881281, 1.2615473, 1.00046079];[0.00296604, 0.99703396];[0.12865131, 0.0463421, 0.0067735, 0.06414057, 0.00611418, 0.0011309]
[1.74137253, 1.32266114, 1.00661777, 1.2296552, 1.305425, 1.00170395];[1.50893433, 1.35483514, 1.0004687, 1.27247377, 1.35434079, 1.00045247];[0.00296621, 0.99703379];[0.2324382, 0.032174, 0.00614907, 0.04281857, 0.04891579, 0.00125148]
[1.75734457, 1.40842019, 1.00253848, 1.17136808, 1.47594424, 1.00211777];[1.65765824, 1.45550004, 1.000456, 1.39074717, 1.44572037, 1.00046717];[0.00296617, 0.99703383];[0.09968633, 0.04707985, 0.00208248, 0.21937909, 0.03022387, 0.0016506]
[1.60161409, 1.5279078, 1.00780555, 1.1698868, 1.58055138, 1.00611579];[1.78765725, 1.54426721, 1.00046944, 1.50729092, 1.5328898, 1.00047766];[0.00296614, 0.99703386];[0.18604316, 0.01635941, 0.00733611, 0.33740412, 0.04766158, 0.00563813]
[1.66408439, 1.65276665, 1.00781069, 1.95099171, 1.68014506, 1.00285528];[1.92158199, 1.63289946, 1.00047625, 1.69383469, 1.65087784, 1.00047383];[0.00296611, 0.99703389];[0.2574976, 0.01986719, 0.00733444, 0.25715702, 0.02926722, 0.00238145]
[2.33037775, 1.72661573, 1.00170474, 1.97678049, 1.79871286, 1.00637889];[2.11120095, 1.74343194, 1.00046179, 1.87624156, 1.76046432, 1.00048077];[0.00296624, 0.99703376];[0.2191768, 0.01681621, 0.00124295, 0.10053893, 0.03824854, 0.00589812]
[1.78475674, 1.83006482, 1.00437364, 1.67633302, 1.84852334, 1.00429084];[2.24515046, 1.81960379, 1.00046535, 2.0230125, 1.84244927, 1.0004658];[0.00296625, 0.99703375];[0.46039372, 0.01046103, 0.00390829, 0.34667948, 0.00607407, 0.00382504]
[2.76944947, 1.99830576, 1.00235131, 2.24961223, 1.99002277, 1.00996367];[2.46519848, 1.94208005, 1.00047843, 2.21769382, 1.94852445, 1.00048761];[0.00296624, 0.99703376];[0.30425099, 0.05622571, 0.00187288, 0.03191841, 0.04149832, 0.00947606]
[2.2323173, 2.06117522, 1.00442503, 2.11902489, 2.09703701, 1.00525392];[2.62789125, 2.02440581, 1.0004717, 2.39393124, 2.0394903, 1.00047889];[0.00296624, 0.99703376];[0.39557395, 0.03676941, 0.00395333, 0.27490635, 0.05754671, 0.00477503]
[3.13358584, 2.13124113, 1.00920728, 2.34504887, 2.11990986, 1.00886656];[2.86122339, 2.13945971, 1.00047882, 2.57987316, 2.12687036, 1.00047335];[0.00296623, 0.99703377];[0.27236245, 0.00821858, 0.00872846, 0.23482429, 0.0069605, 0.00839321]
[3.23175931, 2.27782787, 1.0092772, 3.17045562, 2.20235065, 1.00526843];[3.09482812, 2.25050076, 1.00048485, 2.82818217, 2.24268231, 1.00046539];[0.00296625, 0.99703375];[0.13693119, 0.02732711, 0.00879235, 0.34227345, 0.04033166, 0.00480304]
[3.12898238, 2.30202547, 1.00631614, 2.76388533, 2.35459925, 1.00276514];[3.30608878, 2.33801885, 1.00046316, 3.03316187, 2.33083466, 1.00046693];[0.00296628, 0.99703372];[0.1771064, 0.03599338, 0.00585298, 0.26927654, 0.02376459, 0.00229821]
[3.57403206, 2.42783279, 1.00633984, 3.42252801, 2.46128257, 1.00714362];[3.54687664, 2.43907538, 1.00046988, 3.2853694, 2.44089889, 1.00047901];[0.00296626, 0.99703374];[0.02715542, 0.01124259, 0.00586996, 0.13715861, 0.02038368, 0.00666461]
[3.332059, 2.56310485, 1.00625761, 3.56790639, 2.54226546, 1.00257073];[3.75803542, 2.52042298, 1.00047605, 3.53732398, 2.54311622, 1.0004649];[0.00296628, 0.99703372];[0.42597642, 0.04268187, 0.00578156, 0.03058241, 0.00085076, 0.00210583]
[4.33173153, 2.62354346, 1.00764144, 4.17631015, 2.65215579, 1.0044611];[4.04164993, 2.63588697, 1.00047515, 3.82873895, 2.66196034, 1.00046982];[0.00296627, 0.99703373];[0.2900816, 0.01234351, 0.00716629, 0.3475712, 0.00980455, 0.00399128]
[4.22889995, 2.78698893, 1.00226321, 4.21414724, 2.72208471, 1.00848803];[4.30581259, 2.73661455, 1.00047336, 4.10761067, 2.76408856, 1.00046876];[0.00296622, 0.99703378];[0.07691264, 0.05037438, 0.00178985, 0.10653657, 0.04200385, 0.00801927]
[4.60114525, 2.8124684, 1.00768605, 4.20154075, 2.85320878, 1.00846419];[4.58475087, 2.83608008, 1.00047013, 4.37296332, 2.855296, 1.00047397];[0.00296628, 0.99703372];[0.01639438, 0.02361168, 0.00721592, 0.17142257, 0.00208722, 0.00799022]
[4.43597713, 2.94632872, 1.00377511, 5.04321345, 2.9954117, 1.00574178];[4.83761403, 2.9172237, 1.00046866, 4.69677223, 2.97636598, 1.00047821];[0.0029663, 0.9970337];[0.4016369, 0.02910502, 0.00330645, 0.34644122, 0.01904572, 0.00526357]
[4.51097994, 3.02775916, 1.00981671, 4.66731008, 3.05584406, 1.0025457];[5.08330269, 2.99041208, 1.0004805, 4.97102196, 3.06034245, 1.00046075];[0.00296631, 0.99703369];[0.57232275, 0.03734708, 0.00933621, 0.30371188, 0.00449839, 0.00208495]
[5.31579062, 3.17192303, 1.00048, 5.34174169, 3.18558467, 1.00857618];[5.38517733, 3.09389418, 1.00047557, 5.28813864, 3.16520681, 1.00048075];[0.0029663, 0.9970337];[6.93867094e-02, 7.80288534e-02, 4.43343803e-06, 5.36030506e-02, 2.03778576e-02, 8.09543330e-03]
[5.72381726, 3.28340667, 1.00808007, 5.16130881, 3.27590594, 1.00090995];[5.7056701, 3.20311395, 1.00049186, 5.57320348, 3.24626338, 1.00046331];[0.00296618, 0.99703382];[0.01814716, 0.08029272, 0.00758821, 0.41189467, 0.02964256, 0.00044664]
[6.37130391, 3.33884774, 1.00276614, 6.07647964, 3.32670452, 1.00588755];[6.06063363, 3.32191458, 1.00047189, 5.91622663, 3.35287458, 1.0004673];[0.00296628, 0.99703372];[0.31067028, 0.01693316, 0.00229425, 0.16025301, 0.02617006, 0.00542025]
[6.45183335, 3.41180936, 1.00781001, 6.32179366, 3.42444841, 1.00657339];[6.4018031, 3.42427652, 1.00047293, 6.26057865, 3.45424751, 1.00046705];[0.00296631, 0.99703369];[0.05003025, 0.01246716, 0.00733708, 0.06121501, 0.0297991, 0.00610634]
[6.18587602, 3.55151302, 1.00380361, 6.79853667, 3.58082126, 1.00661048];[6.70418811, 3.50101946, 1.00047188, 6.62763236, 3.56537985, 1.00047727];[0.0029663, 0.9970337];[0.51831209, 0.05049356, 0.00333173, 0.17090431, 0.01544141, 0.00613321]
[7.41694744, 3.69604183, 1.00950427, 6.86554655, 3.61663921, 1.00241604];[7.09301902, 3.62609042, 1.00049566, 6.97678281, 3.65657911, 1.00045531];[0.00296627, 0.99703373];[0.32392842, 0.06995141, 0.00900861, 0.11123626, 0.0399399, 0.00196073]
[7.68786189, 3.72399441, 1.0067467, 7.74751155, 3.7644862, 1.00163838];[7.47918152, 3.73696151, 1.00047278, 7.38063814, 3.77619819, 1.00046392];[0.00296629, 0.99703371];[0.20868037, 0.0129671, 0.00627392, 0.36687341, 0.01171199, 0.00117446]
[7.53334082, 3.8612528, 1.0007004, 7.66467567, 3.84463444, 1.00593158];[7.83236919, 3.82412791, 1.00046529, 7.75372294, 3.86915559, 1.00046514];[0.00296628, 0.99703372];[2.99028371e-01, 3.71248943e-02, 2.35109704e-04, 8.90472656e-02, 2.45211506e-02, 5.46644369e-03]
[8.39281442, 3.99690199, 1.00736492, 7.72062913, 3.91922827, 1.00897497];[8.23730963, 3.93870132, 1.00048722, 8.1084966, 3.94624061, 1.00046768];[0.00296621, 0.99703379];[0.15550479, 0.05820067, 0.0068777, 0.38786747, 0.02701234, 0.00850729]
[8.19149849, 4.02661694, 1.00313434, 8.64134691, 4.06072721, 1.00573647];[8.59917306, 4.01759788, 1.0004636, 8.51970639, 4.05382634, 1.00047333];[0.00296631, 0.99703369];[0.40767457, 0.00901906, 0.00267074, 0.12164052, 0.00690087, 0.00526314]
[8.49808118, 4.10973911, 1.00815427, 9.25769689, 4.19850929, 1.00636143];[8.96395324, 4.09440025, 1.00047378, 8.95898699, 4.17326065, 1.00048025];[0.00296624, 0.99703376];[0.46587206, 0.01533886, 0.00768049, 0.2987099, 0.02524864, 0.00588118]
[8.82755307, 4.21220218, 1.00860702, 9.45434034, 4.20187458, 1.00405252];[9.33407863, 4.17137185, 1.00047957, 9.3840211, 4.27155681, 1.00045444];[0.00296637, 0.99703363];[0.50652556, 0.04083033, 0.00812745, 0.07031924, 0.06968223, 0.00359808]
[9.48332022, 4.34738291, 1.00025091, 9.95929662, 4.3284503, 1.00869351];[9.73734894, 4.26509408, 1.00047407, 9.82592278, 4.37462166, 1.00046829];[0.0029662, 0.9970338];[2.54028716e-01, 8.22888254e-02, 2.23155581e-04, 1.33373837e-01, 4.61713637e-02, 8.22522124e-03]
[9.72908034, 4.43666543, 1.00032549, 9.96028136, 4.43395002, 1.00855877];[10.13612345, 4.35080144, 1.00047327, 10.24128435, 4.45718737, 1.00046864];[0.0029662, 0.9970338];[4.07043112e-01, 8.58639896e-02, 1.47778742e-04, 2.81002987e-01, 2.32373535e-02, 8.09013074e-03]
[10.74415496, 4.59345716, 1.00407192, 10.50337353, 4.54161666, 1.00936241];[10.59650287, 4.47054999, 1.00049378, 10.67584153, 4.54763071, 1.00047486];[0.00296614, 0.99703386];[0.14765209, 0.12290717, 0.00357814, 0.172468, 0.00601405, 0.00888755]
[10.83087136, 4.6329897, 1.00846641, 10.77159272, 4.63342693, 1.00269778];[11.03359849, 4.56644464, 1.00048793, 11.10514709, 4.63053962, 1.00046214];[0.00296625, 0.99703375];[0.20272713, 0.06654506, 0.00797848, 0.33355437, 0.00288731, 0.00223564]
[11.15530248, 4.72739024, 1.00566486, 11.74037649, 4.72939052, 1.00517725];[11.47020746, 4.65635039, 1.00048204, 11.58683559, 4.73863599, 1.00046927];[0.00296626, 0.99703374];[0.31490498, 0.07103985, 0.00518282, 0.1535409, 0.00924547, 0.00470798]
[12.16163552, 4.86648762, 1.00705792, 12.27932236, 4.85652384, 1.00504207];[11.9639717, 4.77613465, 1.00049381, 12.08400858, 4.85054684, 1.00047264];[0.00296617, 0.99703383];[0.19766382, 0.09035297, 0.00656411, 0.19531378, 0.005977, 0.00456943]
[12.04756404, 4.92554064, 1.00235368, 12.79240193, 4.93236576, 1.00136919];[12.41618809, 4.86208216, 1.00047352, 12.59110243, 4.95929481, 1.00045886];[0.00296631, 0.99703369];[0.36862405, 0.06345848, 0.00188016, 0.2012995, 0.02692905, 0.00091033]
[13.39941087, 5.07247736, 1.00573598, 12.83267352, 5.00184862, 1.00623857];[12.95273614, 4.99421025, 1.00049116, 13.06816599, 5.04322219, 1.00046085];[0.00296621, 0.99703379];[0.44667473, 0.07826711, 0.00524482, 0.23549247, 0.04137357, 0.00577772]
[13.37042628, 5.11557177, 1.00979923, 13.71041584, 5.11627808, 1.0060697];[13.45103835, 5.09287501, 1.00048295, 13.58713226, 5.14801463, 1.00046623];[0.00296629, 0.99703371];[0.08061207, 0.02269676, 0.00931628, 0.12328358, 0.03173655, 0.00560347]
[13.84537827, 5.2505777, 1.00399668, 14.23614226, 5.2126436, 1.00186303];[13.9581561, 5.1924554, 1.00047812, 14.11588628, 5.25141802, 1.00045654];[0.00296631, 0.99703369];[0.11277783, 0.0581223, 0.00351856, 0.12025598, 0.03877442, 0.00140649]
[14.68864862, 5.30438036, 1.00176248, 14.29658268, 5.31968227, 1.00003058];[14.49982927, 5.30305612, 1.00046528, 14.61597132, 5.33295028, 1.00045337];[0.00296634, 0.99703366];[0.18881935, 0.00132424, 0.0012972, 0.31938864, 0.01326801, 0.00042279]
[15.55819014, 5.45111619, 1.00810757, 15.31335201, 5.42126423, 1.00867995];[15.0801487, 5.43172812, 1.00048418, 15.16675023, 5.4400369, 1.00047403];[0.00296624, 0.99703376];[0.47804144, 0.01938807, 0.00762339, 0.14660178, 0.01877267, 0.00820592]
[15.27126074, 5.56889944, 1.00337296, 15.35604201, 5.54661087, 1.00713088];[15.60080494, 5.5186924, 1.0004731, 15.68661636, 5.5243784, 1.00047464];[0.00296629, 0.99703371];[0.3295442, 0.05020704, 0.00289986, 0.33057435, 0.02223247, 0.00665624]
[16.34105833, 5.61006488, 1.00810356, 16.49155483, 5.61716288, 1.00957822];[16.1722864, 5.62714396, 1.00047382, 16.26397843, 5.63588692, 1.00047701];[0.00296627, 0.99703373];[0.16877193, 0.01707908, 0.00762974, 0.2275764, 0.01872404, 0.00910121]
[17.03629983, 5.74703444, 1.00257856, 16.2998919, 5.74112008, 1.0024209];[16.76516205, 5.74260248, 1.00046828, 16.78921417, 5.71210855, 1.00046519];[0.00296632, 0.99703368];[0.27113778, 0.00443196, 0.00211028, 0.48932227, 0.02901153, 0.00195571]
[16.87314968, 5.80401338, 1.00576013, 17.58146888, 5.8922292, 1.00191468];[17.30408417, 5.81835051, 1.00046352, 17.38678183, 5.82909816, 1.0004779];[0.00296621, 0.99703379];[0.43093449, 0.01433713, 0.00529661, 0.19468705, 0.06313104, 0.00143678]
[18.3709381, 5.92489828, 1.00047367, 17.4440184, 5.95807014, 1.00386696];[17.93050242, 5.94095553, 1.00046154, 17.93259305, 5.90716141, 1.00047242];[0.00296634, 0.99703366];[4.40435684e-01, 1.60572507e-02, 1.21296299e-05, 4.88574653e-01, 5.09087290e-02, 3.39453893e-03]
[18.86640129, 6.02116303, 1.00936562, 18.33019347, 6.02502786, 1.0064291];[18.55625208, 6.05564938, 1.00047405, 18.51291624, 6.00038737, 1.00047534];[0.00296627, 0.99703373];[0.31014921, 0.03448635, 0.00889157, 0.18272277, 0.02464049, 0.00595376]
[18.87339179, 6.15377192, 1.00988615, 18.93661813, 6.182841, 1.00299444];[19.14271868, 6.14293694, 1.0004785, 19.10689898, 6.09971116, 1.00048057];[0.00296609, 0.99703391];[0.26932689, 0.01083498, 0.00940765, 0.17028085, 0.08312984, 0.00251387]
[19.44808044, 6.26204213, 1.00599638, 19.62847346, 6.27869638, 1.00016242];[19.73719889, 6.23064291, 1.00047482, 19.71785158, 6.20243202, 1.00047449];[0.00296614, 0.99703386];[0.28911845, 0.03139922, 0.00552156, 0.08937812, 0.07626436, 0.00031207]
[20.75052743, 6.3448647, 1.00276395, 20.21001631, 6.30645132, 1.00984391];[20.39744319, 6.34973733, 1.00046763, 20.33238909, 6.29691026, 1.00047954];[0.00296628, 0.99703372];[0.35308424, 0.00487263, 0.00229632, 0.12237278, 0.00954106, 0.00936437]
[20.64511935, 6.48410682, 1.0011956, 20.55187548, 6.40867278, 1.00255716];[21.00689125, 6.43465537, 1.00046801, 20.9336425, 6.37892843, 1.00046672];[0.00296632, 0.99703368];[0.3617719, 0.04945145, 0.00072759, 0.38176702, 0.02974435, 0.00209044]
[21.72725816, 6.56673606, 1.0013255, 21.84275226, 6.51290657, 1.00497724];[21.66271273, 6.54069862, 1.00046793, 21.59987963, 6.49404348, 1.00047544];[0.00296633, 0.99703367];[0.06454543, 0.02603744, 0.00085757, 0.24287263, 0.01886309, 0.0045018]
[22.51017589, 6.68962831, 1.00750864, 21.92795835, 6.61053022, 1.00937046];[22.33944445, 6.65403032, 1.00048316, 22.2283366, 6.58110444, 1.00048089];[0.00296623, 0.99703377];[0.17073144, 0.03559799, 0.00702548, 0.30037825, 0.02942578, 0.00888957]
[22.48436768, 6.77091857, 1.00767275, 22.70234498, 6.7570025, 1.00475098];[22.96762152, 6.73200142, 1.00047774, 22.8794552, 6.67933316, 1.0004829];[0.00296617, 0.99703383];[0.48325384, 0.03891715, 0.00719501, 0.17711022, 0.07766934, 0.00426808]
[23.4810875, 6.80600389, 1.0087125, 23.74470187, 6.87421307, 1.00365365];[23.63114832, 6.82311527, 1.00047184, 23.57247962, 6.79671115, 1.00048435];[0.00296611, 0.99703389];[0.15006082, 0.01711138, 0.00824066, 0.17222225, 0.07750192, 0.0031693]
[24.33954736, 6.91362442, 1.00327453, 24.77935123, 6.95605586, 1.00802556];[24.31974999, 6.92360724, 1.00046415, 24.30260638, 6.92582659, 1.00048645];[0.00296631, 0.99703369];[0.01979737, 0.00998282, 0.00281038, 0.47674485, 0.03022927, 0.00753911]
[25.02933739, 7.06879055, 1.00507122, 25.23093633, 7.09235623, 1.00419484];[25.02018456, 7.02832583, 1.0004776, 25.02212421, 7.04231686, 1.00048025];[0.00296624, 0.99703376];[0.00915283, 0.04046472, 0.00459362, 0.20881212, 0.05003937, 0.00371459]
[25.96369459, 7.15729821, 1.00116681, 25.24239119, 7.18430946, 1.00118906];[25.74863238, 7.14161592, 1.00046724, 25.69327029, 7.1234202, 1.00046962];[0.00296631, 0.99703369];[0.21506221, 0.01568229, 0.00069957, 0.4508791, 0.06088926, 0.00071944]
[26.5728337, 7.28351183, 1.00263353, 26.56551087, 7.22548606, 1.00921277];[26.47831196, 7.2501017, 1.00047229, 26.42338264, 7.23093942, 1.0004779];[0.00296628, 0.99703372];[0.09452174, 0.03341013, 0.00216124, 0.14212823, 0.00545336, 0.00873487]
[27.53691276, 7.37992155, 1.00239429, 27.50144299, 7.35966922, 1.00930749];[27.23657937, 7.36783664, 1.00046972, 27.18143294, 7.34956615, 1.00048317];[0.00296631, 0.99703369];[0.30033339, 0.01208491, 0.00192457, 0.32001005, 0.01010307, 0.00882432]
[28.00703586, 7.46530014, 1.00013083, 28.37718852, 7.41135949, 1.00627508];[27.98059298, 7.46895738, 1.00045923, 27.95693478, 7.46737055, 1.00046501];[0.00296626, 0.99703374];[2.64428777e-02, 3.65723821e-03, 3.28404988e-04, 4.20253744e-01, 5.60110635e-02, 5.81007235e-03]
[28.18053594, 7.56180285, 1.00805253, 28.64985688, 7.50205982, 1.00068134];[28.6869937, 7.54378227, 1.00047363, 28.70086203, 7.56006754, 1.00044865];[0.00296641, 0.99703359];[5.06457756e-01, 1.80205822e-02, 7.57890330e-03, 5.10051469e-02, 5.80077166e-02, 2.32693652e-04]
[29.78574606, 7.61380462, 1.00838492, 29.50204952, 7.64469197, 1.00865248];[29.47276764, 7.65767243, 1.00047047, 29.46445134, 7.661423, 1.0004732];[0.0029663, 0.9970337];[0.31297842, 0.04386781, 0.00791445, 0.03759818, 0.01673103, 0.00817928]
[30.50914722, 7.75430382, 1.00786384, 29.72802021, 7.74211776, 1.00467582];[30.2651156, 7.77030513, 1.00047429, 30.19317274, 7.7372738, 1.00046503];[0.00296632, 0.99703368];[0.24403162, 0.01600131, 0.00738955, 0.46515253, 0.00484396, 0.00421079]
