measurement_data;state_data;mode_probabilities;state_errors
[0.045, 0.3, 1., 0.045, 0.3, 1.];[0.045, 0.29999998, 0.99999986, 0.045, 0.29999998, 0.99999986];[1.35769859e-07, 9.99999864e-01];[4.28561353e-11, 1.94821604e-08, 1.35769859e-07, 4.28561353e-11, 1.94821604e-08, 1.35769859e-07]
[0.08, 0.4, 1., 0.08, 0.4, 1.];[0.14404514, 0.52406058, 0.92006576, 0.14386983, 0.52515256, 0.91911534];[7.91223931e-09, 9.99999992e-01];[0.06404514, 0.12406058, 0.07993424, 0.06386983, 0.12515256, 0.08088466]
[0.125, 0.5, 1., 0.125, 0.5, 1.];[0.27658569, 0.6898549, 0.78654559, 0.27652258, 0.69239844, 0.78291672];[8.89448996e-09, 9.99999991e-01];[0.15158569, 0.1898549, 0.21345441, 0.15152258, 0.19239844, 0.21708328]
[0.405, 0.9, 1., 0.405, 0.9, 1.];[0.4903842, 0.90905427, 0.79066811, 0.49078939, 0.90951487, 0.7872523];[8.63230534e-09, 9.99999991e-01];[0.0853842, 0.00905427, 0.20933189, 0.08578939, 0.00951487, 0.2127477]
[0.5, 1., 1., 0.5, 1., 1.];[0.72778987, 1.07179034, 0.72598741, 0.72826344, 1.0716905, 0.72206355];[9.05166694e-09, 9.99999991e-01];[0.22778987, 0.07179034, 0.27401259, 0.22826344, 0.0716905, 0.27793645]
[0.72, 1.2, 1., 0.72, 1.2, 1.];[1.00335561, 1.22275269, 0.68841675, 1.00380181, 1.22131474, 0.68545836];[8.93335167e-09, 9.99999991e-01];[0.28335561, 0.02275269, 0.31158325, 0.28380181, 0.02131474, 0.31454164]
[0.845, 1.3, 1., 0.845, 1.3, 1.];[1.28386145, 1.32477951, 0.62459039, 1.28417326, 1.32253844, 0.62272302];[8.93774850e-09, 9.99999991e-01];[0.43886145, 0.02477951, 0.37540961, 0.43917326, 0.02253844, 0.37727698]
[1.125, 1.5, 1., 1.125, 1.5, 1.];[1.59474953, 1.43626096, 0.61746861, 1.5947436, 1.43235169, 0.61909008];[8.73508842e-09, 9.99999991e-01];[0.46974953, 0.06373904, 0.38253139, 0.4697436, 0.06764831, 0.38090992]
[1.28, 1.6, 1., 1.28, 1.6, 1.];[1.90279913, 1.51617761, 0.59631801, 1.90235948, 1.51162851, 0.6015811];[8.64983996e-09, 9.99999991e-01];[0.62279913, 0.08382239, 0.40368199, 0.62235948, 0.08837149, 0.3984189]
[1.445, 1.7, 1., 1.445, 1.7, 1.];[2.20424155, 1.57373463, 0.57981398, 2.20341854, 1.56898529, 0.58897455];[8.51306528e-09, 9.99999991e-01];[0.75924155, 0.12626537, 0.42018602, 0.75841854, 0.13101471, 0.41102545]
[1.62, 1.8, 1., 1.62, 1.8, 1.];[2.49813125, 1.61931298, 0.57814268, 2.49702009, 1.61458582, 0.59147397];[8.34740361e-09, 9.99999992e-01];[0.87813125, 0.18068702, 0.42185732, 0.87702009, 0.18541418, 0.40852603]
[1.805, 1.9, 1., 1.805, 1.9, 1.];[2.78585053, 1.66206313, 0.59438057, 2.78455939, 1.6575735, 0.61200385];[8.16222788e-09, 9.99999992e-01];[0.98085053, 0.23793687, 0.40561943, 0.97955939, 0.2424265, 0.38799615]
[2., 2., 1., 2., 2., 1.];[3.07028712, 1.70860715, 0.62661742, 3.06894205, 1.70462447, 0.64836675];[7.96164927e-09, 9.99999992e-01];[1.07028712, 0.29139285, 0.37338258, 1.06894205, 0.29537553, 0.35163325]
[2.42, 2.2, 1., 2.42, 2.2, 1.];[3.40204748, 1.82001402, 0.72681847, 3.40065193, 1.81620048, 0.75363407];[7.72619108e-09, 9.99999992e-01];[0.98204748, 0.37998598, 0.27318153, 0.98065193, 0.38379952, 0.24636593]
[2.645, 2.3, 1., 2.645, 2.3, 1.];[3.74203362, 1.92771628, 0.79161702, 3.7407855, 1.92559315, 0.82126488];[7.52535665e-09, 9.99999992e-01];[1.09703362, 0.37228372, 0.20838298, 1.0957855, 0.37440685, 0.17873512]
[2.88, 2.4, 1., 2.88, 2.4, 1.];[4.08915047, 2.02638743, 0.83073837, 4.08843059, 2.02629009, 0.86115905];[7.35730793e-09, 9.99999993e-01];[1.20915047, 0.37361257, 0.16926163, 1.20843059, 0.37370991, 0.13884095]
[3.125, 2.5, 1., 3.125, 2.5, 1.];[4.44175544, 2.11437674, 0.85425298, 4.4418751, 2.11584291, 0.88407396];[7.19353179e-09, 9.99999993e-01];[1.31675544, 0.38562326, 0.14574702, 1.3168751, 0.38415709, 0.11592604]
[3.645, 2.7, 1., 3.645, 2.7, 1.];[4.85501231, 2.25704526, 0.93026409, 4.85593731, 2.25869041, 0.96033722];[7.05327038e-09, 9.99999993e-01];[1.21001231, 0.44295474, 0.06973591, 1.21093731, 0.44130959, 0.03966278]
[3.92, 2.8, 1., 3.92, 2.8, 1.];[5.27563616, 2.37717962, 0.96006591, 5.277339, 2.3795274, 0.98897499];[6.91945827e-09, 9.99999993e-01];[1.35563616, 0.42282038, 0.03993409, 1.357339, 0.4204726, 0.01102501]
[4.205, 2.9, 1., 4.205, 2.9, 1.];[5.69905761, 2.47342474, 0.9645417, 5.70154907, 2.47608279, 0.99175724];[6.76224627e-09, 9.99999993e-01];[1.49405761, 0.42657526, 0.0354583, 1.49654907, 0.42391721, 0.00824276]
[4.5, 3., 1., 4.5, 3., 1.];[6.12177839, 2.54946539, 0.96078583, 6.12495232, 2.55170065, 0.98671436];[6.57652298e-09, 9.99999993e-01];[1.62177839, 0.45053461, 0.03921417, 1.62495232, 0.44829935, 0.01328564]
[4.805, 3.1, 1., 4.805, 3.1, 1.];[6.54199878, 2.61157421, 0.96056616, 6.54561794, 2.61276172, 0.98627519];[6.37340271e-09, 9.99999994e-01];[1.73699878, 0.48842579, 0.03943384, 1.74061794, 0.48723828, 0.01372481]
[5.12, 3.2, 1., 5.12, 3.2, 1.];[6.95964891, 2.66654822, 0.97022575, 6.96341211, 2.66641676, 0.9970285];[6.16251214e-09, 9.99999994e-01];[1.83964891, 0.53345178, 0.02977425, 1.84341211, 0.53358324, 0.0029715]
