measurement_data;state_data;mode_probabilities;state_errors
[9.99950000e-01, -9.99980000e-04, 9.99983000e-03, 9.99950000e-02, -9.99950000e-03, -9.99983333e-05];[9.99949999e-01, -7.96373196e-04, 1.00000153e-02, 9.99976425e-02, -9.99982118e-03, -5.12586121e-05];[0.40925539, 0.2953723, 0.2953723];[5.43951995e-10, 2.03606804e-04, 1.85314313e-07, 2.64250785e-06, 3.21181009e-07, 4.87397212e-05]
[9.9980001e-01, -1.9998700e-03, 1.9998670e-02, 9.9980000e-02, -9.9980000e-03, -1.9999000e-04];[9.99807515e-01, -1.58051045e-03, 1.99991537e-02, 9.99890575e-02, -9.99986637e-03, -1.05051768e-04];[0.42203745, 0.28898127, 0.28898127];[7.50535688e-06, 4.19359548e-04, 4.83675308e-07, 9.05753219e-06, 1.86637251e-06, 9.49382318e-05]
[9.9955003e-01, -2.9995500e-03, 2.9995500e-02, 9.9955000e-02, -9.9955000e-03, -2.9996000e-04];[9.99573345e-01, -2.34639885e-03, 2.99964435e-02, 9.99743169e-02, -1.00004647e-02, -1.61809742e-04];[0.4396902, 0.2801549, 0.2801549];[2.33151520e-05, 6.53151148e-04, 9.43489560e-07, 1.93168590e-05, 4.96472034e-06, 1.38150258e-04]
[9.9920011e-01, -3.9989300e-03, 3.9989330e-02, 9.9920010e-02, -9.9920000e-03, -3.9989000e-04];[9.99248576e-01, -3.08993873e-03, 3.99909289e-02, 9.99535750e-02, -1.00019292e-02, -2.21385955e-04];[0.46127683, 0.26936158, 0.26936158];[4.84657080e-05, 9.08991270e-04, 1.59893498e-06, 3.35650392e-05, 9.92916031e-06, 1.78504045e-04]
[9.9875026e-01, -4.9979200e-03, 4.9979170e-02, 9.9875030e-02, -9.9875000e-03, -4.9979000e-04];[9.98834369e-01, -3.80943882e-03, 4.99816836e-02, 9.99270636e-02, -1.00045018e-02, -2.83234411e-04];[0.48566226, 0.25716887, 0.25716887];[8.41091805e-05, 1.18848118e-03, 2.51363559e-06, 5.20336039e-05, 1.70018090e-05, 2.16555589e-04]
[9.9820054e-01, -5.9964000e-03, 5.9964010e-02, 9.9820050e-02, -9.9820100e-03, -5.9964000e-04];[9.98331785e-01, -4.50545245e-03, 5.99678147e-02, 9.98950603e-02, -1.00083455e-02, -3.46629173e-04];[0.51173512, 0.24413244, 0.24413244];[1.31245496e-04, 1.49094755e-03, 3.80466850e-06, 7.50102792e-05, 2.63355051e-05, 2.53010827e-04]
[9.975510e-01, -6.994280e-03, 6.994285e-02, 9.975510e-02, -9.975510e-03, -6.994300e-04];[9.97741624e-01, -5.18045704e-03, 6.99484680e-02, 9.98578484e-02, -1.00135361e-02, -4.10861041e-04];[0.53848138, 0.23075931, 0.23075931];[1.90623881e-04, 1.81382296e-03, 5.61804749e-06, 1.02748384e-04, 3.80260997e-05, 2.88568959e-04]
[9.9680171e-01, -7.9914700e-03, 7.9914690e-02, 9.9680170e-02, -9.9680200e-03, -7.9915000e-04];[9.97064321e-01, -5.83840939e-03, 7.99228210e-02, 9.98156577e-02, -1.00200672e-02, -4.75359990e-04];[0.56502645, 0.21748678, 0.21748678];[2.62611413e-04, 2.15306061e-03, 8.13103392e-06, 1.35487737e-04, 5.20472413e-05, 3.23790010e-04]
[9.9595273e-01, -8.9878500e-03, 8.9878550e-02, 9.9595270e-02, -9.9595300e-03, -8.9879000e-04];[9.96299903e-01, -6.48423695e-03, 8.98900747e-02, 9.97686264e-02, -1.00278491e-02, -5.39742620e-04];[0.59065968, 0.20467016, 0.20467016];[3.47172963e-04, 2.50361305e-03, 1.15246749e-05, 1.73356380e-04, 6.83190989e-05, 3.59047380e-04]
[0.99500417, -0.00998334, 0.09983342, 0.09950042, -0.00995004, -0.00099833];[9.95447988e-01, -7.12333442e-03, 9.98494331e-02, 9.97167753e-02, -1.00367204e-02, -6.03806519e-04];[0.61484317, 0.19257841, 0.19257841];[4.43817825e-04, 2.86000558e-03, 1.60131297e-05, 2.16355262e-04, 8.66803794e-05, 3.94523481e-04]
[0.9939561, -0.01097783, 0.1097783, 0.09939561, -0.00993956, -0.00109778];[9.94507829e-01, -7.76110777e-03, 1.09800092e-01, 9.96599989e-02, -1.00464641e-02, -6.67503028e-04];[0.63720657, 0.18139672, 0.18139672];[5.51729390e-04, 3.21672223e-03, 2.17916285e-05, 2.64388878e-04, 1.06904097e-04, 4.30276972e-04]
[0.99280864, -0.01197122, 0.11971221, 0.09928086, -0.00992809, -0.00119712];[9.93478392e-01, -8.40260976e-03, 1.19741229e-01, 9.95980802e-02, -1.00568256e-02, -7.30886754e-04];[0.65753091, 0.17123455, 0.17123455];[6.69752202e-04, 3.56861024e-03, 2.90187195e-05, 3.17220198e-04, 1.28735581e-04, 4.66233246e-04]
[0.99156189, -0.01296341, 0.12963414, 0.09915619, -0.00991562, -0.00129634];[9.92358434e-01, -9.05228687e-03, 1.29671992e-01, 9.95307100e-02, -1.00675323e-02, -7.94075971e-04];[0.6757253, 0.16213735, 0.16213735];[7.96544318e-04, 3.91112313e-03, 3.78519715e-05, 3.74519980e-04, 1.51912288e-04, 5.02264029e-04]
