measurement_data;state_data;mode_probabilities;state_errors
[1.37006425, 0.02173522, -0.00200936, 0.73059855, 0.12615602, 0.00953543];[1.44526831, 0.03549085, -0.00450364, 0.56026367, 0.1759088, 0.00545889];[2.12682062e-07, 9.99999787e-01];[0.07520406, 0.01375563, 0.00249428, 0.17033488, 0.04975278, 0.00407654]
[1.20764978, 0.09308993, -0.00752821, 0.58561412, 0.16230095, 0.00383136];[1.36868573, 0.0435885, -0.00296144, 0.58032434, 0.17211095, 0.00416519];[8.59978971e-09, 9.99999991e-01];[0.16103595, 0.04950143, 0.00456677, 0.00528978, 0.00981, 0.00033383]
[1.50235914, 0.01406413, -0.00758246, 0.25166171, 0.11582953, 0.0078989];[1.40526096, 0.04150666, -0.00576033, 0.50894773, 0.14370158, 0.00204279];[7.85738694e-09, 9.99999992e-01];[0.09709818, 0.02744253, 0.00182213, 0.25728602, 0.02787205, 0.00585611]
[1.96966879, 0.00638048, -0.0030244, 0.23574782, 0.10608778, 0.00886092];[1.52350720e+00, 5.81740295e-02, -5.63867870e-03, 4.63461638e-01, 1.24167011e-01, 1.35801327e-03];[7.55552722e-09, 9.99999992e-01];[0.44616159, 0.05179355, 0.00261428, 0.22771382, 0.01807923, 0.00750291]
[1.13267113e+00, 3.64683600e-02, -6.85911000e-03, 2.74268780e-01, 1.21603890e-01, -4.10650000e-04];[1.45981375e+00, 3.68612442e-02, -8.39639224e-03, 4.40779360e-01, 1.15075194e-01, 1.05932188e-04];[7.41820632e-09, 9.99999993e-01];[0.32714262, 0.00039288, 0.00153728, 0.16651058, 0.0065287, 0.00051658]
[1.80870757, 0.01264936, -0.00472678, 0.57163586, 0.12385223, 0.00438257];[1.51525969, 0.04775968, -0.00753985, 0.47067951, 0.12171639, 0.00225268];[7.35280343e-09, 9.99999993e-01];[0.29344788, 0.03511032, 0.00281307, 0.10095635, 0.00213584, 0.00212989]
[1.97140468e+00, 8.97175000e-02, -8.79310000e-04, 4.01185770e-01, 1.16338820e-01, 9.07801000e-03];[1.58279835e+00, 7.26275901e-02, -9.56808173e-04, 4.71559972e-01, 1.17892145e-01, 3.32643500e-03];[7.31425935e-09, 9.99999993e-01];[3.88606331e-01, 1.70899099e-02, 7.74981730e-05, 7.03742018e-02, 1.55332497e-03, 5.75157500e-03]
[1.73952679, 0.02523498, -0.00316315, 0.61928887, 0.15725464, 0.00203089];[1.6071156, 0.07339919, -0.00395929, 0.5015324, 0.12880343, 0.00633717];[7.30190476e-09, 9.99999993e-01];[0.13241119, 0.04816421, 0.00079614, 0.11775647, 0.02845121, 0.00430628]
[1.9543786, 0.08514546, -0.00988577, 0.42360428, 0.14607327, 0.00572964];[1.6540268, 0.08912568, -0.00267474, 0.5045306, 0.12721893, 0.00681815];[7.29050925e-09, 9.99999993e-01];[0.3003518, 0.00398022, 0.00721103, 0.08092632, 0.01885434, 0.00108851]
[1.04091517, 0.06002021, -0.00769098, 0.2973625, 0.18410147, 0.00896391];[1.59465489, 0.05800993, -0.0100018, 0.49543477, 0.12401552, 0.0100354];[7.27637838e-09, 9.99999993e-01];[0.55373972, 0.00201028, 0.00231082, 0.19807227, 0.06008595, 0.00107149]
[1.84757440e+00, 6.88269700e-02, -3.62593000e-03, 1.06071774e+00, 1.65520660e-01, 1.67503000e-03];[1.6261661, 0.06949281, -0.0057988, 0.56598185, 0.15322224, 0.01464443];[7.27485315e-09, 9.99999993e-01];[0.2214083, 0.00066584, 0.00217287, 0.49473589, 0.01229842, 0.0129694]
[1.73219663e+00, 1.03361000e-02, -5.41452000e-03, 4.84464650e-01, 1.15799150e-01, 1.86910000e-04];[1.64070487, 0.06790744, -0.00940137, 0.570475, 0.14600919, 0.00729399];[7.28403551e-09, 9.99999993e-01];[0.09149176, 0.05757134, 0.00398685, 0.08601035, 0.03021004, 0.00710708]
[1.86145395e+00, 4.21124300e-02, -1.16792000e-03, 7.84938070e-01, 1.90491360e-01, 5.63794000e-03];[1.66674711, 0.07475686, -0.00757073, 0.60554889, 0.15954055, 0.01174039];[7.28043549e-09, 9.99999993e-01];[0.19470684, 0.03264443, 0.00640281, 0.17938918, 0.03095081, 0.00610245]
[1.45872130e+00, 1.40268400e-02, -1.98780000e-04, 1.00992436e+00, 1.29209760e-01, 2.41263000e-03];[1.65231103, 0.05948787, -0.0120459, 0.65587416, 0.17495206, 0.00997337];[7.27747560e-09, 9.99999993e-01];[0.19358973, 0.04546103, 0.01184712, 0.3540502, 0.0457423, 0.00756074]
[1.65359627, 0.02954989, -0.00928817, 0.77290203, 0.14523573, 0.00640988];[1.65673094, 0.0557922, -0.01363608, 0.68112219, 0.17764517, 0.00746221];[7.28166695e-09, 9.99999993e-01];[0.00313467, 0.02624231, 0.00434791, 0.09177984, 0.03240944, 0.00105233]
[1.92156521, 0.02346275, -0.0032564, 0.56333503, 0.15119559, 0.00597035];[1.68364058, 0.06413141, -0.01126559, 0.68612361, 0.169942, 0.00378739];[7.27932393e-09, 9.99999993e-01];[0.23792463, 0.04066866, 0.00800919, 0.12278858, 0.01874641, 0.00218296]
[1.06739143, -0.01109886, -0.00549391, 1.14939778, 0.11219116, 0.00304502];[1.634155, 0.02915283, -0.02105874, 0.73899059, 0.18574089, 0.00278597];[7.26327253e-09, 9.99999993e-01];[5.66763574e-01, 4.02516858e-02, 1.55648328e-02, 4.10407187e-01, 7.35497336e-02, 2.59047197e-04]
[1.30735358, 0.02521442, -0.00277447, 0.43613368, 0.176936, 0.00802791];[1.60929147e+00, 1.29775277e-02, -1.94325364e-02, 7.30290178e-01, 1.71024447e-01, 5.79060680e-04];[7.27598332e-09, 9.99999993e-01];[0.30193789, 0.01223689, 0.01665807, 0.2941565, 0.00591155, 0.00744885]
