measurement_data;state_data;mode_probabilities;state_errors
[9.99950000e-01, -9.99980000e-04, -9.99950000e-03, 9.99983000e-03, 9.99950000e-02, -9.99983333e-05];[9.99950000e-01, -9.99990267e-04, -9.99994432e-03, 9.99996551e-03, 9.99975841e-02, -1.10089508e-05];[1.14464110e-07, 9.99999886e-01];[2.61362820e-10, 1.02666811e-08, 4.44324490e-07, 1.35512393e-07, 2.58414261e-06, 8.89893825e-05]
[9.9920011e-01, -3.9989300e-03, -9.9920000e-03, 3.9989330e-02, 9.9920010e-02, -3.9989000e-04];[9.99579083e-01, -2.68982363e-03, -1.02642903e-02, 2.66914246e-02, 1.00845721e-01, -4.75108142e-05];[6.07361879e-09, 9.99999994e-01];[0.00037897, 0.00130911, 0.00027229, 0.01329791, 0.00092571, 0.00035238]
[9.9875026e-01, -4.9979200e-03, -9.9875000e-03, 4.9979170e-02, 9.9875030e-02, -4.9979000e-04];[9.99107936e-01, -4.06427584e-03, -1.04543326e-02, 4.01024579e-02, 1.01160372e-01, -2.13014558e-04];[6.16103362e-09, 9.99999994e-01];[0.00035768, 0.00093364, 0.00046683, 0.00987671, 0.00128534, 0.00028678]
[9.9820054e-01, -5.9964000e-03, -9.9820100e-03, 5.9964010e-02, 9.9820050e-02, -5.9964000e-04];[9.98537494e-01, -5.31576749e-03, -1.05881800e-02, 5.21876099e-02, 1.01276636e-01, -4.52305963e-04];[6.24551972e-09, 9.99999994e-01];[0.00033695, 0.00068063, 0.00060617, 0.0077764, 0.00145659, 0.00014733]
[9.975510e-01, -6.994280e-03, -9.975510e-03, 6.994285e-02, 9.975510e-02, -6.994300e-04];[9.97867017e-01, -6.50459034e-03, -1.06722278e-02, 6.36011306e-02, 1.01283954e-01, -7.33758821e-04];[6.31355478e-09, 9.99999994e-01];[3.16016577e-04, 4.89689663e-04, 6.96717811e-04, 6.34171945e-03, 1.52885351e-03, 3.43288211e-05]
[9.9595273e-01, -8.9878500e-03, -9.9595300e-03, 8.9878550e-02, 9.9595270e-02, -8.9879000e-04];[9.96938725e-01, -7.87486216e-03, -1.09789396e-02, 7.61350107e-02, 1.01659669e-01, -9.02139561e-04];[6.36127444e-09, 9.99999994e-01];[9.85994922e-04, 1.11298784e-03, 1.01940962e-03, 1.37435393e-02, 2.06439864e-03, 3.34956125e-06]
[0.99500417, -0.00998334, -0.00995004, 0.09983342, 0.09950042, -0.00099833];[0.99591604, -0.00918525, -0.01117014, 0.08807672, 0.10185138, -0.00119948];[6.38986863e-09, 9.99999994e-01];[0.00091187, 0.00079809, 0.0012201, 0.0117567, 0.00235096, 0.00020115]
[0.99280864, -0.01197122, -0.00992809, 0.11971221, 0.09928086, -0.00119712];[0.99462031, -0.01067482, -0.01156536, 0.10084576, 0.10237222, -0.00138078];[6.40301979e-09, 9.99999994e-01];[0.00181167, 0.0012964, 0.00163727, 0.01886645, 0.00309136, 0.00018366]
[0.99156189, -0.01296341, -0.00991562, 0.12963414, 0.09915619, -0.00129634];[0.9932316, -0.01209349, -0.01178229, 0.11311187, 0.10266251, -0.00176477];[6.40525440e-09, 9.99999994e-01];[0.00166971, 0.00086992, 0.00186667, 0.01652227, 0.00350632, 0.00046843]
[0.98877108, -0.01494381, -0.00988771, 0.14943813, 0.09887711, -0.00149438];[0.9915539, -0.01369104, -0.01217754, 0.12606784, 0.10326257, -0.00204087];[6.40072255e-09, 9.99999994e-01];[0.00278282, 0.00125277, 0.00228983, 0.02337029, 0.00438546, 0.00054649]
[0.98722728, -0.01593182, -0.00987227, 0.15931821, 0.09872273, -0.00159318];[0.98978526, -0.01519596, -0.01235031, 0.1385834, 0.10358783, -0.00256945];[6.39278565e-09, 9.99999994e-01];[0.00255798, 0.00073586, 0.00247804, 0.02073481, 0.0048651, 0.00097627]
[0.98558477, -0.01691823, -0.00985585, 0.16918235, 0.09855848, -0.00169182];[0.98792578, -0.01661036, -0.01235064, 0.15074163, 0.10367998, -0.00324563];[6.38377072e-09, 9.99999994e-01];[0.00234101, 0.00030787, 0.00249479, 0.01844072, 0.0051215, 0.00155381]
[0.98384369, -0.01790296, -0.00983844, 0.17902957, 0.09838437, -0.0017903];[0.98597631, -0.0179391, -0.01222307, 0.16260154, 0.10357803, -0.00398698];[6.37514796e-09, 9.99999994e-01];[2.13261588e-03, 3.61359606e-05, 2.38463316e-03, 1.64280345e-02, 5.19366315e-03, 2.19668388e-03]
[0.98200424, -0.01888589, -0.00982004, 0.18885889, 0.09820042, -0.00188859];[0.98393798, -0.01918901, -0.01200575, 0.17420646, 0.10331808, -0.00473104];[6.36770430e-09, 9.99999994e-01];[0.00193374, 0.00030312, 0.00218571, 0.01465243, 0.00511766, 0.00284245]
[0.98006658, -0.01986693, -0.00980067, 0.19866933, 0.09800666, -0.00198669];[0.98181193, -0.02036814, -0.01173046, 0.1855893, 0.10293294, -0.0054323];[6.36174663e-09, 9.99999994e-01];[0.00174535, 0.00050121, 0.00192979, 0.01308003, 0.00492628, 0.00344561]
[0.97803091, -0.02084599, -0.00978031, 0.2084599, 0.09780309, -0.0020846];[0.97959915, -0.02148515, -0.01142299, 0.19677577, 0.10245197, -0.00605939];[6.35727699e-09, 9.99999994e-01];[0.00156824, 0.00063916, 0.00164268, 0.01168413, 0.00464888, 0.00397479]
[0.97589745, -0.02182296, -0.00975897, 0.21822962, 0.09758974, -0.0021823];[0.97730047, -0.02254879, -0.01110379, 0.2077865, 0.10190098, -0.00659244];[6.35412684e-09, 9.99999994e-01];[0.00140302, 0.00072583, 0.00134482, 0.01044312, 0.00431124, 0.00441014]
[0.9736664, -0.02279775, -0.00973666, 0.22797752, 0.09736664, -0.00227978];[0.97491648, -0.0235676, -0.01078857, 0.21863847, 0.10130227, -0.00702091];[6.35205188e-09, 9.99999994e-01];[0.00125008, 0.00076985, 0.00105191, 0.00933905, 0.00393563, 0.00474113]
[0.97133797, -0.02377026, -0.00971338, 0.23770263, 0.0971338, -0.00237703];[0.97244758, -0.02454966, -0.01048894, 0.22934599, 0.1006747, -0.00734162];[6.35079355e-09, 9.99999994e-01];[0.00110961, 0.0007794, 0.00077556, 0.00835664, 0.0035409, 0.00496459]
