measurement_data;state_data;mode_probabilities;state_errors
[0.1, 1., 0., 0.1, 1., 0.];[0.1, 1., 0., 0.1, 1., 0.];[0.12731524, 0.87268476];[0., 0., 0., 0., 0., 0.]
[0.2, 1., 0., 0.2, 1., 0.];[0.2, 1., 0., 0.2, 1., 0.];[0.06072783, 0.93927217];[0., 0., 0., 0., 0., 0.]
[0.3, 1., 0., 0.3, 1., 0.];[3.00000000e-01, 1.00000000e+00, 2.57384336e-21, 3.00000000e-01, 1.00000000e+00, 2.57384336e-21];[0.02885407, 0.97114593];[5.55111512e-17, 0.00000000e+00, 2.57384336e-21, 5.55111512e-17, 0.00000000e+00, 2.57384336e-21]
[0.4, 1., 0., 0.4, 1., 0.];[4.00000000e-01, 1.00000000e+00, 1.58092697e-24, 4.00000000e-01, 1.00000000e+00, 1.58092697e-24];[0.01992577, 0.98007423];[5.55111512e-17, 0.00000000e+00, 1.58092697e-24, 5.55111512e-17, 0.00000000e+00, 1.58092697e-24]
[0.5, 1., 0., 0.5, 1., 0.];[5.00000000e-01, 1.00000000e+00, 1.14009921e-27, 5.00000000e-01, 1.00000000e+00, 1.14009921e-27];[0.01966785, 0.98033215];[1.11022302e-16, 2.22044605e-16, 1.14009921e-27, 1.11022302e-16, 2.22044605e-16, 1.14009921e-27]
[0.6, 1., 0., 0.6, 1., 0.];[6.0000000e-01, 1.0000000e+00, -2.3542853e-19, 6.0000000e-01, 1.0000000e+00, -2.3542853e-19];[0.0220399, 0.9779601];[2.22044605e-16, 2.22044605e-16, 2.35428530e-19, 2.22044605e-16, 2.22044605e-16, 2.35428530e-19]
[0.7, 1., 0., 0.7, 1., 0.];[7.00000000e-01, 1.00000000e+00, -2.74402757e-19, 7.00000000e-01, 1.00000000e+00, -2.74402757e-19];[0.02513707, 0.97486293];[2.22044605e-16, 2.22044605e-16, 2.74402757e-19, 2.22044605e-16, 2.22044605e-16, 2.74402757e-19]
[0.8, 1., 0., 0.8, 1., 0.];[8.00000000e-01, 1.00000000e+00, -3.61049116e-19, 8.00000000e-01, 1.00000000e+00, -3.61049116e-19];[0.02836059, 0.97163941];[2.22044605e-16, 2.22044605e-16, 3.61049116e-19, 2.22044605e-16, 2.22044605e-16, 3.61049116e-19]
[0.9, 1., 0., 0.9, 1., 0.];[9.00000000e-01, 1.00000000e+00, -3.55861369e-19, 9.00000000e-01, 1.00000000e+00, -3.55861369e-19];[0.03150852, 0.96849148];[4.44089210e-16, 2.22044605e-16, 3.55861369e-19, 4.44089210e-16, 2.22044605e-16, 3.55861369e-19]
[1., 1., 0., 1., 1., 0.];[1.00000000e+00, 1.00000000e+00, -3.77091309e-19, 1.00000000e+00, 1.00000000e+00, -3.77091309e-19];[0.034509, 0.965491];[4.44089210e-16, 2.22044605e-16, 3.77091309e-19, 4.44089210e-16, 2.22044605e-16, 3.77091309e-19]
[1.1, 1., 0., 1.1, 1., 0.];[1.10000000e+00, 1.00000000e+00, -4.17187087e-19, 1.10000000e+00, 1.00000000e+00, -4.17187087e-19];[0.03733703, 0.96266297];[4.44089210e-16, 2.22044605e-16, 4.17187087e-19, 4.44089210e-16, 2.22044605e-16, 4.17187087e-19]
