measurement_data;state_data;mode_probabilities;state_errors
[0.32777488, 1.09402427, 0.00668759, 0.55794872, 1.08984222, 0.0028756];[0.65385291, 1.0302827, 0.00672112, 0.81462655, 1.06761336, 0.00171093];[2.12570033e-07, 9.99999787e-01];[3.26078032e-01, 6.37415676e-02, 3.35325675e-05, 2.56677827e-01, 2.22288600e-02, 1.16467291e-03]
[0.65466014, 1.05326008, 0.00506623, 0.34088148, 1.01668209, 0.00564092];[7.22921883e-01, 1.03381426e+00, 7.12297027e-03, 7.26493946e-01, 1.02556701e+00, 4.90633111e-04];[8.58646830e-09, 9.99999991e-01];[0.06826174, 0.01944582, 0.00205674, 0.38561247, 0.00888492, 0.00515029]
[0.59133898, 1.08164949, 0.00748957, 0.6533786, 1.01733321, 0.0053473];[0.76768281, 1.03613648, 0.00933318, 0.78441243, 1.01611743, 0.00140199];[7.86172455e-09, 9.99999992e-01];[0.17634383, 0.04551301, 0.00184361, 0.13103383, 0.00121578, 0.00394531]
[0.96499127, 1.05595032, 0.00881694, 1.01176927, 1.05743829, 0.00661668];[0.89098562, 1.04485193, 0.01041142, 0.91275675, 1.03001738, 0.00543748];[7.56109234e-09, 9.99999992e-01];[0.07400565, 0.01109839, 0.00159448, 0.09901252, 0.02742091, 0.0011792]
[0.91801735, 1.06067565, 0.00223923, 0.82377286, 1.07813275, 0.00264973];[0.98245628, 1.04478044, 0.00877153, 0.98367866, 1.03017925, 0.00685731];[7.42377657e-09, 9.99999993e-01];[0.06443893, 0.01589521, 0.0065323, 0.1599058, 0.0479535, 0.00420758]
[1.1369489, 1.06409262, 0.00446897, 0.7178679, 1.05709051, 0.0065331];[1.09511284, 1.05038518, 0.00893966, 1.03141874, 1.01863302, 0.00698891];[7.35277261e-09, 9.99999993e-01];[0.04183606, 0.01370744, 0.00447069, 0.31355084, 0.03845749, 0.00045581]
[1.14772251, 1.06071524, 0.00655491, 0.75110808, 1.03229354, 0.0095533];[1.19334154, 1.05012169, 0.00868268, 1.08165516, 1.00437581, 0.00677675];[7.31757582e-09, 9.99999993e-01];[0.04561903, 0.01059355, 0.00212777, 0.33054708, 0.02791773, 0.00277655]
[0.86954067, 1.09822835, 0.00755436, 1.14264541, 1.00339236, 0.00363722];[1.24659156, 1.03766715, 0.00935334, 1.1771637, 1.00298594, 0.00563624];[7.29966687e-09, 9.99999993e-01];[0.37705089, 0.0605612, 0.00179898, 0.03451829, 0.00040642, 0.00199902]
[1.56128899, 1.0966838, 0.002827, 1.17748671, 1.02293808, 0.00568369];[1.37665844, 1.05403825, 0.01295382, 1.26661262, 1.00125733, 0.00642738];[7.29136522e-09, 9.99999993e-01];[0.18463055, 0.04264555, 0.01012682, 0.08912591, 0.02168075, 0.00074369]
[1.90178127e+00, 1.02969318e+00, 6.12933000e-03, 1.53436912e+00, 1.03951877e+00, 2.04930000e-04];[1.5266314, 1.07102742, 0.01199942, 1.38618998, 1.01293623, 0.00859643];[7.28407194e-09, 9.99999993e-01];[0.37514987, 0.04133424, 0.00587009, 0.14817914, 0.02658254, 0.0083915]
[1.62821216, 1.07701881, 0.00894581, 1.65186901, 1.03933937, 0.00635254];[1.63338814, 1.07229868, 0.0115284, 1.50527174, 1.02350867, 0.01102737];[7.28478196e-09, 9.99999993e-01];[0.00517598, 0.00472013, 0.00258259, 0.14659727, 0.0158307, 0.00467483]
[1.53011683, 1.05295724, 0.00568093, 1.37878363, 1.06792782, 0.00729576];[1.71930208, 1.06183222, 0.00695667, 1.58679132, 1.0182229, 0.01167985];[7.28183294e-09, 9.99999993e-01];[0.18918525, 0.00887498, 0.00127574, 0.20800769, 0.04970492, 0.00438409]
