measurement_data;state_data;mode_probabilities;state_errors
[0.4, 1., 0., 0.4, 1., 0.];[0.4, 1., 0., 0.4, 1., 0.];[2.88655000e-07, 9.99999711e-01];[0., 0., 0., 0., 0., 0.]
[0.5, 1., 0., 0.5, 1., 0.];[0.69454742, 0.95703375, -0.00328368, 0.69454742, 0.95703375, -0.00328368];[1.13726602e-08, 9.99999989e-01];[0.19454742, 0.04296625, 0.00328368, 0.19454742, 0.04296625, 0.00328368]
[0.6, 1., 0., 0.6, 1., 0.];[0.94188287, 0.90156463, -0.00473396, 0.94188287, 0.90156463, -0.00473396];[1.09494297e-08, 9.99999989e-01];[0.34188287, 0.09843537, 0.00473396, 0.34188287, 0.09843537, 0.00473396]
[0.7, 1., 0., 0.7, 1., 0.];[1.15370373, 0.84035764, -0.00217068, 1.15370373, 0.84035764, -0.00217068];[1.08927605e-08, 9.99999989e-01];[0.45370373, 0.15964236, 0.00217068, 0.45370373, 0.15964236, 0.00217068]
[0.8, 1., 0., 0.8, 1., 0.];[1.33477901, 0.77867933, 0.00613222, 1.33477901, 0.77867933, 0.00613222];[1.08887677e-08, 9.99999989e-01];[0.53477901, 0.22132067, 0.00613222, 0.53477901, 0.22132067, 0.00613222]
[1., 1., 0., 1., 1., 0.];[1.51220892, 0.73482445, 0.02479464, 1.51220892, 0.73482445, 0.02479464];[1.09651540e-08, 9.99999989e-01];[0.51220892, 0.26517555, 0.02479464, 0.51220892, 0.26517555, 0.02479464]
[1.1, 1., 0., 1.1, 1., 0.];[1.66615043, 0.69381884, 0.04169672, 1.66615043, 0.69381884, 0.04169672];[1.09420418e-08, 9.99999989e-01];[0.56615043, 0.30618116, 0.04169672, 0.56615043, 0.30618116, 0.04169672]
[1.2, 1., 0., 1.2, 1., 0.];[1.80106128, 0.65798883, 0.05848984, 1.80106128, 0.65798883, 0.05848984];[1.09311247e-08, 9.99999989e-01];[0.60106128, 0.34201117, 0.05848984, 0.60106128, 0.34201117, 0.05848984]
[1.3, 1., 0., 1.3, 1., 0.];[1.92149879, 0.62894376, 0.07511526, 1.92149879, 0.62894376, 0.07511526];[1.09296004e-08, 9.99999989e-01];[0.62149879, 0.37105624, 0.07511526, 0.62149879, 0.37105624, 0.07511526]
[1.4, 1., 0., 1.4, 1., 0.];[2.03176143, 0.60725215, 0.09077226, 2.03176143, 0.60725215, 0.09077226];[1.09340739e-08, 9.99999989e-01];[0.63176143, 0.39274785, 0.09077226, 0.63176143, 0.39274785, 0.09077226]
[1.5, 1., 0., 1.5, 1., 0.];[2.13554253, 0.59252141, 0.10457617, 2.13554253, 0.59252141, 0.10457617];[1.09416829e-08, 9.99999989e-01];[0.63554253, 0.40747859, 0.10457617, 0.63554253, 0.40747859, 0.10457617]
[1.6, 1., 0., 1.6, 1., 0.];[2.23572781, 0.5836894, 0.11591003, 2.23572781, 0.5836894, 0.11591003];[1.09502220e-08, 9.99999989e-01];[0.63572781, 0.4163106, 0.11591003, 0.63572781, 0.4163106, 0.11591003]
[1.7, 1., 0., 1.7, 1., 0.];[2.33435598, 0.57936765, 0.12453942, 2.33435598, 0.57936765, 0.12453942];[1.09580626e-08, 9.99999989e-01];[0.63435598, 0.42063235, 0.12453942, 0.63435598, 0.42063235, 0.12453942]
[1.8, 1., 0., 1.8, 1., 0.];[2.43270437, 0.57813587, 0.13057932, 2.43270437, 0.57813587, 0.13057932];[1.09641590e-08, 9.99999989e-01];[0.63270437, 0.42186413, 0.13057932, 0.63270437, 0.42186413, 0.13057932]
[2., 1., 0., 2., 1., 0.];[2.55331637, 0.59248508, 0.13922072, 2.55331637, 0.59248508, 0.13922072];[1.10341503e-08, 9.99999989e-01];[0.55331637, 0.40751492, 0.13922072, 0.55331637, 0.40751492, 0.13922072]
[2.2, 1., 0., 2.2, 1., 0.];[2.69530269, 0.61624242, 0.14436753, 2.69530269, 0.61624242, 0.14436753];[1.10749940e-08, 9.99999989e-01];[0.49530269, 0.38375758, 0.14436753, 0.49530269, 0.38375758, 0.14436753]
